assembly	name	genus	species	group
GCA_018904525.1	D.erecta	Drosophila	erecta	melanogaster
GCA_018904475.1	D.mau.01	Drosophila	mauritiana	melanogaster
PENDING	D.mau.r31	Drosophila	mauritiana	melanogaster	
PENDING	D.mau.r32	Drosophila	mauritiana	melanogaster
PENDING	D.mau.r39	Drosophila	mauritiana	melanogaster
PENDING	D.mau.r61	Drosophila	mauritiana	melanogaster
GCA_020141505.1	D.mel.es.ten	Drosophila	melanogaster	melanogaster
GCA_000001215.4	D.mel.iso1	Drosophila	melanogaster	melanogaster
GCA_015852585.1	D.mel.pi2	Drosophila	melanogaster	melanogaster
GCA_020141665.1	D.mel.ral176	Drosophila	melanogaster	melanogaster
GCA_020141575.1	D.mel.ral732	Drosophila	melanogaster	melanogaster
GCA_020141585.1	D.mel.ral737	Drosophila	melanogaster	melanogaster
GCA_020141705.1	D.mel.ral91	Drosophila	melanogaster	melanogaster
GCA_020141495.1	D.mel.se.sto	Drosophila	melanogaster	melanogaster
GCA_018904365.1	D.melanogaster	Drosophila	melanogaster	melanogaster
GCA_018904445.1	D.sechellia	Drosophila	sechellia	melanogaster
GCA_018904415.1	D.simulans.006	Drosophila	simulans	melanogaster
GCA_039725605.1	D.simulans.sz129	Drosophila	simulans	melanogaster
GCA_039725755.1	D.simulans.sz232	Drosophila	simulans	melanogaster
GCA_018903625.1	D.teissieri.273.3	Drosophila	teissieri	melanogaster
GCA_018903635.1	D.teissieri.CT02	Drosophila	teissieri	melanogaster
GCA_035046025.1	D.yakuba	Drosophila	yakuba	melanogaster
GCA_035045865.1	D.austrosaltans	Drosophila	austrosaltans	saltans
GCA_037075365.1	D.emarginata	Drosophila	emarginata	saltans
GCA_018903615.1	D.neocordata	Drosophila	neocordata	saltans
GCA_018151275.1	D.prosaltans	Drosophila	prosaltans	saltans
GCA_018903575.1	D.saltans	Drosophila	saltans	saltans
GCA_018150375.1	D.sturtevanti	Drosophila	sturtevanti	saltans
GCA_018150345.1	D.equinoxialis	Drosophila	equinoxialis	willistoni
GCA_018903935.1	D.insularis	Drosophila	insularis	willistoni
GCA_018152135.1	D.paulistorum.14030-0771.06	Drosophila	paulistorum	willistoni
GCA_018151315.1	D.paulistorum.14030-0771.12	Drosophila	paulistorum	willistoni
GCA_018150735.1	D.sp.14030-0761.01	Drosophila	sp.14030-0761.01	willistoni
GCA_018150745.1	D.sucinea	Drosophila	sucinea	willistoni
GCA_018151085.1	D.tropicalis	Drosophila	tropicalis	willistoni
GCA_018153465.1	D.willistoni.00	Drosophila	willistoni	willistoni
GCA_018903445.1	D.willistoni.17	Drosophila	willistoni	willistoni
GCA_035045965.1	D.aldrichi	Drosophila	aldrichi	repleta
GCA_035045945.1	D.anceps	Drosophila	anceps	repleta
GCA_035045845.1	D.buzzatii	Drosophila	buzzatii	repleta
GCA_035045825.1	D.eohydei	Drosophila	eohydei	repleta
GCA_035045555.1	D.fulvimacula	Drosophila	fulvimacula	repleta
GCA_035045345.1	D.hamatofila	Drosophila	hamatofila	repleta
GCA_035045365.1	D.leonis	Drosophila	leonis	repleta
GCA_037075325.1	D.mayaguana	Drosophila	mayaguana	repleta
GCA_035045175.1	D.mercatorum	Drosophila	mercatorum	repleta
GCA_035045185.1	D.meridiana	Drosophila	meridiana	repleta
GCA_035045145.1	D.meridionalis	Drosophila	meridionalis	repleta
GCA_035047625.1	D.mettleri	Drosophila	mettleri	repleta
GCA_018153725.1	D.mojavensis	Drosophila	mojavensis	repleta
GCA_035047565.1	D.mulleri	Drosophila	mulleri	repleta
GCA_037075265.1	D.nigricruria	Drosophila	nigricruria	repleta
GCA_035047545.1	D.paranaensis	Drosophila	paranaensis	repleta
GCA_035046225.1	D.pegasa	Drosophila	pegasa	repleta
GCA_035047485.1	D.peninsularis	Drosophila	peninsularis	repleta
GCA_037075345.1	D.repleta	Drosophila	repleta	repleta
GCA_035047405.1	D.stalkeri	Drosophila	stalkeri	repleta
