run_accession	library_name	island	lat	long	year
SRR5860583	PNF4	Praslin	-4.325	55.73	2012
SRR5860625	DenisNF155	Denis	-3.811	55.666	2012
SRR5860626	DenisNoni10	Denis	-3.811	55.666	2012
SRR5860628	DenisNoni60	Denis	-3.811	55.666	2012
SRR5860631	Denis124	Denis	-3.811	55.666	2012
SRR5860632	Denis7_2	Denis	-3.811	55.666	2012
SRR5860645	Anro_B7	Mahé	-4.734	55.508	2012
SRR5860656	LD16	La Digue	-4.363	55.831	2012
SRR5860659	mariane_1	Mariane	-4.34	55.919	2012
SRR5860661	Anro_B2	Mahé	-4.734	55.508	2012
SRR5860663	Anro_B6	Mahé	-4.734	55.508	2012
SRR5860667	PNF11	Praslin	-4.325	55.73	2012
SRR5860671	Denis135	Denis	-3.811	55.666	2012
SRR5860570	maria_3	Mariane	-4.34	55.919	2012
SRR5860573	Anro_B8	Mahé	-4.734	55.508	2012
SRR5860584	LD15	La Digue	-4.363	55.831	2012
SRR5860627	DenisDNJ6	Denis	-3.811	55.666	2012
SRR5860633	DenisNF13	Denis	-3.811	55.666	2012
SRR5860639	DenisNF100	Denis	-3.811	55.666	2012
SRR5860640	DenisNF123	Denis	-3.811	55.666	2012
SRR5860643	DenisAMT	Denis	-3.811	55.666	2012
SRR5860657	LD13	La Digue	-4.363	55.831	2012
SRR5860662	LD12	La Digue	-4.363	55.831	2012
SRR5860666	PNF10	Praslin	-4.325	55.73	2012
SRR5860669	Denis7_8	Denis	-3.811	55.666	2012
SRR5860670	DenisMCL	Denis	-3.811	55.666	2012
SRR5860672	PNF8	Praslin	-4.325	55.73	2012
SRR5860675	PNF7	Praslin	-4.325	55.73	2012
SRR5860582	LD8	La Digue	-4.363	55.831	2012
SRR5860629	DenisAT3	Denis	-3.811	55.666	2012
SRR5860630	DenisJT1	Denis	-3.811	55.666	2012
SRR5860634	DenisNF66	Denis	-3.811	55.666	2012
SRR5860644	DenisNF134	Denis	-3.811	55.666	2012
SRR5860658	LD14	La Digue	-4.363	55.831	2012
SRR5860660	Anro_B1	Mahé	-4.734	55.508	2012
SRR5860664	LD11_sech	La Digue	-4.363	55.831	2012
SRR5860665	Anro_B3	Mahé	-4.734	55.508	2012
SRR5860668	DenisNoni101	Denis	-3.811	55.666	2012
SRR5860673	PNF5	Praslin	-4.325	55.73	2012
SRR5860674	PNF3	Praslin	-4.325	55.73	2012
SRR5860676	Anro_B5	Mahé	-4.734	55.508	2012
SRR9913024	SynA	NA	NA	NA	1980
SRR7697345	SynA	NA	NA	NA	1980
SRR5514394	sech25	Cousin	-4.331	55.663	1980
SRR14138506	Denis72	Denis	-3.811	55.666	2012
SRR14138507	Anro71	Mahé	-4.734	55.508	2012
