Sample,TE,All_reads,HQ_reads
SRR1560268,1360,46.07,28.87
SRR1560268,6,0.35,0.05
SRR1560268,1731,11.51,10.28
SRR1560268,297,13.79,9.18
SRR1560268,412,7.34,3.77
SRR1560268,accord,2.46,1.96
SRR1560268,accord2,2.66,1.90
SRR1560268,Baggins1,53.68,47.50
SRR1560268,Bari1,11.63,11.46
SRR1560268,Bari2,0.57,0.26
SRR1560268,BEL,10.46,8.51
SRR1560268,Bica,4.49,4.12
SRR1560268,blood,4.99,4.47
SRR1560268,BS,4.53,2.30
SRR1560268,BS2,14.78,0.48
SRR1560268,BS3,3.91,2.94
SRR1560268,BS4,3.06,2.24
SRR1560268,Burdock,7.78,6.73
SRR1560268,Chimpo,4.76,4.21
SRR1560268,Chouto,3.62,2.53
SRR1560268,Circe,11.15,9.60
SRR1560268,copia,7.77,7.01
SRR1560268,copia2,4.03,0.08
SRR1560268,diver,6.30,5.29
SRR1560268,diver2,25.31,19.27
SRR1560268,Dm88,4.68,0.08
SRR1560268,dmau_Antennapedia,1.04,1.02
SRR1560268,dmau_Osi6,0.78,0.77
SRR1560268,dmau_wingless,0.96,0.95
SRR1560268,DMRT1A,119.30,105.67
SRR1560268,DMRT1C,12.50,9.18
SRR1560268,DNAREP1,307.52,77.07
SRR1560268,DNAREP1-like,7.73,0.11
SRR1560268,Doc,23.49,22.26
SRR1560268,Doc2,23.83,23.12
SRR1560268,Doc3,20.31,17.52
SRR1560268,Doc4,2.16,1.59
SRR1560268,Doc5,8.90,7.24
SRR1560268,F-element,19.45,6.44
SRR1560268,family-0_Copia-like,3.72,0.34
SRR1560268,family-0_MULE-NOF,17.77,1.90
SRR1560268,family-100_HMS-beagle,0.00,0.00
SRR1560268,family-105_gypsy,0.34,0.03
SRR1560268,family-110_gypsy_SAP,11.34,10.10
SRR1560268,family-1124_gypsy-frag,2.72,2.20
SRR1560268,family-113_micropia-like,1.27,0.60
SRR1560268,family-117_gypsy,16.54,5.58
SRR1560268,family-1205_Tc3,0.04,0.00
SRR1560268,family-134_gypsy,9.44,3.30
SRR1560268,family-139_FW2-like,15.94,3.51
SRR1560268,family-1439_Tc3,0.68,0.01
SRR1560268,family-149_HMS-beagle,0.22,0.01
SRR1560268,family-15_G-like,4.03,0.18
SRR1560268,family-2202_Pao,5.01,2.42
SRR1560268,family-2226_Tc1-like,2.09,0.45
SRR1560268,family-2266_Blastopia-like,0.03,0.00
SRR1560268,family-252_hAT_BEDzf,0.37,0.22
SRR1560268,family-325_gypsy,7.28,5.50
SRR1560268,family-358_hAT,5.15,3.98
SRR1560268,family-3655_gypsy,0.98,0.43
SRR1560268,family-3830_accord-like,1.03,0.87
SRR1560268,family-4408_gypsy,2.43,0.04
SRR1560268,family-447_HETA-like,0.47,0.09
SRR1560268,family-4955_hAT,0.95,0.65
SRR1560268,family-49_Tc3,0.08,0.00
SRR1560268,family-5171_Pao,0.01,0.00
SRR1560268,family-53_gypsy_truncated,18.69,4.44
SRR1560268,family-58_micropia-like,4.20,3.97
SRR1560268,family-6086_diver,6.59,3.21
SRR1560268,family-63_micropia-like,11.31,8.67
SRR1560268,family-70_diver-like,4.55,0.61
SRR1560268,family-70_Diver2-like,4.96,2.45
SRR1560268,family-7121_ninja-like,6.70,3.78
SRR1560268,family-732_gypsy,6.38,4.90
SRR1560268,family-92_copia-like,0.00,0.00
SRR1560268,family-966_Pao,3.45,1.27
SRR1560268,family-999_gypsy,0.65,0.07
SRR1560268,FB,44.91,10.61
SRR1560268,flea,14.74,13.86
SRR1560268,frogger,0.81,0.67
SRR1560268,Fw2,4.36,3.46
SRR1560268,Fw3,1.67,1.23
SRR1560268,G-element,1.97,0.00
SRR1560268,G2,8.67,2.28
SRR1560268,G3,0.25,0.09
SRR1560268,G4,4.54,3.95
SRR1560268,G5,11.52,8.94
SRR1560268,G5A,4.85,3.26
SRR1560268,G6,59.37,56.88
SRR1560268,GATE,19.15,16.56
SRR1560268,Gedeo_Dmel,4.29,2.88
SRR1560268,gtwin,0.81,0.19
SRR1560268,gypsy,6.19,3.80
SRR1560268,gypsy10,0.57,0.07
SRR1560268,gypsy11,2.81,1.12
SRR1560268,gypsy12,10.32,5.48
SRR1560268,gypsy12A,4.98,1.79
SRR1560268,gypsy2,0.52,0.20
SRR1560268,gypsy2S,0.94,0.40
SRR1560268,gypsy3,2.62,1.23
SRR1560268,gypsy4,4.14,3.67
SRR1560268,gypsy5,1.69,0.94
SRR1560268,gypsy6,5.07,1.50
SRR1560268,gypsy7,2.01,1.54
SRR1560268,gypsy8,5.56,2.87
SRR1560268,gypsy9,0.83,0.45
SRR1560268,HB,42.19,23.07
SRR1560268,Helena,10.65,9.78
SRR1560268,HeT-A,0.32,0.01
SRR1560268,HMS-Beagle,17.01,13.37
SRR1560268,hobo,10.81,9.43
SRR1560268,hopper,7.72,0.03
SRR1560268,hopper2,0.81,0.23
SRR1560268,I-element,29.41,24.69
SRR1560268,Idefix,5.46,2.43
SRR1560268,invader1,7.30,4.69
SRR1560268,invader2,15.01,13.36
SRR1560268,invader3,9.03,7.81
SRR1560268,invader4,2.52,0.98
SRR1560268,invader5,1.07,0.35
SRR1560268,Ivk,10.43,9.20
SRR1560268,jockey,7.69,7.54
SRR1560268,jockey2,3.53,2.37
SRR1560268,Juan,24.09,23.91
SRR1560268,looper1,1.43,1.05
SRR1560268,M4DM,23.14,6.38
SRR1560268,mariner2,6.09,4.15
SRR1560268,Max-element,12.76,10.86
SRR1560268,McClintock,5.36,0.18
SRR1560268,mdg1,9.04,7.51
SRR1560268,mdg3,8.89,7.57
SRR1560268,micropia,10.15,8.25
SRR1560268,Minos_DM,0.24,0.04
SRR1560268,ninja-aurora,3.50,2.85
SRR1560268,NOF,0.28,0.12
SRR1560268,Nomad,3.60,2.95
SRR1560268,P-element,0.00,0.00
SRR1560268,Phanio_Dmel,11.00,8.01
SRR1560268,Phidippo_Dmel,9.15,7.64
SRR1560268,Pifo_A,0.10,0.06
SRR1560268,pogo,0.00,0.00
SRR1560268,Quasimodo,0.16,0.01
SRR1560268,Quasimodo2,4.70,0.01
SRR1560268,R1,24.75,3.81
SRR1560268,R1-2,0.75,0.41
SRR1560268,R1A1-element,10.91,1.37
SRR1560268,R2-element,22.63,21.29
SRR1560268,rnd-1_family-13_jockey,1.31,0.11
SRR1560268,rnd-1_family-1_copia,8.39,2.59
SRR1560268,rnd-1_family-85_gypsy,12.13,4.42
SRR1560268,rnd-5_family-560_Pao,12.26,6.34
SRR1560268,roo,30.45,25.68
SRR1560268,rooA,17.39,12.25
SRR1560268,rover,0.67,0.12
SRR1560268,Rt1a,2.16,1.11
SRR1560268,Rt1b,13.77,11.15
SRR1560268,S-element,1.52,0.21
SRR1560268,S2,0.69,0.28
SRR1560268,springer,1.12,0.30
SRR1560268,Stalker,7.20,0.31
SRR1560268,Stalker2,7.87,5.90
SRR1560268,Stalker4,9.50,0.12
SRR1560268,Tabor,5.75,4.44
SRR1560268,TAHRE,0.31,0.09
SRR1560268,TART-A,0.54,0.18
SRR1560268,TART-B,0.76,0.19
SRR1560268,TART-C,0.22,0.03
SRR1560268,Tc1-2,16.58,14.51
SRR1560268,Tc1_DM,33.53,25.93
SRR1560268,Tc3,0.01,0.00
SRR1560268,Tirant,2.77,1.99
SRR1560268,Tom,4.30,2.07
SRR1560268,transib1,14.45,12.57
SRR1560268,Transib2,17.61,13.83
SRR1560268,transib3,2.65,2.01
SRR1560268,transib4,3.07,2.08
SRR1560268,Transib5,3.97,3.08
SRR1560268,Transpac,9.93,8.81
SRR1560268,X-element,22.31,5.86
SRR1560268,ZAM,1.21,0.93
