Sample,TE,All_reads,HQ_reads
SRR1560097,1360,39.72,24.92
SRR1560097,412,11.30,7.96
SRR1560097,ACCORD,7.86,6.69
SRR1560097,AF009439,0.00,0.00
SRR1560097,AF056940,0.02,0.00
SRR1560097,AF222049,11.01,9.64
SRR1560097,AF418572,0.00,0.00
SRR1560097,AF541951,0.19,0.06
SRR1560097,AY561850,2.38,1.05
SRR1560097,BAGGINS,53.90,47.32
SRR1560097,Beagle,15.83,12.56
SRR1560097,Beagle2,0.74,0.32
SRR1560097,BLOOD,5.65,5.07
SRR1560097,BS,3.00,2.35
SRR1560097,BS3,4.77,3.65
SRR1560097,BS4,2.83,2.10
SRR1560097,BUT1,0.00,0.00
SRR1560097,BUT2,0.00,0.00
SRR1560097,BUT3,0.00,0.00
SRR1560097,BUT4,0.00,0.00
SRR1560097,BUT5,0.00,0.00
SRR1560097,BUT6,0.03,0.00
SRR1560097,CIRC,7.55,6.33
SRR1560097,DBU133521,0.00,0.00
SRR1560097,DDBARI1,2.02,0.30
SRR1560097,DFU309320,0.47,0.02
SRR1560097,DH14600,0.00,0.00
SRR1560097,DHMINOS,0.15,0.02
SRR1560097,DHUHUH3,0.00,0.00
SRR1560097,DIVER2,25.47,18.84
SRR1560097,DK29466,0.00,0.00
SRR1560097,DM06920,1.18,0.23
SRR1560097,DM14101,1.29,0.29
SRR1560097,DM23420,13.53,11.48
SRR1560097,DM33463,1.19,0.17
SRR1560097,DM88,8.50,7.03
SRR1560097,DM_ROO,25.84,22.95
SRR1560097,dmau_Antennapedia,1.00,0.98
SRR1560097,dmau_Osi6,0.85,0.84
SRR1560097,dmau_wingless,1.00,0.98
SRR1560097,DMAURA,2.06,0.57
SRR1560097,DMBARI1,11.42,11.29
SRR1560097,DMBLPP,10.81,10.20
SRR1560097,DMCOPIA,10.47,9.55
SRR1560097,DMCR1A,112.56,89.50
SRR1560097,DMDM11,10.00,8.29
SRR1560097,DME010298,16.12,13.85
SRR1560097,DME278684,2.26,1.16
SRR1560097,DME487856,13.06,11.56
SRR1560097,DME9736,4.73,1.89
SRR1560097,DMGYPF1A,6.81,4.17
SRR1560097,DMHFL1,7.27,6.26
SRR1560097,DMIFACA,30.24,25.15
SRR1560097,DMIS176,0.33,0.05
SRR1560097,DMIS297,15.15,10.76
SRR1560097,DMLINEJA,6.53,6.36
SRR1560097,DMMAR,7.92,0.00
SRR1560097,DMMDG3,11.73,10.08
SRR1560097,DMPOGOR11,0.00,0.00
SRR1560097,DMREPG,2.55,1.12
SRR1560097,DMRER1DM,44.68,35.28
SRR1560097,DMRER2DM,24.63,23.16
SRR1560097,DMRTMGD1,10.14,8.62
SRR1560097,DMTHB1,32.18,17.36
SRR1560097,DMTN1731,11.76,10.59
SRR1560097,DMTNFB,29.28,7.81
SRR1560097,DMTOM1_LTR,20.58,16.08
SRR1560097,DMTRAM,0.00,0.00
SRR1560097,DMTRDNA,18.37,9.09
SRR1560097,DMTRIM,0.00,0.00
SRR1560097,DMU89994,10.07,8.85
SRR1560097,DMW1DOC,23.96,22.83
SRR1560097,DMZAM,1.71,1.29
SRR1560097,DNTOMRETA,0.26,0.00
SRR1560097,DOC2,20.38,19.73
SRR1560097,DOC3,19.26,16.64
SRR1560097,DOC4,2.55,1.84
SRR1560097,DOC5,8.01,6.25
SRR1560097,DPSEMINIME,0.05,0.00
SRR1560097,DSRN,3.26,1.93
SRR1560097,DSV28T24,0.00,0.00
SRR1560097,DTEII,1.11,0.20
SRR1560097,DV26847,1.07,0.00
SRR1560097,DV49102,0.00,0.00
SRR1560097,DVRPPDV,0.00,0.00
SRR1560097,DVULYSS,0.00,0.00
SRR1560097,F,38.94,36.58
SRR1560097,FB,0.27,0.09
SRR1560097,FROGGER,1.31,1.01
SRR1560097,FW2,4.50,3.61
SRR1560097,FW3,1.64,1.20
SRR1560097,G2,12.17,6.28
SRR1560097,G3,0.50,0.10
SRR1560097,G4_DM,4.39,3.80
SRR1560097,G5_DM,13.91,11.50
SRR1560097,G5A,4.90,3.35
SRR1560097,G6_DM,45.92,44.13
SRR1560097,G7,0.41,0.21
SRR1560097,GALILEO,0.00,0.00
SRR1560097,GEM,0.04,0.00
SRR1560097,GTWIN,1.31,0.42
SRR1560097,gypsy-29-dsim,13.14,11.45
SRR1560097,gypsy-7-dsim,33.67,28.35
SRR1560097,GYPSY10,9.87,6.68
SRR1560097,GYPSY11,2.30,0.87
SRR1560097,GYPSY12,8.91,4.41
SRR1560097,GYPSY2,0.64,0.24
SRR1560097,GYPSY3,2.92,1.37
SRR1560097,GYPSY4,3.77,3.31
SRR1560097,GYPSY5,2.83,2.02
SRR1560097,GYPSY6,0.09,0.00
SRR1560097,GYPSY7,1.61,1.09
SRR1560097,GYPSY8,7.65,3.43
SRR1560097,GYPSY9,0.89,0.49
SRR1560097,HEL,11.08,10.20
SRR1560097,HELITRON1_DM,0.00,0.00
SRR1560097,HETAVIR,0.00,0.00
SRR1560097,HOPPER2,1.22,0.31
SRR1560097,INE1,66.00,13.00
SRR1560097,INVADER,6.85,4.18
SRR1560097,INVADER2,14.83,13.30
SRR1560097,INVADER3,7.07,6.12
SRR1560097,INVADER4,2.52,1.02
SRR1560097,INVADER5,1.08,0.40
SRR1560097,INVADER6,6.24,4.78
SRR1560097,ISBU1,0.33,0.00
SRR1560097,ISBU2,0.01,0.00
SRR1560097,ISBU3,0.00,0.00
SRR1560097,IVK,11.22,9.92
SRR1560097,JOCKEY2,3.03,2.04
SRR1560097,JUAN,23.72,23.57
SRR1560097,KEPLER,1.18,0.00
SRR1560097,LOOPER1_DM,1.93,1.53
SRR1560097,M14653,7.83,0.00
SRR1560097,MAR,0.00,0.00
SRR1560097,MARINER2,5.02,3.46
SRR1560097,McCLINTOCK,12.02,10.21
SRR1560097,MD106_gypsy6_Dse,9.48,7.84
SRR1560097,MERCR1A3,0.00,0.00
SRR1560097,NEOR1A,0.06,0.00
SRR1560097,NETR1B,0.00,0.00
SRR1560097,NEWTON,0.00,0.00
SRR1560097,OPUS,4.77,4.27
SRR1560097,OSV,12.99,5.77
SRR1560097,P_M,0.00,0.00
SRR1560097,P_O,0.00,0.00
SRR1560097,P_T,0.04,0.00
SRR1560097,PPI251,0.00,0.00
SRR1560097,Q,10.81,0.09
SRR1560097,QBERT,4.96,3.96
SRR1560097,QUASIMODO,0.32,0.08
SRR1560097,R1-2,0.91,0.50
SRR1560097,ROOA_LTR,18.49,13.41
SRR1560097,ROVER,0.63,0.12
SRR1560097,ROXELEMENT,47.96,45.47
SRR1560097,RT1B,17.51,14.26
SRR1560097,RT1C,17.30,11.64
SRR1560097,S2,0.75,0.31
SRR1560097,SGM,0.12,0.00
SRR1560097,SPOCK,0.00,0.00
SRR1560097,SPRINGER,1.10,0.30
SRR1560097,STALKER,7.85,0.34
SRR1560097,STALKER2,7.23,5.56
SRR1560097,STALKER3,0.00,0.00
SRR1560097,STALKER4,10.35,0.16
SRR1560097,TABOR,10.84,9.03
SRR1560097,TAHRE,0.92,0.38
SRR1560097,TAKR1A2,0.01,0.00
SRR1560097,TARTC,0.40,0.01
SRR1560097,TARTVIR,0.32,0.00
SRR1560097,TARTYAK,0.38,0.00
SRR1560097,TC1,25.96,20.64
SRR1560097,TC1-2,12.26,10.62
SRR1560097,TC3,0.03,0.00
SRR1560097,Tinker,4.97,4.64
SRR1560097,TIRANT,2.82,2.06
SRR1560097,TRANSIB1,14.21,12.68
