Sample,TE,All_reads,HQ_reads
SRR11846555,1360,105.52,81.57
SRR11846555,412,43.63,38.11
SRR11846555,ACCORD,9.38,7.77
SRR11846555,AF009439,0.00,0.00
SRR11846555,AF056940,0.02,0.00
SRR11846555,AF222049,22.17,19.70
SRR11846555,AF418572,0.00,0.00
SRR11846555,AF541951,2.22,1.28
SRR11846555,AY561850,5.48,2.92
SRR11846555,BAGGINS,30.89,25.61
SRR11846555,Beagle,25.76,21.98
SRR11846555,Beagle2,13.62,10.51
SRR11846555,BLOOD,30.89,28.24
SRR11846555,BS,11.72,10.61
SRR11846555,BS3,12.82,9.40
SRR11846555,BS4,1.36,1.21
SRR11846555,BUT1,0.00,0.00
SRR11846555,BUT2,0.00,0.00
SRR11846555,BUT3,0.03,0.00
SRR11846555,BUT4,0.00,0.00
SRR11846555,BUT5,0.00,0.00
SRR11846555,BUT6,0.60,0.06
SRR11846555,CIRC,25.58,22.22
SRR11846555,DBU133521,0.00,0.00
SRR11846555,DDBARI1,1.61,0.69
SRR11846555,DFU309320,0.18,0.00
SRR11846555,DH14600,0.00,0.00
SRR11846555,DHMINOS,0.12,0.01
SRR11846555,DHUHUH3,0.00,0.00
SRR11846555,DIVER2,15.62,11.22
SRR11846555,DK29466,0.00,0.00
SRR11846555,DM06920,12.55,8.04
SRR11846555,DM14101,7.62,4.61
SRR11846555,DM23420,13.36,11.63
SRR11846555,DM33463,41.35,17.61
SRR11846555,DM88,20.73,17.78
SRR11846555,DM_ROO,171.11,153.89
SRR11846555,DMAURA,7.49,3.39
SRR11846555,DMBARI1,59.22,57.73
SRR11846555,DMBLPP,21.18,19.63
SRR11846555,DMCOPIA,45.80,40.50
SRR11846555,DMCR1A,87.69,65.80
SRR11846555,DMDM11,16.29,13.06
SRR11846555,DME010298,25.88,21.66
SRR11846555,DME278684,14.88,12.70
SRR11846555,DME487856,28.94,25.69
SRR11846555,DME9736,31.09,22.36
SRR11846555,dmel_Antennapedia,0.99,0.96
SRR11846555,dmel_Osi6,0.96,0.94
SRR11846555,dmel_wingless,1.01,1.00
SRR11846555,DMGYPF1A,6.35,4.30
SRR11846555,DMHFL1,2.99,1.67
SRR11846555,DMIFACA,13.60,8.20
SRR11846555,DMIS176,33.16,27.93
SRR11846555,DMIS297,42.61,33.74
SRR11846555,DMLINEJA,36.49,35.36
SRR11846555,DMMAR,0.00,0.00
SRR11846555,DMMDG3,19.07,17.05
SRR11846555,DMPOGOR11,13.31,12.63
SRR11846555,DMREPG,10.50,9.59
SRR11846555,DMRER1DM,215.32,201.64
SRR11846555,DMRER2DM,32.48,31.59
SRR11846555,DMRTMGD1,59.94,50.25
SRR11846555,DMTHB1,16.69,10.25
SRR11846555,DMTN1731,18.12,16.16
SRR11846555,DMTNFB,69.89,41.09
SRR11846555,DMTOM1_LTR,9.38,7.03
SRR11846555,DMTRAM,0.00,0.00
SRR11846555,DMTRDNA,19.98,15.86
SRR11846555,DMTRIM,0.00,0.00
SRR11846555,DMU89994,12.27,10.44
SRR11846555,DMW1DOC,76.59,74.03
SRR11846555,DMZAM,4.81,3.82
SRR11846555,DNTOMRETA,0.46,0.00
SRR11846555,DOC2,19.32,18.18
SRR11846555,DOC3,25.41,21.83
SRR11846555,DOC4,5.84,4.14
SRR11846555,DOC5,12.23,9.72
SRR11846555,DPSEMINIME,0.04,0.00
SRR11846555,DSRN,5.28,2.97
SRR11846555,DSV28T24,0.00,0.00
SRR11846555,DTEII,0.99,0.20
SRR11846555,DV26847,2.29,0.00
SRR11846555,DV49102,0.00,0.00
SRR11846555,DVRPPDV,0.00,0.00
SRR11846555,DVULYSS,0.00,0.00
SRR11846555,F,122.83,117.56
SRR11846555,FB,0.22,0.04
SRR11846555,FROGGER,3.01,2.43
SRR11846555,FW2,3.68,3.10
SRR11846555,FW3,2.55,1.98
