Sample,TE,All_reads,HQ_reads
SRR5860661,1360,31.43,19.35
SRR5860661,6,0.47,0.10
SRR5860661,1731,9.42,8.46
SRR5860661,297,22.18,16.68
SRR5860661,412,8.55,4.37
SRR5860661,accord,11.86,8.83
SRR5860661,accord2,5.74,4.48
SRR5860661,Baggins1,51.27,45.20
SRR5860661,Bari1,2.95,2.67
SRR5860661,Bari2,0.46,0.26
SRR5860661,BEL,20.53,18.45
SRR5860661,Bica,4.98,4.66
SRR5860661,blood,7.31,6.52
SRR5860661,BS,6.07,4.76
SRR5860661,BS2,15.32,0.49
SRR5860661,BS3,8.97,7.15
SRR5860661,BS4,2.55,1.72
SRR5860661,Burdock,9.32,8.31
SRR5860661,Chimpo,6.87,6.43
SRR5860661,Chouto,8.24,6.19
SRR5860661,Circe,6.55,5.69
SRR5860661,copia,8.75,8.07
SRR5860661,copia2,2.55,0.04
SRR5860661,diver,5.87,4.96
SRR5860661,diver2,45.25,35.19
SRR5860661,Dm88,3.00,0.05
SRR5860661,DMRT1A,111.94,99.35
SRR5860661,DMRT1C,31.89,23.74
SRR5860661,DNAREP1,230.36,60.26
SRR5860661,DNAREP1-like,4.78,0.07
SRR5860661,Doc,10.43,9.22
SRR5860661,Doc2,13.04,12.41
SRR5860661,Doc3,20.34,17.39
SRR5860661,Doc4,2.07,1.52
SRR5860661,Doc5,6.24,5.15
SRR5860661,dsec_Antennapedia,0.93,0.93
SRR5860661,dsec_Osi6,0.97,0.95
SRR5860661,dsec_wingless,1.07,1.06
SRR5860661,F-element,32.38,9.73
SRR5860661,family-0_Copia-like,4.41,0.63
SRR5860661,family-0_MULE-NOF,7.23,0.83
SRR5860661,family-100_HMS-beagle,0.01,0.00
SRR5860661,family-105_gypsy,0.44,0.20
SRR5860661,family-110_gypsy_SAP,21.44,18.78
SRR5860661,family-1124_gypsy-frag,2.03,1.61
SRR5860661,family-113_micropia-like,0.63,0.33
SRR5860661,family-117_gypsy,9.31,3.50
SRR5860661,family-1205_Tc3,0.02,0.00
SRR5860661,family-134_gypsy,5.61,2.00
SRR5860661,family-139_FW2-like,27.93,5.18
SRR5860661,family-1439_Tc3,0.41,0.01
SRR5860661,family-149_HMS-beagle,0.02,0.00
SRR5860661,family-15_G-like,5.20,0.09
SRR5860661,family-2202_Pao,3.37,1.45
SRR5860661,family-2226_Tc1-like,1.25,0.28
SRR5860661,family-2266_Blastopia-like,0.01,0.00
SRR5860661,family-252_hAT_BEDzf,0.23,0.11
SRR5860661,family-325_gypsy,5.36,4.07
SRR5860661,family-358_hAT,3.12,2.39
SRR5860661,family-3655_gypsy,0.53,0.19
SRR5860661,family-3830_accord-like,1.37,1.05
SRR5860661,family-4408_gypsy,3.37,0.05
SRR5860661,family-447_HETA-like,3.08,0.48
SRR5860661,family-4955_hAT,0.68,0.44
SRR5860661,family-49_Tc3,0.08,0.00
SRR5860661,family-5171_Pao,0.05,0.00
SRR5860661,family-53_gypsy_truncated,9.36,2.16
SRR5860661,family-58_micropia-like,11.86,11.20
SRR5860661,family-6086_diver,3.79,1.70
SRR5860661,family-63_micropia-like,8.52,6.77
SRR5860661,family-70_diver-like,3.85,0.37
SRR5860661,family-70_Diver2-like,3.04,1.34
SRR5860661,family-7121_ninja-like,7.78,4.34
SRR5860661,family-732_gypsy,6.19,4.66
SRR5860661,family-92_copia-like,0.00,0.00
SRR5860661,family-966_Pao,3.61,1.11
SRR5860661,family-999_gypsy,0.37,0.02
SRR5860661,FB,21.72,7.70
SRR5860661,flea,23.51,22.32
SRR5860661,frogger,1.09,0.88
SRR5860661,Fw2,4.64,3.75
SRR5860661,Fw3,1.64,1.17
SRR5860661,G-element,2.63,0.00
SRR5860661,G2,6.19,2.35
SRR5860661,G3,0.19,0.09
SRR5860661,G4,3.70,3.24
SRR5860661,G5,41.39,32.20
SRR5860661,G5A,16.51,11.02
SRR5860661,G6,101.56,97.76
SRR5860661,GATE,25.26,21.39
SRR5860661,Gedeo_Dmel,12.92,9.85
SRR5860661,gtwin,1.74,0.50
SRR5860661,gypsy,4.81,2.70
SRR5860661,gypsy10,0.50,0.08
SRR5860661,gypsy11,1.84,0.69
SRR5860661,gypsy12,9.34,4.45
SRR5860661,gypsy12A,4.03,1.54
SRR5860661,gypsy2,0.52,0.15
SRR5860661,gypsy2S,0.98,0.34
SRR5860661,gypsy3,2.31,1.06
SRR5860661,gypsy4,5.24,4.55
SRR5860661,gypsy5,0.73,0.09
SRR5860661,gypsy6,6.66,1.78
SRR5860661,gypsy7,1.38,1.02
SRR5860661,gypsy8,13.81,6.00
SRR5860661,gypsy9,1.57,0.92
SRR5860661,HB,15.99,8.34
SRR5860661,Helena,17.54,16.38
SRR5860661,HeT-A,2.04,0.03
