Sample,TE,All_reads,HQ_reads
SRR5860661,1360,31.14,19.12
SRR5860661,412,19.62,15.08
SRR5860661,ACCORD,11.86,8.82
SRR5860661,AF009439,0.00,0.00
SRR5860661,AF056940,0.02,0.00
SRR5860661,AF222049,10.94,9.63
SRR5860661,AF418572,0.00,0.00
SRR5860661,AF541951,0.17,0.04
SRR5860661,AY561850,1.72,0.70
SRR5860661,BAGGINS,51.28,45.19
SRR5860661,Beagle,11.08,8.25
SRR5860661,Beagle2,0.91,0.30
SRR5860661,BLOOD,7.28,6.51
SRR5860661,BS,5.68,4.73
SRR5860661,BS3,9.02,7.15
SRR5860661,BS4,2.51,1.73
SRR5860661,BUT1,0.00,0.00
SRR5860661,BUT2,0.00,0.00
SRR5860661,BUT3,0.00,0.00
SRR5860661,BUT4,0.00,0.00
SRR5860661,BUT5,0.00,0.00
SRR5860661,BUT6,0.00,0.00
SRR5860661,CIRC,6.54,5.68
SRR5860661,DBU133521,0.00,0.00
SRR5860661,DDBARI1,0.41,0.12
SRR5860661,DFU309320,0.22,0.00
SRR5860661,DH14600,0.00,0.00
SRR5860661,DHMINOS,0.04,0.01
SRR5860661,DHUHUH3,0.00,0.00
SRR5860661,DIVER2,47.46,37.02
SRR5860661,DK29466,0.00,0.00
SRR5860661,DM06920,3.80,0.87
SRR5860661,DM14101,0.79,0.18
SRR5860661,DM23420,20.36,18.24
SRR5860661,DM33463,0.68,0.11
SRR5860661,DM88,5.97,5.17
SRR5860661,DM_ROO,18.15,15.93
SRR5860661,DMAURA,7.18,2.14
SRR5860661,DMBARI1,2.93,2.66
SRR5860661,DMBLPP,23.49,22.30
SRR5860661,DMCOPIA,8.74,8.07
SRR5860661,DMCR1A,109.75,88.51
SRR5860661,DMDM11,19.19,16.01
SRR5860661,DME010298,25.26,21.38
SRR5860661,DME278684,1.99,1.01
SRR5860661,DME487856,36.74,33.37
SRR5860661,DME9736,4.21,1.68
SRR5860661,DMGYPF1A,4.85,2.74
SRR5860661,DMHFL1,8.61,6.92
SRR5860661,DMIFACA,28.54,22.71
SRR5860661,DMIS176,0.48,0.11
SRR5860661,DMIS297,22.33,16.91
SRR5860661,DMLINEJA,13.59,13.31
SRR5860661,DMMAR,0.73,0.00
SRR5860661,DMMDG3,5.07,3.73
SRR5860661,DMPOGOR11,0.00,0.00
SRR5860661,DMREPG,4.48,2.48
SRR5860661,DMRER1DM,107.33,82.53
SRR5860661,DMRER2DM,23.52,21.83
SRR5860661,DMRTMGD1,3.95,2.86
SRR5860661,DMTHB1,15.97,8.38
SRR5860661,DMTN1731,9.41,8.46
SRR5860661,DMTNFB,24.69,9.03
SRR5860661,DMTOM1_LTR,25.81,20.89
SRR5860661,DMTRAM,0.00,0.00
SRR5860661,DMTRDNA,13.18,6.02
SRR5860661,DMTRIM,0.00,0.00
SRR5860661,DMU89994,9.32,8.32
SRR5860661,DMW1DOC,10.39,9.21
SRR5860661,DMZAM,4.47,3.58
SRR5860661,DNTOMRETA,0.24,0.02
SRR5860661,DOC2,13.04,12.40
SRR5860661,DOC3,20.31,17.46
SRR5860661,DOC4,2.08,1.52
SRR5860661,DOC5,5.93,4.66
SRR5860661,DPSEMINIME,0.03,0.00
SRR5860661,dsec_Antennapedia,0.93,0.93
SRR5860661,dsec_Osi6,0.97,0.95
SRR5860661,dsec_wingless,1.07,1.06
SRR5860661,DSRN,10.84,6.59
SRR5860661,DSV28T24,0.00,0.00
SRR5860661,DTEII,1.18,0.23
SRR5860661,DV26847,0.45,0.00
SRR5860661,DV49102,0.00,0.00
SRR5860661,DVRPPDV,0.00,0.00
SRR5860661,DVULYSS,0.00,0.00
SRR5860661,F,63.11,59.54
SRR5860661,FB,1.80,1.40
SRR5860661,FROGGER,1.08,0.88
SRR5860661,FW2,4.63,3.74
SRR5860661,FW3,1.63,1.18
SRR5860661,G2,6.90,3.69
SRR5860661,G3,0.36,0.11
SRR5860661,G4_DM,3.70,3.21
SRR5860661,G5_DM,46.37,38.26
SRR5860661,G5A,16.51,11.18
SRR5860661,G6_DM,101.96,98.35
SRR5860661,G7,0.32,0.16
SRR5860661,GALILEO,0.00,0.00
SRR5860661,GEM,0.09,0.00
SRR5860661,GTWIN,9.45,5.35
SRR5860661,gypsy-29-dsim,0.03,0.00
SRR5860661,gypsy-7-dsim,0.91,0.08
SRR5860661,GYPSY10,4.01,2.53
SRR5860661,GYPSY11,1.76,0.70
SRR5860661,GYPSY12,11.93,6.17
SRR5860661,GYPSY2,0.58,0.16
SRR5860661,GYPSY3,2.33,1.04
SRR5860661,GYPSY4,5.24,4.56
SRR5860661,GYPSY5,0.74,0.09
SRR5860661,GYPSY6,0.10,0.00
SRR5860661,GYPSY7,1.21,0.83
SRR5860661,GYPSY8,9.90,4.09
SRR5860661,GYPSY9,1.58,0.92
SRR5860661,HEL,17.44,16.29
SRR5860661,HELITRON1_DM,0.00,0.00
SRR5860661,HETAVIR,0.00,0.00
SRR5860661,HOPPER2,1.25,0.26
SRR5860661,INE1,57.52,11.85
SRR5860661,INVADER,7.47,5.26
SRR5860661,INVADER2,21.44,19.51
SRR5860661,INVADER3,19.67,17.59
SRR5860661,INVADER4,1.71,0.57
SRR5860661,INVADER5,0.76,0.25
SRR5860661,INVADER6,10.25,8.25
SRR5860661,ISBU1,0.26,0.00
SRR5860661,ISBU2,0.07,0.00
