Sample,TE,All_reads,HQ_reads
SRR3739672,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739672,Dyak_alcohol_dehydrogenase,1.33,0.92
SRR3739672,Dyakprotein_yellow,0.67,0.65
SRR3739672,PPI251,0.00,0.00
SRR3739672,Shellder,0.08,0.00
SRR3739672,Spoink,0.41,0.03
Sample,TE,All_reads,HQ_reads
SRR3739673,Dyak_achaete_scute_complex_protein_T3,0.03,0.03
SRR3739673,Dyak_alcohol_dehydrogenase,1.49,1.05
SRR3739673,Dyakprotein_yellow,0.51,0.48
SRR3739673,PPI251,0.00,0.00
SRR3739673,Shellder,0.00,0.00
SRR3739673,Spoink,0.22,0.01
Sample,TE,All_reads,HQ_reads
SRR3739674,Dyak_achaete_scute_complex_protein_T3,0.04,0.04
SRR3739674,Dyak_alcohol_dehydrogenase,1.46,1.17
SRR3739674,Dyakprotein_yellow,0.54,0.54
SRR3739674,PPI251,0.00,0.00
SRR3739674,Shellder,0.01,0.00
SRR3739674,Spoink,0.27,0.02
Sample,TE,All_reads,HQ_reads
SRR3739675,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739675,Dyak_alcohol_dehydrogenase,1.17,1.01
SRR3739675,Dyakprotein_yellow,0.82,0.77
SRR3739675,PPI251,0.00,0.00
SRR3739675,Shellder,0.06,0.00
SRR3739675,Spoink,0.48,0.03
Sample,TE,All_reads,HQ_reads
SRR3739676,Dyak_achaete_scute_complex_protein_T3,0.02,0.02
SRR3739676,Dyak_alcohol_dehydrogenase,1.29,0.99
SRR3739676,Dyakprotein_yellow,0.70,0.69
SRR3739676,PPI251,0.00,0.00
SRR3739676,Shellder,0.16,0.00
SRR3739676,Spoink,0.50,0.04
Sample,TE,All_reads,HQ_reads
SRR3739677,Dyak_achaete_scute_complex_protein_T3,0.08,0.08
SRR3739677,Dyak_alcohol_dehydrogenase,1.28,0.82
SRR3739677,Dyakprotein_yellow,0.72,0.71
SRR3739677,PPI251,0.00,0.00
SRR3739677,Shellder,0.02,0.00
SRR3739677,Spoink,0.39,0.01
Sample,TE,All_reads,HQ_reads
SRR3739678,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739678,Dyak_alcohol_dehydrogenase,1.39,1.05
SRR3739678,Dyakprotein_yellow,0.60,0.60
SRR3739678,PPI251,0.00,0.00
SRR3739678,Shellder,0.02,0.00
SRR3739678,Spoink,0.32,0.01
Sample,TE,All_reads,HQ_reads
SRR3739679,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739679,Dyak_alcohol_dehydrogenase,1.53,1.08
SRR3739679,Dyakprotein_yellow,0.47,0.45
SRR3739679,PPI251,0.00,0.00
SRR3739679,Shellder,0.11,0.00
SRR3739679,Spoink,0.38,0.02
Sample,TE,All_reads,HQ_reads
SRR3739680,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739680,Dyak_alcohol_dehydrogenase,1.37,0.93
SRR3739680,Dyakprotein_yellow,0.63,0.61
SRR3739680,PPI251,0.00,0.00
SRR3739680,Shellder,0.08,0.00
SRR3739680,Spoink,0.40,0.02
Sample,TE,All_reads,HQ_reads
SRR3739681,Dyak_achaete_scute_complex_protein_T3,0.02,0.02
SRR3739681,Dyak_alcohol_dehydrogenase,1.32,0.93
SRR3739681,Dyakprotein_yellow,0.68,0.66
SRR3739681,PPI251,0.00,0.00
SRR3739681,Shellder,0.05,0.00
SRR3739681,Spoink,0.39,0.04
Sample,TE,All_reads,HQ_reads
SRR3739682,Dyak_achaete_scute_complex_protein_T3,0.06,0.06
SRR3739682,Dyak_alcohol_dehydrogenase,1.45,0.99
SRR3739682,Dyakprotein_yellow,0.55,0.53
SRR3739682,PPI251,0.00,0.00
SRR3739682,Shellder,0.01,0.00
SRR3739682,Spoink,0.39,0.01
Sample,TE,All_reads,HQ_reads
SRR3739683,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739683,Dyak_alcohol_dehydrogenase,1.54,1.00
SRR3739683,Dyakprotein_yellow,0.46,0.44
SRR3739683,PPI251,0.00,0.00
SRR3739683,Shellder,0.01,0.00
SRR3739683,Spoink,0.46,0.04
Sample,TE,All_reads,HQ_reads
SRR3739684,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739684,Dyak_alcohol_dehydrogenase,1.39,0.95
SRR3739684,Dyakprotein_yellow,0.61,0.58
SRR3739684,PPI251,0.00,0.00
SRR3739684,Shellder,0.04,0.00
SRR3739684,Spoink,0.40,0.01
Sample,TE,All_reads,HQ_reads
SRR3739685,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739685,Dyak_alcohol_dehydrogenase,1.39,1.16
SRR3739685,Dyakprotein_yellow,0.61,0.59
SRR3739685,PPI251,0.00,0.00
SRR3739685,Shellder,0.02,0.00
SRR3739685,Spoink,0.49,0.02
Sample,TE,All_reads,HQ_reads
SRR3739686,Dyak_achaete_scute_complex_protein_T3,0.08,0.08
SRR3739686,Dyak_alcohol_dehydrogenase,1.43,1.00
SRR3739686,Dyakprotein_yellow,0.57,0.55
SRR3739686,PPI251,0.00,0.00
SRR3739686,Shellder,0.00,0.00
SRR3739686,Spoink,0.44,0.03
Sample,TE,All_reads,HQ_reads
SRR3739687,Dyak_achaete_scute_complex_protein_T3,0.06,0.04
SRR3739687,Dyak_alcohol_dehydrogenase,1.29,0.82
SRR3739687,Dyakprotein_yellow,0.71,0.66
SRR3739687,PPI251,0.00,0.00
SRR3739687,Shellder,0.02,0.00
SRR3739687,Spoink,0.33,0.02
Sample,TE,All_reads,HQ_reads
SRR3739688,Dyak_achaete_scute_complex_protein_T3,0.00,0.00
SRR3739688,Dyak_alcohol_dehydrogenase,1.36,0.99
SRR3739688,Dyakprotein_yellow,0.64,0.63
SRR3739688,PPI251,0.00,0.00
SRR3739688,Shellder,0.02,0.00
SRR3739688,Spoink,0.33,0.01
Sample,TE,All_reads,HQ_reads
SRR3739689,Dyak_achaete_scute_complex_protein_T3,0.03,0.03
SRR3739689,Dyak_alcohol_dehydrogenase,1.28,0.94
SRR3739689,Dyakprotein_yellow,0.72,0.71
SRR3739689,PPI251,0.00,0.00
SRR3739689,Shellder,0.01,0.00
SRR3739689,Spoink,0.50,0.03
Sample,TE,All_reads,HQ_reads
SRR3739690,Dyak_achaete_scute_complex_protein_T3,0.07,0.07
SRR3739690,Dyak_alcohol_dehydrogenase,1.46,1.09
SRR3739690,Dyakprotein_yellow,0.54,0.52
SRR3739690,PPI251,0.00,0.00
SRR3739690,Shellder,0.03,0.00
SRR3739690,Spoink,0.57,0.01
