Sample,TE,All_reads,HQ_reads
SRR10728582,412,9.69,5.90
SRR10728582,BLOOD,3.12,2.53
SRR10728582,DMHFL1,8.23,7.15
SRR10728582,DMIFACA,28.14,25.84
SRR10728582,micropia,0.10,0.00
SRR10728582,OPUS,3.56,2.95
SRR10728582,PPI251,0.00,0.00
SRR10728582,Shellder,0.09,0.00
SRR10728582,Souslik,6.46,5.85
SRR10728582,spoink,1.17,0.26
SRR10728582,TIRANT,2.10,1.45
SRR10728582,Transib1,12.13,10.85
Sample,TE,All_reads,HQ_reads
SRR1560087,412,12.58,4.58
SRR1560087,BLOOD,5.87,2.90
SRR1560087,DMHFL1,7.20,1.45
SRR1560087,DMIFACA,29.77,9.10
SRR1560087,micropia,0.02,0.00
SRR1560087,OPUS,4.98,0.76
SRR1560087,PPI251,0.00,0.00
SRR1560087,Shellder,24.79,18.12
SRR1560087,Souslik,6.29,3.29
SRR1560087,spoink,49.93,34.50
SRR1560087,TIRANT,2.37,0.82
SRR1560087,Transib1,15.93,5.30
Sample,TE,All_reads,HQ_reads
SRR1560095,412,9.89,2.80
SRR1560095,BLOOD,5.29,2.44
SRR1560095,DMHFL1,6.49,1.55
SRR1560095,DMIFACA,27.97,9.10
SRR1560095,micropia,0.01,0.00
SRR1560095,OPUS,5.48,1.05
SRR1560095,PPI251,0.00,0.00
SRR1560095,Shellder,12.41,9.18
SRR1560095,Souslik,6.43,3.77
SRR1560095,spoink,31.87,24.04
SRR1560095,TIRANT,2.40,0.80
SRR1560095,Transib1,15.50,5.25
Sample,TE,All_reads,HQ_reads
SRR1560103,412,15.07,9.39
SRR1560103,BLOOD,6.22,5.20
SRR1560103,DMHFL1,9.36,8.38
SRR1560103,DMIFACA,38.69,35.00
SRR1560103,micropia,0.04,0.00
SRR1560103,OPUS,3.90,2.74
SRR1560103,PPI251,0.00,0.00
SRR1560103,Shellder,17.41,15.14
SRR1560103,Souslik,4.93,4.43
SRR1560103,spoink,48.54,36.55
SRR1560103,TIRANT,3.33,2.05
SRR1560103,Transib1,19.69,18.08
Sample,TE,All_reads,HQ_reads
SRR1560108,412,10.07,3.19
SRR1560108,BLOOD,3.09,1.39
SRR1560108,DMHFL1,6.06,1.58
SRR1560108,DMIFACA,29.07,8.95
SRR1560108,micropia,0.01,0.00
SRR1560108,OPUS,4.83,0.81
SRR1560108,PPI251,0.00,0.00
SRR1560108,Shellder,16.89,12.61
SRR1560108,Souslik,4.55,2.04
SRR1560108,spoink,28.96,20.97
SRR1560108,TIRANT,2.31,0.77
SRR1560108,Transib1,16.93,5.63
Sample,TE,All_reads,HQ_reads
SRR1560132,412,16.17,10.55
SRR1560132,BLOOD,6.51,5.51
SRR1560132,DMHFL1,9.16,7.99
SRR1560132,DMIFACA,43.47,40.18
SRR1560132,micropia,0.05,0.00
SRR1560132,OPUS,4.88,3.72
SRR1560132,PPI251,0.00,0.00
SRR1560132,Shellder,20.44,17.22
SRR1560132,Souslik,5.42,4.83
SRR1560132,spoink,24.70,19.96
SRR1560132,TIRANT,3.08,2.38
SRR1560132,Transib1,18.86,17.45
Sample,TE,All_reads,HQ_reads
SRR1560147,412,13.14,8.97
SRR1560147,BLOOD,6.75,5.78
SRR1560147,DMHFL1,7.86,6.89
SRR1560147,DMIFACA,36.46,33.17
SRR1560147,micropia,0.07,0.00
SRR1560147,OPUS,4.28,3.07
SRR1560147,PPI251,0.00,0.00
SRR1560147,Shellder,21.94,19.19
SRR1560147,Souslik,4.75,4.31
SRR1560147,spoink,17.80,14.44
SRR1560147,TIRANT,3.15,2.22
SRR1560147,Transib1,21.60,19.88
Sample,TE,All_reads,HQ_reads
SRR1560148,412,12.82,5.23
SRR1560148,BLOOD,4.20,2.26
SRR1560148,DMHFL1,8.10,2.06
SRR1560148,DMIFACA,26.11,8.38
SRR1560148,micropia,0.03,0.00
SRR1560148,OPUS,5.01,0.85
SRR1560148,PPI251,0.00,0.00
SRR1560148,Shellder,9.33,6.97
SRR1560148,Souslik,5.30,2.69
SRR1560148,spoink,42.80,31.04
SRR1560148,TIRANT,2.67,0.89
SRR1560148,Transib1,12.03,3.63
Sample,TE,All_reads,HQ_reads
SRR1560268,412,16.23,11.41
SRR1560268,BLOOD,5.38,4.51
SRR1560268,DMHFL1,11.00,9.54
SRR1560268,DMIFACA,32.57,29.38
SRR1560268,micropia,0.05,0.00
SRR1560268,OPUS,4.37,2.99
SRR1560268,PPI251,0.00,0.00
SRR1560268,Shellder,8.90,7.78
SRR1560268,Souslik,8.89,8.22
SRR1560268,spoink,76.04,63.59
SRR1560268,TIRANT,2.89,2.01
SRR1560268,Transib1,19.48,18.13
Sample,TE,All_reads,HQ_reads
SRR1560275,412,17.40,11.94
SRR1560275,BLOOD,7.61,6.52
SRR1560275,DMHFL1,8.48,7.35
SRR1560275,DMIFACA,33.88,30.94
SRR1560275,micropia,0.07,0.00
SRR1560275,OPUS,4.60,2.81
SRR1560275,PPI251,0.00,0.00
SRR1560275,Shellder,18.25,15.68
SRR1560275,Souslik,4.13,3.78
SRR1560275,spoink,30.52,24.21
SRR1560275,TIRANT,3.16,2.07
SRR1560275,Transib1,14.04,13.08
Sample,TE,All_reads,HQ_reads
SRR19973828,412,12.01,7.20
SRR19973828,BLOOD,3.95,3.24
SRR19973828,DMHFL1,8.90,7.69
SRR19973828,DMIFACA,34.12,31.59
SRR19973828,micropia,0.09,0.00
SRR19973828,OPUS,5.17,3.66
SRR19973828,PPI251,0.00,0.00
SRR19973828,Shellder,0.07,0.00
SRR19973828,Souslik,6.35,5.79
SRR19973828,spoink,1.93,0.15
SRR19973828,TIRANT,2.56,1.77
SRR19973828,Transib1,12.44,11.41
Sample,TE,All_reads,HQ_reads
SRR6425993,412,21.59,13.92
SRR6425993,BLOOD,5.75,4.44
SRR6425993,DMHFL1,9.75,8.39
SRR6425993,DMIFACA,27.50,24.96
SRR6425993,micropia,0.12,0.00
SRR6425993,OPUS,5.47,4.09
SRR6425993,PPI251,0.00,0.00
