"Sample","TE","All_reads","HQ_reads"
"SRR23876563","412","2.01","0.31"
"SRR23876563","BLOOD","2.77","1.04"
"SRR23876563","99_Jockey_Harwich2SLA001","11.21","3.14"
"SRR23876563","08_BARI_Harwich2TOM008","17.94","6.43"
"SRR23876563","62_MDG3_Harwich2SLA001","1.88","0.62"
"SRR23876563","DMHFL1","1.27","0.28"
"SRR23876563","DMIFACA","9.62","3.19"
"SRR23876563","micropia","0.03","0.00"
"SRR23876563","OPUS","4.66","0.04"
"SRR23876563","PPI251","0.00","0.00"
"SRR23876563","Souslik","2.31","0.69"
"SRR23876563","spoink","3.82","0.02"
"SRR23876563","TIRANT","0.14","0.01"
"SRR23876563","TRANSIB1_DNA_CMC_Transib","2.91","1.39"
"SRR23876564","412","1.47","0.18"
"SRR23876564","BLOOD","4.11","1.46"
"SRR23876564","99_Jockey_Harwich2SLA001","10.42","2.51"
"SRR23876564","08_BARI_Harwich2TOM008","13.56","4.19"
"SRR23876564","62_MDG3_Harwich2SLA001","1.77","0.55"
"SRR23876564","DMHFL1","2.29","0.53"
"SRR23876564","DMIFACA","9.78","2.38"
"SRR23876564","micropia","0.00","0.00"
"SRR23876564","OPUS","27.40","0.06"
"SRR23876564","PPI251","0.00","0.00"
"SRR23876564","Souslik","2.03","0.53"
"SRR23876564","spoink","23.17","0.02"
"SRR23876564","TIRANT","0.15","0.01"
"SRR23876564","TRANSIB1_DNA_CMC_Transib","3.22","1.31"
"SRR23876562","412","1.83","0.24"
"SRR23876562","BLOOD","4.65","2.19"
"SRR23876562","99_Jockey_Harwich2SLA001","7.69","2.70"
"SRR23876562","08_BARI_Harwich2TOM008","17.51","6.97"
"SRR23876562","62_MDG3_Harwich2SLA001","1.48","0.47"
"SRR23876562","DMHFL1","2.38","0.71"
"SRR23876562","DMIFACA","10.52","3.86"
"SRR23876562","micropia","0.02","0.00"
"SRR23876562","OPUS","3.96","0.04"
"SRR23876562","PPI251","0.00","0.00"
"SRR23876562","Souslik","1.50","0.51"
"SRR23876562","spoink","3.11","0.02"
"SRR23876562","TIRANT","0.17","0.02"
"SRR23876562","TRANSIB1_DNA_CMC_Transib","3.88","2.17"
"SRR23876569","412","2.26","0.23"
"SRR23876569","BLOOD","6.46","3.11"
"SRR23876569","99_Jockey_Harwich2SLA001","5.74","2.08"
"SRR23876569","08_BARI_Harwich2TOM008","22.50","8.51"
"SRR23876569","62_MDG3_Harwich2SLA001","2.38","0.75"
"SRR23876569","DMHFL1","2.85","0.82"
"SRR23876569","DMIFACA","11.09","3.85"
"SRR23876569","micropia","0.02","0.00"
"SRR23876569","OPUS","7.66","0.05"
"SRR23876569","PPI251","0.00","0.00"
"SRR23876569","Souslik","1.57","0.47"
"SRR23876569","spoink","6.98","0.02"
"SRR23876569","TIRANT","0.18","0.02"
"SRR23876569","TRANSIB1_DNA_CMC_Transib","4.05","2.14"
"SRR23876586","412","64.19","33.97"
"SRR23876586","BLOOD","28.11","15.03"
"SRR23876586","99_Jockey_Harwich2SLA001","14.16","4.83"
"SRR23876586","08_BARI_Harwich2TOM008","19.47","7.22"
"SRR23876586","62_MDG3_Harwich2SLA001","2.19","0.67"
"SRR23876586","DMHFL1","1.55","0.36"
"SRR23876586","DMIFACA","12.65","4.42"
"SRR23876586","micropia","0.03","0.00"
"SRR23876586","OPUS","42.10","17.63"
"SRR23876586","PPI251","0.00","0.00"
"SRR23876586","Souslik","2.63","0.82"
"SRR23876586","spoink","3.58","0.03"
"SRR23876586","TIRANT","0.19","0.01"
"SRR23876586","TRANSIB1_DNA_CMC_Transib","3.31","1.72"
"SRR11846555","412","46.48","38.27"
"SRR11846555","BLOOD","33.10","28.32"
"SRR11846555","99_Jockey_Harwich2SLA001","14.05","9.12"
"SRR11846555","08_BARI_Harwich2TOM008","26.34","19.53"
"SRR11846555","62_MDG3_Harwich2SLA001","2.83","1.84"
"SRR11846555","DMHFL1","3.31","1.79"
"SRR11846555","DMIFACA","15.21","11.06"
"SRR11846555","micropia","0.12","0.00"
"SRR11846555","OPUS","30.97","24.34"
"SRR11846555","PPI251","0.00","0.00"
"SRR11846555","Souslik","2.50","1.62"
"SRR11846555","spoink","2.29","0.10"
"SRR11846555","TIRANT","0.47","0.07"
"SRR11846555","TRANSIB1_DNA_CMC_Transib","3.92","3.47"
"SRR11846565","412","45.50","36.98"
"SRR11846565","BLOOD","14.21","11.80"
"SRR11846565","99_Jockey_Harwich2SLA001","8.02","4.81"
"SRR11846565","08_BARI_Harwich2TOM008","19.86","14.91"
"SRR11846565","62_MDG3_Harwich2SLA001","5.80","3.81"
"SRR11846565","DMHFL1","4.85","2.76"
"SRR11846565","DMIFACA","16.45","12.31"
"SRR11846565","micropia","0.09","0.00"
"SRR11846565","OPUS","31.41","25.45"
"SRR11846565","PPI251","0.00","0.00"
"SRR11846565","Souslik","3.72","2.51"
"SRR11846565","spoink","1.61","0.14"
"SRR11846565","TIRANT","6.97","4.99"
"SRR11846565","TRANSIB1_DNA_CMC_Transib","3.53","3.15"
"SRR457698","412","29.70","21.60"
"SRR457698","BLOOD","38.67","28.47"
"SRR457698","99_Jockey_Harwich2SLA001","15.63","1.27"
"SRR457698","08_BARI_Harwich2TOM008","15.71","4.61"
"SRR457698","62_MDG3_Harwich2SLA001","1.71","0.35"
"SRR457698","DMHFL1","21.05","16.96"
"SRR457698","DMIFACA","40.68","24.97"
"SRR457698","micropia","0.02","0.00"
"SRR457698","OPUS","23.79","16.38"
"SRR457698","PPI251","0.00","0.00"
"SRR457698","Souslik","2.11","0.09"
"SRR457698","spoink","2.19","0.00"
"SRR457698","TIRANT","19.14","13.35"
"SRR457698","TRANSIB1_DNA_CMC_Transib","4.56","1.70"
"SRR457707","412","36.73","27.93"
"SRR457707","BLOOD","22.51","16.84"
"SRR457707","99_Jockey_Harwich2SLA001","16.31","7.77"
"SRR457707","08_BARI_Harwich2TOM008","12.63","3.89"
"SRR457707","62_MDG3_Harwich2SLA001","2.85","0.65"
"SRR457707","DMHFL1","1.28","0.08"
"SRR457707","DMIFACA","31.22","18.14"
"SRR457707","micropia","0.03","0.00"
"SRR457707","OPUS","19.38","12.76"
"SRR457707","PPI251","0.00","0.00"
"SRR457707","Souslik","1.60","0.07"
"SRR457707","spoink","2.26","0.00"
"SRR457707","TIRANT","3.09","1.94"
"SRR457707","TRANSIB1_DNA_CMC_Transib","3.39","1.28"
"SRR457701","412","49.47","38.56"
"SRR457701","BLOOD","34.30","25.43"
"SRR457701","99_Jockey_Harwich2SLA001","6.14","0.53"
"SRR457701","08_BARI_Harwich2TOM008","15.88","4.78"
"SRR457701","62_MDG3_Harwich2SLA001","0.95","0.15"
"SRR457701","DMHFL1","67.78","60.68"
"SRR457701","DMIFACA","46.72","29.82"
"SRR457701","micropia","0.04","0.00"
"SRR457701","OPUS","16.17","9.90"
"SRR457701","PPI251","0.00","0.00"
"SRR457701","Souslik","2.87","0.11"
"SRR457701","spoink","2.84","0.00"
"SRR457701","TIRANT","16.69","11.37"
"SRR457701","TRANSIB1_DNA_CMC_Transib","4.24","1.62"
"SRR457669","412","28.50","21.35"
"SRR457669","BLOOD","29.30","22.54"
"SRR457669","99_Jockey_Harwich2SLA001","12.47","0.93"
"SRR457669","08_BARI_Harwich2TOM008","12.61","3.69"
"SRR457669","62_MDG3_Harwich2SLA001","3.18","0.70"
"SRR457669","DMHFL1","11.74","8.99"
"SRR457669","DMIFACA","33.46","20.18"
"SRR457669","micropia","0.03","0.00"
"SRR457669","OPUS","33.59","25.00"
"SRR457669","PPI251","0.00","0.00"
"SRR457669","Souslik","1.64","0.06"
"SRR457669","spoink","1.96","0.00"
"SRR457669","TIRANT","8.28","5.24"
"SRR457669","TRANSIB1_DNA_CMC_Transib","3.68","1.45"
"SRR457697","412","34.94","26.78"
"SRR457697","BLOOD","30.48","23.37"
"SRR457697","99_Jockey_Harwich2SLA001","9.38","1.74"
"SRR457697","08_BARI_Harwich2TOM008","13.43","4.01"
"SRR457697","62_MDG3_Harwich2SLA001","2.17","0.45"
