Sample,TE,All_reads,HQ_reads
SRR14138506,412,24.16,17.68
SRR14138506,BLOOD,8.61,7.47
SRR14138506,DMHFL1,9.81,7.67
SRR14138506,DMIFACA,27.58,24.65
SRR14138506,micropia,0.16,0.00
SRR14138506,OPUS,14.87,10.45
SRR14138506,PPI251,0.00,0.00
SRR14138506,Shellder,0.05,0.00
SRR14138506,Souslik,6.68,6.12
SRR14138506,spoink,2.92,0.10
SRR14138506,TIRANT,7.76,6.38
SRR14138506,Transib1,14.72,13.49
Sample,TE,All_reads,HQ_reads
SRR14138507,412,23.19,16.74
SRR14138507,BLOOD,8.24,7.13
SRR14138507,DMHFL1,9.94,7.91
SRR14138507,DMIFACA,25.78,23.02
SRR14138507,micropia,0.18,0.00
SRR14138507,OPUS,16.56,10.13
SRR14138507,PPI251,0.00,0.00
SRR14138507,Shellder,0.05,0.00
SRR14138507,Souslik,6.29,5.73
SRR14138507,spoink,4.85,0.10
SRR14138507,TIRANT,7.41,6.08
SRR14138507,Transib1,14.82,13.54
Sample,TE,All_reads,HQ_reads
SRR5514394,412,22.29,7.66
SRR5514394,BLOOD,6.86,2.75
SRR5514394,DMHFL1,4.26,1.41
SRR5514394,DMIFACA,11.98,4.29
SRR5514394,micropia,0.01,0.00
SRR5514394,OPUS,12.84,4.95
SRR5514394,PPI251,0.00,0.00
SRR5514394,Shellder,0.01,0.00
SRR5514394,Souslik,3.56,1.40
SRR5514394,spoink,9.04,3.74
SRR5514394,TIRANT,4.58,1.49
SRR5514394,Transib1,10.26,3.86
Sample,TE,All_reads,HQ_reads
SRR5860570,412,23.97,17.67
SRR5860570,BLOOD,8.71,7.50
SRR5860570,DMHFL1,9.55,7.43
SRR5860570,DMIFACA,32.71,29.03
SRR5860570,micropia,0.18,0.00
SRR5860570,OPUS,14.17,11.32
SRR5860570,PPI251,0.00,0.00
SRR5860570,Shellder,0.07,0.00
SRR5860570,Souslik,7.27,6.49
SRR5860570,spoink,0.99,0.09
SRR5860570,TIRANT,8.26,6.64
SRR5860570,Transib1,14.01,12.77
Sample,TE,All_reads,HQ_reads
SRR5860573,412,19.27,14.05
SRR5860573,BLOOD,6.68,5.77
SRR5860573,DMHFL1,9.29,7.31
SRR5860573,DMIFACA,26.34,23.49
SRR5860573,micropia,0.16,0.00
SRR5860573,OPUS,12.13,9.74
SRR5860573,PPI251,0.00,0.00
SRR5860573,Shellder,0.07,0.00
SRR5860573,Souslik,6.41,5.85
SRR5860573,spoink,0.86,0.09
SRR5860573,TIRANT,7.21,5.82
SRR5860573,Transib1,12.11,11.09
Sample,TE,All_reads,HQ_reads
SRR5860582,412,21.28,15.64
SRR5860582,BLOOD,7.59,6.61
SRR5860582,DMHFL1,8.14,6.43
SRR5860582,DMIFACA,31.76,28.59
SRR5860582,micropia,0.17,0.00
SRR5860582,OPUS,12.38,10.01
SRR5860582,PPI251,0.00,0.00
SRR5860582,Shellder,0.08,0.01
SRR5860582,Souslik,6.49,5.90
SRR5860582,spoink,1.00,0.15
SRR5860582,TIRANT,7.89,6.42
SRR5860582,Transib1,14.66,13.40
Sample,TE,All_reads,HQ_reads
SRR5860583,412,19.25,14.01
SRR5860583,BLOOD,5.99,5.10
SRR5860583,DMHFL1,8.65,7.03
SRR5860583,DMIFACA,25.40,22.72
SRR5860583,micropia,0.14,0.00
SRR5860583,OPUS,11.60,9.46
SRR5860583,PPI251,0.00,0.00
SRR5860583,Shellder,7.77,6.91
SRR5860583,Souslik,4.71,4.27
SRR5860583,spoink,22.03,17.27
SRR5860583,TIRANT,9.45,7.71
SRR5860583,Transib1,11.72,10.85
Sample,TE,All_reads,HQ_reads
SRR5860584,412,22.59,16.58
SRR5860584,BLOOD,8.10,7.04
SRR5860584,DMHFL1,8.11,6.36
SRR5860584,DMIFACA,31.09,27.85
SRR5860584,micropia,0.16,0.01
SRR5860584,OPUS,12.45,10.04
SRR5860584,PPI251,0.00,0.00
SRR5860584,Shellder,0.07,0.01
SRR5860584,Souslik,6.68,6.11
SRR5860584,spoink,1.01,0.11
SRR5860584,TIRANT,7.97,6.53
SRR5860584,Transib1,14.79,13.52
Sample,TE,All_reads,HQ_reads
SRR5860625,412,53.82,42.11
SRR5860625,BLOOD,13.66,11.72
SRR5860625,DMHFL1,9.44,8.04
SRR5860625,DMIFACA,32.15,30.22
SRR5860625,micropia,0.19,0.01
SRR5860625,OPUS,22.64,18.29
SRR5860625,PPI251,0.00,0.00
SRR5860625,Shellder,10.16,8.89
SRR5860625,Souslik,6.53,5.93
SRR5860625,spoink,26.03,21.43
SRR5860625,TIRANT,14.21,12.32
SRR5860625,Transib1,21.89,20.85
Sample,TE,All_reads,HQ_reads
SRR5860626,412,39.57,29.85
SRR5860626,BLOOD,12.14,10.62
SRR5860626,DMHFL1,10.30,8.76
SRR5860626,DMIFACA,36.33,34.55
SRR5860626,micropia,0.24,0.02
SRR5860626,OPUS,17.12,13.86
SRR5860626,PPI251,0.01,0.01
SRR5860626,Shellder,0.07,0.01
SRR5860626,Souslik,8.17,7.57
SRR5860626,spoink,2.03,0.72
SRR5860626,TIRANT,10.70,9.13
SRR5860626,Transib1,16.96,16.30
Sample,TE,All_reads,HQ_reads
SRR5860627,412,43.92,33.86
SRR5860627,BLOOD,12.18,10.26
SRR5860627,DMHFL1,10.41,8.82
SRR5860627,DMIFACA,30.28,28.31
SRR5860627,micropia,0.28,0.03
SRR5860627,OPUS,21.21,17.26
SRR5860627,PPI251,0.01,0.01
SRR5860627,Shellder,21.97,19.21
SRR5860627,Souslik,5.61,5.15
SRR5860627,spoink,27.59,22.70
SRR5860627,TIRANT,13.63,11.66
SRR5860627,Transib1,18.95,18.00
Sample,TE,All_reads,HQ_reads
SRR5860628,412,43.61,32.75
SRR5860628,BLOOD,12.09,10.25
SRR5860628,DMHFL1,9.79,8.30
SRR5860628,DMIFACA,29.92,28.18
SRR5860628,micropia,0.22,0.02
SRR5860628,OPUS,20.06,16.26
SRR5860628,PPI251,0.01,0.01
SRR5860628,Shellder,13.81,12.35
SRR5860628,Souslik,6.30,5.79
SRR5860628,spoink,30.10,24.72
SRR5860628,TIRANT,16.96,14.72
SRR5860628,Transib1,15.48,14.80
Sample,TE,All_reads,HQ_reads
SRR5860629,412,43.38,33.03
SRR5860629,BLOOD,11.70,9.89
SRR5860629,DMHFL1,10.55,8.94
SRR5860629,DMIFACA,32.18,30.29
SRR5860629,micropia,0.22,0.03
SRR5860629,OPUS,20.33,16.50
SRR5860629,PPI251,0.01,0.01
SRR5860629,Shellder,11.33,10.12
SRR5860629,Souslik,6.23,5.70
SRR5860629,spoink,24.36,19.96
SRR5860629,TIRANT,12.37,10.61
SRR5860629,Transib1,16.46,15.75
Sample,TE,All_reads,HQ_reads
SRR5860630,412,48.53,36.85
SRR5860630,BLOOD,13.28,11.16
SRR5860630,DMHFL1,10.67,8.95
SRR5860630,DMIFACA,32.14,29.97
SRR5860630,micropia,0.26,0.02
SRR5860630,OPUS,23.36,18.72
SRR5860630,PPI251,0.00,0.00
SRR5860630,Shellder,6.52,5.78
SRR5860630,Souslik,6.94,6.28
SRR5860630,spoink,25.08,20.31
SRR5860630,TIRANT,13.02,11.10
SRR5860630,Transib1,17.97,17.03
Sample,TE,All_reads,HQ_reads
SRR5860631,412,50.50,39.16
SRR5860631,BLOOD,13.25,11.41
SRR5860631,DMHFL1,9.54,8.11
SRR5860631,DMIFACA,30.81,28.94
SRR5860631,micropia,0.24,0.03
SRR5860631,OPUS,23.24,18.86
SRR5860631,PPI251,0.01,0.01
SRR5860631,Shellder,10.99,9.66
SRR5860631,Souslik,6.12,5.56
SRR5860631,spoink,30.23,25.26
SRR5860631,TIRANT,12.28,10.66
SRR5860631,Transib1,21.17,20.21
Sample,TE,All_reads,HQ_reads
SRR5860632,412,47.95,36.88
SRR5860632,BLOOD,12.80,10.97
SRR5860632,DMHFL1,9.27,7.87
SRR5860632,DMIFACA,29.77,27.98
SRR5860632,micropia,0.21,0.02
SRR5860632,OPUS,21.31,17.24
SRR5860632,PPI251,0.00,0.00
SRR5860632,Shellder,6.71,5.98
SRR5860632,Souslik,5.42,4.93
SRR5860632,spoink,30.08,24.98
SRR5860632,TIRANT,14.03,12.16
SRR5860632,Transib1,18.36,17.62
Sample,TE,All_reads,HQ_reads
SRR5860633,412,35.85,27.13
SRR5860633,BLOOD,12.63,11.06
SRR5860633,DMHFL1,9.50,8.10
SRR5860633,DMIFACA,30.38,28.67
SRR5860633,micropia,0.19,0.01
SRR5860633,OPUS,15.89,12.74
SRR5860633,PPI251,0.00,0.00
SRR5860633,Shellder,9.26,8.24
SRR5860633,Souslik,5.10,4.62
SRR5860633,spoink,25.38,21.62
SRR5860633,TIRANT,11.47,9.80
SRR5860633,Transib1,17.77,16.83
Sample,TE,All_reads,HQ_reads
SRR5860634,412,40.47,30.42
SRR5860634,BLOOD,11.61,9.92
SRR5860634,DMHFL1,11.04,9.35
SRR5860634,DMIFACA,31.22,29.30
SRR5860634,micropia,0.25,0.02
SRR5860634,OPUS,19.23,15.35
SRR5860634,PPI251,0.01,0.01
SRR5860634,Shellder,6.18,5.59
SRR5860634,Souslik,6.43,5.84
SRR5860634,spoink,27.36,22.58
SRR5860634,TIRANT,11.73,10.06
SRR5860634,Transib1,17.05,16.19
Sample,TE,All_reads,HQ_reads
SRR5860639,412,30.87,24.35
SRR5860639,BLOOD,9.61,8.83
SRR5860639,DMHFL1,9.63,8.27
SRR5860639,DMIFACA,27.09,25.89
SRR5860639,micropia,0.23,0.01
SRR5860639,OPUS,15.17,11.66
SRR5860639,PPI251,0.02,0.02
SRR5860639,Shellder,0.08,0.01
SRR5860639,Souslik,6.95,6.46
SRR5860639,spoink,2.13,0.52
SRR5860639,TIRANT,8.19,7.08
SRR5860639,Transib1,18.60,17.80
Sample,TE,All_reads,HQ_reads
SRR5860640,412,49.45,37.77
SRR5860640,BLOOD,12.84,11.07
SRR5860640,DMHFL1,9.64,8.16
SRR5860640,DMIFACA,36.62,34.69
SRR5860640,micropia,0.20,0.02
SRR5860640,OPUS,20.86,16.84
SRR5860640,PPI251,0.00,0.00
SRR5860640,Shellder,0.11,0.03
SRR5860640,Souslik,7.44,6.85
SRR5860640,spoink,2.88,1.01
SRR5860640,TIRANT,11.35,9.81
SRR5860640,Transib1,19.01,18.13
Sample,TE,All_reads,HQ_reads
SRR5860643,412,50.68,38.86
SRR5860643,BLOOD,13.34,11.40
SRR5860643,DMHFL1,9.20,7.82
SRR5860643,DMIFACA,32.49,30.68
SRR5860643,micropia,0.25,0.03
SRR5860643,OPUS,22.93,18.52
