Sample,TE,All_reads,HQ_reads
ERR668305,412,19.66,15.35
ERR668305,BLOOD,9.86,8.87
ERR668305,DMHFL1,27.17,25.41
ERR668305,DMIFACA,29.58,27.66
ERR668305,dsim_Antennapedia,0.95,0.93
ERR668305,micropia,0.03,0.00
ERR668305,OPUS,5.84,4.37
ERR668305,PPI251,0.00,0.00
ERR668305,Shellder,12.38,11.00
ERR668305,Souslik,24.88,23.36
ERR668305,spoink,26.25,22.80
ERR668305,TIRANT,3.56,2.54
ERR668305,Transib1,15.07,13.81
Sample,TE,All_reads,HQ_reads
ERR668306,412,13.70,9.90
ERR668306,BLOOD,7.91,6.98
ERR668306,DMHFL1,31.54,29.31
ERR668306,DMIFACA,25.60,23.31
ERR668306,dsim_Antennapedia,0.96,0.93
ERR668306,micropia,0.02,0.00
ERR668306,OPUS,8.73,6.83
ERR668306,PPI251,0.00,0.00
ERR668306,Shellder,10.97,9.68
ERR668306,Souslik,4.39,3.83
ERR668306,spoink,15.85,13.81
ERR668306,TIRANT,5.49,4.17
ERR668306,Transib1,13.41,12.20
Sample,TE,All_reads,HQ_reads
ERR668307,412,18.68,14.24
ERR668307,BLOOD,10.36,9.10
ERR668307,DMHFL1,32.55,30.14
ERR668307,DMIFACA,26.08,24.11
ERR668307,dsim_Antennapedia,0.96,0.93
ERR668307,micropia,0.02,0.00
ERR668307,OPUS,6.94,5.29
ERR668307,PPI251,0.00,0.00
ERR668307,Shellder,22.52,19.97
ERR668307,Souslik,10.25,9.27
ERR668307,spoink,14.44,12.57
ERR668307,TIRANT,3.66,2.64
ERR668307,Transib1,14.15,12.93
Sample,TE,All_reads,HQ_reads
ERR668308,412,16.39,11.92
ERR668308,BLOOD,6.43,5.61
ERR668308,DMHFL1,21.46,19.69
ERR668308,DMIFACA,25.89,24.06
ERR668308,dsim_Antennapedia,0.90,0.87
ERR668308,micropia,0.02,0.00
ERR668308,OPUS,8.95,7.00
ERR668308,PPI251,0.00,0.00
ERR668308,Shellder,10.88,9.85
ERR668308,Souslik,7.96,7.14
ERR668308,spoink,16.36,14.45
ERR668308,TIRANT,2.73,1.75
ERR668308,Transib1,11.29,10.40
Sample,TE,All_reads,HQ_reads
ERR668309,412,16.68,12.56
ERR668309,BLOOD,8.75,7.78
ERR668309,DMHFL1,27.04,24.80
ERR668309,DMIFACA,22.85,20.80
ERR668309,dsim_Antennapedia,0.93,0.90
ERR668309,micropia,0.07,0.00
ERR668309,OPUS,9.46,7.45
ERR668309,PPI251,0.00,0.00
ERR668309,Shellder,13.53,12.09
ERR668309,Souslik,4.52,4.04
ERR668309,spoink,15.18,13.08
ERR668309,TIRANT,4.06,3.00
ERR668309,Transib1,13.53,12.28
Sample,TE,All_reads,HQ_reads
ERR668310,412,14.96,10.91
ERR668310,BLOOD,8.60,7.58
ERR668310,DMHFL1,21.94,20.25
ERR668310,DMIFACA,25.08,23.06
ERR668310,dsim_Antennapedia,0.94,0.92
ERR668310,micropia,0.04,0.00
ERR668310,OPUS,8.38,6.58
ERR668310,PPI251,0.00,0.00
ERR668310,Shellder,22.03,19.53
ERR668310,Souslik,9.63,8.74
ERR668310,spoink,19.80,17.40
ERR668310,TIRANT,7.28,5.82
ERR668310,Transib1,16.91,15.50
Sample,TE,All_reads,HQ_reads
ERR668311,412,14.41,10.43
ERR668311,BLOOD,6.65,5.89
ERR668311,DMHFL1,40.43,38.14
ERR668311,DMIFACA,26.82,24.79
ERR668311,dsim_Antennapedia,0.95,0.93
ERR668311,micropia,0.03,0.00
ERR668311,OPUS,6.31,4.61
ERR668311,PPI251,0.00,0.00
ERR668311,Shellder,10.09,8.94
ERR668311,Souslik,5.51,4.87
ERR668311,spoink,24.73,21.87
ERR668311,TIRANT,7.87,6.42
ERR668311,Transib1,13.04,11.78
Sample,TE,All_reads,HQ_reads
ERR668312,412,16.46,12.24
ERR668312,BLOOD,7.58,6.72
ERR668312,DMHFL1,26.85,24.88
ERR668312,DMIFACA,28.49,26.48
ERR668312,dsim_Antennapedia,0.96,0.94
ERR668312,micropia,0.03,0.00
ERR668312,OPUS,18.55,15.24
ERR668312,PPI251,0.00,0.00
ERR668312,Shellder,12.89,11.43
ERR668312,Souslik,9.52,8.63
ERR668312,spoink,20.62,18.14
ERR668312,TIRANT,2.63,1.78
ERR668312,Transib1,19.38,17.88
Sample,TE,All_reads,HQ_reads
ERR668313,412,16.37,12.14
ERR668313,BLOOD,6.99,6.15
ERR668313,DMHFL1,24.55,22.60
ERR668313,DMIFACA,24.51,22.71
ERR668313,dsim_Antennapedia,0.90,0.88
ERR668313,micropia,0.02,0.00
ERR668313,OPUS,9.71,7.44
ERR668313,PPI251,0.00,0.00
ERR668313,Shellder,7.97,7.31
ERR668313,Souslik,8.35,7.56
ERR668313,spoink,17.44,15.27
ERR668313,TIRANT,2.78,1.88
ERR668313,Transib1,14.55,13.43
Sample,TE,All_reads,HQ_reads
ERR668314,412,17.48,13.36
ERR668314,BLOOD,7.90,6.99
ERR668314,DMHFL1,28.79,26.86
ERR668314,DMIFACA,24.25,22.44
ERR668314,dsim_Antennapedia,0.89,0.88
ERR668314,micropia,0.04,0.00
ERR668314,OPUS,15.36,12.88
ERR668314,PPI251,0.00,0.00
ERR668314,Shellder,20.91,18.85
ERR668314,Souslik,5.83,5.30
ERR668314,spoink,10.86,9.50
ERR668314,TIRANT,2.11,1.48
ERR668314,Transib1,14.56,13.56
Sample,TE,All_reads,HQ_reads
ERR668315,412,17.34,13.11
ERR668315,BLOOD,6.61,5.89
ERR668315,DMHFL1,35.32,32.87
ERR668315,DMIFACA,19.34,17.43
ERR668315,dsim_Antennapedia,0.95,0.93
ERR668315,micropia,0.02,0.00
ERR668315,OPUS,8.66,6.35
ERR668315,PPI251,0.00,0.00
ERR668315,Shellder,17.05,15.24
ERR668315,Souslik,5.73,5.11
ERR668315,spoink,17.65,15.37
ERR668315,TIRANT,2.58,1.77
ERR668315,Transib1,19.11,17.53
Sample,TE,All_reads,HQ_reads
ERR668316,412,17.06,12.88
ERR668316,BLOOD,7.43,6.67
ERR668316,DMHFL1,30.90,28.11
ERR668316,DMIFACA,26.99,24.95
ERR668316,dsim_Antennapedia,0.96,0.94
ERR668316,micropia,0.03,0.00
ERR668316,OPUS,7.12,5.17
ERR668316,PPI251,0.00,0.00
ERR668316,Shellder,17.18,15.25
ERR668316,Souslik,7.99,7.26
ERR668316,spoink,17.41,15.24
ERR668316,TIRANT,4.79,3.66
ERR668316,Transib1,16.38,15.09
Sample,TE,All_reads,HQ_reads
ERR668317,412,25.20,19.58
ERR668317,BLOOD,8.19,7.33
ERR668317,DMHFL1,32.09,29.87
ERR668317,DMIFACA,21.85,20.00
ERR668317,dsim_Antennapedia,0.96,0.93
ERR668317,micropia,0.03,0.00
