Sample,TE,All_reads,HQ_reads
SRR5860571,ATPdependentRNAhelicaseWM6,1.15,1.11
SRR5860571,PPI251,0.00,0.00
SRR5860571,Seminase,1.09,1.03
SRR5860571,serineprotease7,0.76,0.75
SRR5860571,Shellder,0.20,0.02
SRR5860571,Spoink,0.34,0.05
Sample,TE,All_reads,HQ_reads
SRR5860572,ATPdependentRNAhelicaseWM6,1.08,1.06
SRR5860572,PPI251,0.01,0.01
SRR5860572,Seminase,1.07,1.02
SRR5860572,serineprotease7,0.85,0.83
SRR5860572,Shellder,21.61,19.04
SRR5860572,Spoink,0.42,0.04
Sample,TE,All_reads,HQ_reads
SRR5860576,ATPdependentRNAhelicaseWM6,1.29,1.26
SRR5860576,PPI251,0.00,0.00
SRR5860576,Seminase,0.63,0.62
SRR5860576,serineprotease7,1.08,1.07
SRR5860576,Shellder,0.20,0.00
SRR5860576,Spoink,0.63,0.03
Sample,TE,All_reads,HQ_reads
SRR5860577,ATPdependentRNAhelicaseWM6,1.08,1.04
SRR5860577,PPI251,0.00,0.00
SRR5860577,Seminase,0.95,0.91
SRR5860577,serineprotease7,0.97,0.94
SRR5860577,Shellder,0.19,0.00
SRR5860577,Spoink,0.62,0.05
Sample,TE,All_reads,HQ_reads
SRR5860615,ATPdependentRNAhelicaseWM6,1.09,1.06
SRR5860615,PPI251,0.00,0.00
SRR5860615,Seminase,1.00,0.97
SRR5860615,serineprotease7,0.90,0.89
SRR5860615,Shellder,11.78,10.39
SRR5860615,Spoink,0.42,0.04
Sample,TE,All_reads,HQ_reads
SRR5860616,ATPdependentRNAhelicaseWM6,1.09,1.06
SRR5860616,PPI251,0.00,0.00
SRR5860616,Seminase,1.10,1.07
SRR5860616,serineprotease7,0.81,0.79
SRR5860616,Shellder,10.33,9.07
SRR5860616,Spoink,0.38,0.05
Sample,TE,All_reads,HQ_reads
SRR5860617,ATPdependentRNAhelicaseWM6,1.02,1.00
SRR5860617,PPI251,0.03,0.02
SRR5860617,Seminase,1.11,1.08
SRR5860617,serineprotease7,0.86,0.84
SRR5860617,Shellder,14.53,12.87
SRR5860617,Spoink,0.45,0.06
Sample,TE,All_reads,HQ_reads
SRR5860618,ATPdependentRNAhelicaseWM6,1.25,1.22
SRR5860618,PPI251,0.01,0.01
SRR5860618,Seminase,0.96,0.92
SRR5860618,serineprotease7,0.80,0.79
SRR5860618,Shellder,15.40,13.63
SRR5860618,Spoink,0.34,0.03
Sample,TE,All_reads,HQ_reads
SRR5860619,ATPdependentRNAhelicaseWM6,1.11,1.09
SRR5860619,PPI251,0.00,0.00
SRR5860619,Seminase,0.95,0.92
SRR5860619,serineprotease7,0.94,0.93
SRR5860619,Shellder,0.20,0.03
SRR5860619,Spoink,0.43,0.05
Sample,TE,All_reads,HQ_reads
SRR5860620,ATPdependentRNAhelicaseWM6,1.14,1.11
SRR5860620,PPI251,0.00,0.00
SRR5860620,Seminase,0.94,0.87
SRR5860620,serineprotease7,0.92,0.90
SRR5860620,Shellder,0.20,0.02
SRR5860620,Spoink,0.40,0.05
Sample,TE,All_reads,HQ_reads
SRR5860621,ATPdependentRNAhelicaseWM6,1.06,1.03
SRR5860621,PPI251,0.00,0.00
SRR5860621,Seminase,1.17,1.10
SRR5860621,serineprotease7,0.78,0.75
SRR5860621,Shellder,19.67,17.43
SRR5860621,Spoink,0.42,0.03
Sample,TE,All_reads,HQ_reads
SRR5860622,ATPdependentRNAhelicaseWM6,1.19,1.16
SRR5860622,PPI251,0.01,0.01
SRR5860622,Seminase,0.95,0.91
SRR5860622,serineprotease7,0.86,0.85
SRR5860622,Shellder,10.66,9.35
SRR5860622,Spoink,0.45,0.04
Sample,TE,All_reads,HQ_reads
SRR5860623,ATPdependentRNAhelicaseWM6,1.06,1.03
SRR5860623,PPI251,0.00,0.00
SRR5860623,Seminase,1.12,1.06
SRR5860623,serineprotease7,0.82,0.82
SRR5860623,Shellder,11.43,10.13
SRR5860623,Spoink,0.36,0.03
