Sample,TE,All_reads,HQ_reads
SRR1560103,1360,47.83,30.56
SRR1560103,6,0.36,0.05
SRR1560103,1731,11.32,10.18
SRR1560103,297,13.08,8.70
SRR1560103,412,6.23,2.67
SRR1560103,accord,5.12,4.37
SRR1560103,accord2,4.12,3.22
SRR1560103,Baggins1,52.97,46.75
SRR1560103,Bari1,15.55,15.39
SRR1560103,Bari2,0.72,0.27
SRR1560103,BEL,12.63,10.72
SRR1560103,Bica,4.56,4.17
SRR1560103,blood,5.55,5.00
SRR1560103,BS,4.23,2.41
SRR1560103,BS2,15.39,0.46
SRR1560103,BS3,4.24,3.28
SRR1560103,BS4,3.19,2.18
SRR1560103,Burdock,12.78,11.32
SRR1560103,Chimpo,5.55,4.97
SRR1560103,Chouto,5.52,4.00
SRR1560103,Circe,8.07,6.69
SRR1560103,copia,11.64,10.60
SRR1560103,copia2,3.84,0.07
SRR1560103,diver,4.88,4.04
SRR1560103,diver2,24.57,18.61
SRR1560103,Dm88,4.44,0.07
SRR1560103,dmau_Antennapedia,1.01,1.00
SRR1560103,dmau_Osi6,0.91,0.90
SRR1560103,dmau_wingless,0.99,0.98
SRR1560103,DMRT1A,113.41,99.85
SRR1560103,DMRT1C,14.53,10.58
SRR1560103,DNAREP1,304.02,76.44
SRR1560103,DNAREP1-like,7.41,0.07
SRR1560103,Doc,28.25,26.93
SRR1560103,Doc2,16.14,15.64
SRR1560103,Doc3,19.61,16.91
SRR1560103,Doc4,2.26,1.66
SRR1560103,Doc5,9.22,7.50
SRR1560103,F-element,20.97,6.85
SRR1560103,family-0_Copia-like,3.43,0.34
SRR1560103,family-0_MULE-NOF,15.34,1.93
SRR1560103,family-100_HMS-beagle,0.00,0.00
SRR1560103,family-105_gypsy,0.32,0.03
SRR1560103,family-110_gypsy_SAP,9.97,8.92
SRR1560103,family-1124_gypsy-frag,3.33,2.62
SRR1560103,family-113_micropia-like,1.26,0.61
SRR1560103,family-117_gypsy,17.94,6.14
SRR1560103,family-1205_Tc3,0.05,0.00
SRR1560103,family-134_gypsy,9.70,3.34
SRR1560103,family-139_FW2-like,16.38,3.51
SRR1560103,family-1439_Tc3,0.70,0.02
SRR1560103,family-149_HMS-beagle,0.21,0.01
SRR1560103,family-15_G-like,3.88,0.12
SRR1560103,family-2202_Pao,4.95,2.23
SRR1560103,family-2226_Tc1-like,2.00,0.43
SRR1560103,family-2266_Blastopia-like,0.04,0.00
SRR1560103,family-252_hAT_BEDzf,0.39,0.22
SRR1560103,family-325_gypsy,3.82,2.89
SRR1560103,family-358_hAT,5.65,4.46
SRR1560103,family-3655_gypsy,0.94,0.41
SRR1560103,family-3830_accord-like,0.81,0.69
SRR1560103,family-4408_gypsy,2.38,0.07
SRR1560103,family-447_HETA-like,0.56,0.09
SRR1560103,family-4955_hAT,0.89,0.59
SRR1560103,family-49_Tc3,0.11,0.00
SRR1560103,family-5171_Pao,0.02,0.00
SRR1560103,family-53_gypsy_truncated,20.57,5.03
SRR1560103,family-58_micropia-like,5.75,5.45
SRR1560103,family-6086_diver,6.29,3.10
SRR1560103,family-63_micropia-like,7.47,5.73
SRR1560103,family-70_diver-like,3.51,0.42
SRR1560103,family-70_Diver2-like,4.80,2.28
SRR1560103,family-7121_ninja-like,4.56,2.49
SRR1560103,family-732_gypsy,7.30,5.59
SRR1560103,family-92_copia-like,0.00,0.00
SRR1560103,family-966_Pao,2.39,0.80
SRR1560103,family-999_gypsy,0.60,0.10
SRR1560103,FB,31.61,8.82
SRR1560103,flea,11.39,10.67
SRR1560103,frogger,1.34,1.02
SRR1560103,Fw2,4.88,3.88
SRR1560103,Fw3,1.68,1.22
SRR1560103,G-element,2.03,0.00
SRR1560103,G2,7.32,2.96
SRR1560103,G3,0.24,0.09
SRR1560103,G4,4.38,3.82
SRR1560103,G5,10.33,7.95
SRR1560103,G5A,4.88,3.38
SRR1560103,G6,72.99,70.30
SRR1560103,GATE,15.82,13.62
SRR1560103,Gedeo_Dmel,2.45,1.42
SRR1560103,gtwin,0.78,0.19
SRR1560103,gypsy,6.60,4.07
SRR1560103,gypsy10,0.46,0.06
SRR1560103,gypsy11,2.88,1.15
SRR1560103,gypsy12,9.43,4.84
SRR1560103,gypsy12A,4.28,1.47
