Sample,TE,All_reads,HQ_reads
SRR1560103,1360,47.63,30.43
SRR1560103,412,11.95,8.35
SRR1560103,ACCORD,5.13,4.37
SRR1560103,AF009439,0.00,0.00
SRR1560103,AF056940,0.03,0.00
SRR1560103,AF222049,12.61,11.33
SRR1560103,AF418572,0.00,0.00
SRR1560103,AF541951,0.20,0.06
SRR1560103,AY561850,5.21,2.44
SRR1560103,BAGGINS,52.97,46.79
SRR1560103,Beagle,16.11,12.69
SRR1560103,Beagle2,0.86,0.35
SRR1560103,BLOOD,5.54,4.99
SRR1560103,BS,3.05,2.40
SRR1560103,BS3,4.25,3.28
SRR1560103,BS4,3.24,2.23
SRR1560103,BUT1,0.00,0.00
SRR1560103,BUT2,0.00,0.00
SRR1560103,BUT3,0.00,0.00
SRR1560103,BUT4,0.00,0.00
SRR1560103,BUT5,0.00,0.00
SRR1560103,BUT6,0.03,0.00
SRR1560103,CIRC,8.05,6.68
SRR1560103,DBU133521,0.00,0.00
SRR1560103,DDBARI1,3.33,0.42
SRR1560103,DFU309320,0.47,0.01
SRR1560103,DH14600,0.00,0.00
SRR1560103,DHMINOS,0.15,0.02
SRR1560103,DHUHUH3,0.00,0.00
SRR1560103,DIVER2,25.92,19.41
SRR1560103,DK29466,0.00,0.00
SRR1560103,DM06920,0.66,0.14
SRR1560103,DM14101,1.67,0.27
SRR1560103,DM23420,12.60,10.59
SRR1560103,DM33463,1.51,0.21
SRR1560103,DM88,8.90,7.39
SRR1560103,DM_ROO,22.26,20.43
SRR1560103,dmau_Antennapedia,1.01,1.00
SRR1560103,dmau_Osi6,0.91,0.90
SRR1560103,dmau_wingless,0.99,0.98
SRR1560103,DMAURA,2.22,0.71
SRR1560103,DMBARI1,15.54,15.38
SRR1560103,DMBLPP,11.39,10.67
SRR1560103,DMCOPIA,11.63,10.62
SRR1560103,DMCR1A,111.01,87.94
SRR1560103,DMDM11,8.30,6.90
SRR1560103,DME010298,15.84,13.57
SRR1560103,DME278684,2.02,1.02
SRR1560103,DME487856,17.88,15.65
SRR1560103,DME9736,16.07,6.73
SRR1560103,DMGYPF1A,6.61,4.08
SRR1560103,DMHFL1,8.56,7.49
SRR1560103,DMIFACA,33.01,27.55
SRR1560103,DMIS176,0.36,0.06
SRR1560103,DMIS297,13.24,8.92
SRR1560103,DMLINEJA,8.63,8.42
SRR1560103,DMMAR,9.04,0.00
SRR1560103,DMMDG3,8.79,7.46
SRR1560103,DMPOGOR11,0.00,0.00
SRR1560103,DMREPG,3.60,1.88
SRR1560103,DMRER1DM,40.84,32.33
SRR1560103,DMRER2DM,19.51,18.26
SRR1560103,DMRTMGD1,9.25,7.87
SRR1560103,DMTHB1,38.40,20.68
SRR1560103,DMTN1731,11.32,10.17
SRR1560103,DMTNFB,36.30,9.79
SRR1560103,DMTOM1_LTR,19.46,15.13
SRR1560103,DMTRAM,0.00,0.00
SRR1560103,DMTRDNA,18.56,8.85
SRR1560103,DMTRIM,0.00,0.00
SRR1560103,DMU89994,12.80,11.34
SRR1560103,DMW1DOC,28.20,26.92
SRR1560103,DMZAM,1.49,1.14
SRR1560103,DNTOMRETA,0.26,0.00
SRR1560103,DOC2,16.14,15.63
SRR1560103,DOC3,19.63,17.06
SRR1560103,DOC4,2.27,1.67
SRR1560103,DOC5,8.76,6.83
SRR1560103,DPSEMINIME,0.05,0.00
SRR1560103,DSRN,3.42,2.11
SRR1560103,DSV28T24,0.00,0.00
SRR1560103,DTEII,1.11,0.19
SRR1560103,DV26847,0.94,0.00
SRR1560103,DV49102,0.00,0.00
SRR1560103,DVRPPDV,0.00,0.00
SRR1560103,DVULYSS,0.00,0.00
SRR1560103,F,39.19,36.89
SRR1560103,FB,0.29,0.09
SRR1560103,FROGGER,1.34,1.02
SRR1560103,FW2,4.88,3.87
SRR1560103,FW3,1.67,1.22
SRR1560103,G2,8.15,4.63
SRR1560103,G3,0.52,0.11
SRR1560103,G4_DM,4.38,3.82
SRR1560103,G5_DM,12.05,10.04
SRR1560103,G5A,4.90,3.40
SRR1560103,G6_DM,73.41,70.79
SRR1560103,G7,0.56,0.31
SRR1560103,GALILEO,0.00,0.00
SRR1560103,GEM,0.04,0.00
SRR1560103,GTWIN,2.00,0.91
SRR1560103,gypsy-29-dsim,15.60,13.61
SRR1560103,gypsy-7-dsim,46.93,42.02
SRR1560103,GYPSY10,8.27,5.62
SRR1560103,GYPSY11,2.86,1.15
SRR1560103,GYPSY12,12.06,6.53
SRR1560103,GYPSY2,0.44,0.15
SRR1560103,GYPSY3,4.01,1.97
SRR1560103,GYPSY4,2.55,2.23
SRR1560103,GYPSY5,4.07,3.07
SRR1560103,GYPSY6,0.09,0.00
SRR1560103,GYPSY7,1.67,1.11
SRR1560103,GYPSY8,5.27,2.26
SRR1560103,GYPSY9,0.83,0.45
SRR1560103,HEL,11.33,10.53
SRR1560103,HELITRON1_DM,0.00,0.00
SRR1560103,HETAVIR,0.00,0.00
SRR1560103,HOPPER2,1.74,0.64
SRR1560103,INE1,73.21,15.06
SRR1560103,INVADER,7.42,4.76
SRR1560103,INVADER2,15.13,13.67
SRR1560103,INVADER3,7.94,6.94
SRR1560103,INVADER4,2.65,1.13
SRR1560103,INVADER5,1.10,0.38
SRR1560103,INVADER6,4.53,3.62
SRR1560103,ISBU1,0.36,0.00
SRR1560103,ISBU2,0.00,0.00
SRR1560103,ISBU3,0.00,0.00
SRR1560103,IVK,9.90,8.76
SRR1560103,JOCKEY2,3.30,2.15
SRR1560103,JUAN,19.48,19.34
SRR1560103,KEPLER,1.52,0.00
SRR1560103,LOOPER1_DM,1.82,1.42
SRR1560103,M14653,8.59,0.00
SRR1560103,MAR,0.00,0.00
SRR1560103,MARINER2,5.44,3.67
SRR1560103,McCLINTOCK,10.33,8.58
SRR1560103,MD106_gypsy6_Dse,10.08,8.41
SRR1560103,MERCR1A3,0.00,0.00
SRR1560103,NEOR1A,0.05,0.00
SRR1560103,NETR1B,0.00,0.00
SRR1560103,NEWTON,0.00,0.00
SRR1560103,OPUS,2.88,2.54
SRR1560103,OSV,9.13,4.11
SRR1560103,P_M,0.00,0.00
SRR1560103,P_O,0.00,0.00
SRR1560103,P_T,0.03,0.00
SRR1560103,PPI251,0.00,0.00
SRR1560103,Q,10.36,0.06
SRR1560103,QBERT,4.12,3.22
SRR1560103,QUASIMODO,0.21,0.00
SRR1560103,R1-2,1.01,0.52
SRR1560103,ROOA_LTR,18.42,13.25
SRR1560103,ROVER,0.50,0.09
SRR1560103,ROXELEMENT,40.95,38.71
SRR1560103,RT1B,13.60,11.01
SRR1560103,RT1C,13.67,9.25
SRR1560103,S2,0.75,0.29
SRR1560103,SGM,0.15,0.00
SRR1560103,SPOCK,0.00,0.00
SRR1560103,SPRINGER,1.47,0.43
SRR1560103,STALKER,7.10,0.28
SRR1560103,STALKER2,9.69,7.65
SRR1560103,STALKER3,0.00,0.00
SRR1560103,STALKER4,9.28,0.13
SRR1560103,TABOR,8.58,7.25
SRR1560103,TAHRE,0.63,0.29
SRR1560103,TAKR1A2,0.01,0.00
SRR1560103,TARTC,0.80,0.02
SRR1560103,TARTVIR,0.27,0.00
SRR1560103,TARTYAK,0.67,0.01
SRR1560103,TC1,34.25,27.60
SRR1560103,TC1-2,15.15,13.23
SRR1560103,TC3,0.05,0.00
SRR1560103,Tinker,5.94,5.54
SRR1560103,TIRANT,2.96,1.96
SRR1560103,TRANSIB1,13.10,11.39
SRR1560103,TRANSIB2,19.76,16.09
SRR1560103,TRANSIB3,2.74,2.11
SRR1560103,TRANSIB4,3.25,2.23
SRR1560103,TV1,0.00,0.00
SRR1560103,U73803,0.00,0.00
SRR1560103,VEGE,0.00,0.00
SRR1560103,VIRUVIR,0.00,0.00
SRR1560103,WORF,0.00,0.00
SRR1560103,YAKHETA,0.00,0.00
