Sample,TE,All_reads,HQ_reads
SRR11846555,1360,105.28,81.07
SRR11846555,6,33.18,27.96
SRR11846555,1731,18.10,16.15
SRR11846555,297,42.57,33.59
SRR11846555,412,22.05,14.69
SRR11846555,accord,9.39,7.77
SRR11846555,accord2,9.07,6.93
SRR11846555,Baggins1,31.18,26.14
SRR11846555,Bari1,59.23,57.76
SRR11846555,Bari2,3.06,2.04
SRR11846555,BEL,13.28,11.77
SRR11846555,Bica,11.43,10.63
SRR11846555,blood,30.95,28.23
SRR11846555,BS,14.51,10.62
SRR11846555,BS2,7.44,1.02
SRR11846555,BS3,12.78,9.34
SRR11846555,BS4,1.35,1.21
SRR11846555,Burdock,12.27,10.44
SRR11846555,Chimpo,11.92,10.77
SRR11846555,Chouto,8.03,5.91
SRR11846555,Circe,25.57,22.22
SRR11846555,copia,45.81,40.51
SRR11846555,copia2,9.13,0.11
SRR11846555,diver,9.25,7.83
SRR11846555,diver2,14.13,10.53
SRR11846555,Dm88,9.35,0.05
SRR11846555,dmel_Antennapedia,0.99,0.96
SRR11846555,dmel_Osi6,0.96,0.94
SRR11846555,dmel_wingless,1.01,1.00
SRR11846555,DMRT1A,90.24,73.88
SRR11846555,DMRT1C,5.23,3.56
SRR11846555,DNAREP1,201.82,47.21
SRR11846555,DNAREP1-like,8.38,1.08
SRR11846555,Doc,76.58,74.03
SRR11846555,Doc2,19.31,18.19
SRR11846555,Doc3,25.32,21.68
SRR11846555,Doc4,5.82,4.14
SRR11846555,Doc5,12.74,10.41
SRR11846555,F-element,85.20,36.07
SRR11846555,family-0_Copia-like,5.95,1.69
SRR11846555,family-0_MULE-NOF,2014.42,1200.02
SRR11846555,family-100_HMS-beagle,3.56,3.15
SRR11846555,family-105_gypsy,1.20,1.02
SRR11846555,family-110_gypsy_SAP,19.91,18.21
SRR11846555,family-1124_gypsy-frag,3.38,2.74
SRR11846555,family-113_micropia-like,1.50,1.27
SRR11846555,family-117_gypsy,19.29,8.88
SRR11846555,family-1205_Tc3,2.54,0.39
SRR11846555,family-134_gypsy,13.29,7.32
SRR11846555,family-139_FW2-like,29.62,4.58
SRR11846555,family-1439_Tc3,3.14,1.22
SRR11846555,family-149_HMS-beagle,4.11,3.45
SRR11846555,family-15_G-like,8.84,0.66
SRR11846555,family-2202_Pao,5.80,3.27
SRR11846555,family-2226_Tc1-like,4.54,1.63
SRR11846555,family-2266_Blastopia-like,1.09,0.76
SRR11846555,family-252_hAT_BEDzf,12.95,10.74
SRR11846555,family-325_gypsy,3.17,2.80
SRR11846555,family-358_hAT,2.03,1.59
SRR11846555,family-3655_gypsy,2.16,1.95
SRR11846555,family-3830_accord-like,1.79,1.42
SRR11846555,family-4408_gypsy,3.93,1.17
SRR11846555,family-447_HETA-like,8.43,3.69
SRR11846555,family-4955_hAT,10.54,7.50
SRR11846555,family-49_Tc3,3.93,3.74
SRR11846555,family-5171_Pao,3.65,3.16
SRR11846555,family-53_gypsy_truncated,22.37,7.95
SRR11846555,family-58_micropia-like,1.71,1.52
SRR11846555,family-6086_diver,6.95,3.65
SRR11846555,family-63_micropia-like,11.21,10.13
SRR11846555,family-70_diver-like,14.51,2.15
SRR11846555,family-70_Diver2-like,4.67,2.57
SRR11846555,family-7121_ninja-like,6.08,3.02
SRR11846555,family-732_gypsy,4.77,4.26
SRR11846555,family-92_copia-like,1.67,1.52
SRR11846555,family-966_Pao,2.80,0.80
SRR11846555,family-999_gypsy,2.06,1.61
SRR11846555,FB,67.44,39.70
SRR11846555,flea,21.19,19.62
SRR11846555,frogger,3.01,2.43
SRR11846555,Fw2,3.67,3.10
SRR11846555,Fw3,2.56,1.97
SRR11846555,G-element,7.11,4.28
SRR11846555,G2,18.17,14.46
SRR11846555,G3,2.11,1.73
SRR11846555,G4,11.15,9.42
SRR11846555,G5,7.16,5.84
