Sample,TE,All_reads,HQ_reads
SRR5860658,1360,32.19,19.92
SRR5860658,6,0.41,0.08
SRR5860658,1731,9.83,8.89
SRR5860658,297,21.38,15.97
SRR5860658,412,8.44,4.42
SRR5860658,accord,10.89,7.94
SRR5860658,accord2,5.64,4.38
SRR5860658,Baggins1,54.50,47.95
SRR5860658,Bari1,2.72,2.37
SRR5860658,Bari2,0.46,0.26
SRR5860658,BEL,21.59,19.38
SRR5860658,Bica,5.06,4.76
SRR5860658,blood,7.05,6.26
SRR5860658,BS,6.44,5.09
SRR5860658,BS2,17.00,0.57
SRR5860658,BS3,9.77,7.81
SRR5860658,BS4,2.79,1.94
SRR5860658,Burdock,9.60,8.57
SRR5860658,Chimpo,7.51,7.03
SRR5860658,Chouto,8.37,6.23
SRR5860658,Circe,6.58,5.70
SRR5860658,copia,9.10,8.39
SRR5860658,copia2,2.77,0.07
SRR5860658,diver,6.21,5.25
SRR5860658,diver2,48.60,37.85
SRR5860658,Dm88,3.02,0.06
SRR5860658,DMRT1A,114.69,101.91
SRR5860658,DMRT1C,33.81,25.37
SRR5860658,DNAREP1,235.88,62.63
SRR5860658,DNAREP1-like,5.00,0.02
SRR5860658,Doc,9.86,8.61
SRR5860658,Doc2,13.06,12.50
SRR5860658,Doc3,21.28,18.20
SRR5860658,Doc4,2.14,1.50
SRR5860658,Doc5,6.29,5.16
SRR5860658,dsec_Antennapedia,0.96,0.95
SRR5860658,dsec_Osi6,1.09,1.08
SRR5860658,dsec_wingless,1.04,1.04
SRR5860658,F-element,33.68,9.99
SRR5860658,family-0_Copia-like,4.86,0.66
SRR5860658,family-0_MULE-NOF,7.34,0.98
SRR5860658,family-100_HMS-beagle,0.02,0.00
SRR5860658,family-105_gypsy,0.44,0.17
SRR5860658,family-110_gypsy_SAP,22.20,19.46
SRR5860658,family-1124_gypsy-frag,2.11,1.69
SRR5860658,family-113_micropia-like,0.58,0.28
SRR5860658,family-117_gypsy,9.17,3.54
SRR5860658,family-1205_Tc3,0.02,0.00
SRR5860658,family-134_gypsy,5.66,2.05
SRR5860658,family-139_FW2-like,29.19,5.49
SRR5860658,family-1439_Tc3,0.41,0.01
SRR5860658,family-149_HMS-beagle,0.04,0.00
SRR5860658,family-15_G-like,5.44,0.08
SRR5860658,family-2202_Pao,3.39,1.47
SRR5860658,family-2226_Tc1-like,1.41,0.28
SRR5860658,family-2266_Blastopia-like,0.03,0.00
SRR5860658,family-252_hAT_BEDzf,0.28,0.12
SRR5860658,family-325_gypsy,5.45,4.17
SRR5860658,family-358_hAT,3.15,2.39
SRR5860658,family-3655_gypsy,0.54,0.17
SRR5860658,family-3830_accord-like,1.43,1.09
SRR5860658,family-4408_gypsy,3.50,0.05
