Sample,TE,All_reads,HQ_reads
SRR14138506,1360,37.23,22.76
SRR14138506,412,22.21,17.00
SRR14138506,ACCORD,11.17,8.10
SRR14138506,AF009439,0.00,0.00
SRR14138506,AF056940,0.02,0.00
SRR14138506,AF222049,13.09,11.53
SRR14138506,AF418572,0.00,0.00
SRR14138506,AF541951,0.19,0.05
SRR14138506,AY561850,1.56,0.63
SRR14138506,BAGGINS,52.35,46.04
SRR14138506,Beagle,11.42,8.57
SRR14138506,Beagle2,0.82,0.26
SRR14138506,BLOOD,8.33,7.39
SRR14138506,BS,6.04,4.94
SRR14138506,BS3,9.23,7.29
SRR14138506,BS4,2.70,1.96
SRR14138506,BUT1,0.00,0.00
SRR14138506,BUT2,0.00,0.00
SRR14138506,BUT3,0.00,0.00
SRR14138506,BUT4,0.00,0.00
SRR14138506,BUT5,0.00,0.00
SRR14138506,BUT6,0.00,0.00
SRR14138506,CIRC,6.85,6.01
SRR14138506,DBU133521,0.00,0.00
SRR14138506,DDBARI1,0.47,0.14
SRR14138506,DFU309320,0.21,0.00
SRR14138506,DH14600,0.00,0.00
SRR14138506,DHMINOS,0.04,0.01
SRR14138506,DHUHUH3,0.00,0.00
SRR14138506,DIVER2,49.14,37.65
SRR14138506,DK29466,0.00,0.00
SRR14138506,DM06920,3.22,0.71
SRR14138506,DM14101,0.68,0.14
SRR14138506,DM23420,20.10,17.88
SRR14138506,DM33463,0.90,0.13
SRR14138506,DM88,5.60,4.83
SRR14138506,DM_ROO,25.00,22.08
SRR14138506,DMAURA,7.13,2.06
SRR14138506,DMBARI1,3.14,2.84
SRR14138506,DMBLPP,23.18,21.93
SRR14138506,DMCOPIA,9.60,8.87
SRR14138506,DMCR1A,120.09,96.59
SRR14138506,DMDM11,18.82,15.80
SRR14138506,DME010298,25.89,21.74
SRR14138506,DME278684,2.00,1.00
SRR14138506,DME487856,40.97,36.86
SRR14138506,DME9736,4.41,1.76
SRR14138506,DMGYPF1A,5.18,2.91
SRR14138506,DMHFL1,9.56,7.61
SRR14138506,DMIFACA,26.09,20.71
SRR14138506,DMIS176,0.51,0.12
SRR14138506,DMIS297,22.91,16.85
SRR14138506,DMLINEJA,14.22,13.93
SRR14138506,DMMAR,0.61,0.00
SRR14138506,DMMDG3,5.07,3.79
SRR14138506,DMPOGOR11,0.00,0.00
SRR14138506,DMREPG,5.05,2.79
SRR14138506,DMRER1DM,142.87,108.88
SRR14138506,DMRER2DM,30.51,28.26
SRR14138506,DMRTMGD1,4.09,2.77
SRR14138506,DMTHB1,16.39,8.52
SRR14138506,DMTN1731,8.98,8.00
SRR14138506,DMTNFB,27.41,10.30
SRR14138506,DMTOM1_LTR,31.69,25.74
SRR14138506,DMTRAM,0.00,0.00
SRR14138506,DMTRDNA,14.01,6.64
SRR14138506,DMTRIM,0.00,0.00
SRR14138506,DMU89994,9.55,8.46
SRR14138506,DMW1DOC,9.83,8.67
SRR14138506,DMZAM,4.36,3.53
SRR14138506,DNTOMRETA,0.44,0.03
SRR14138506,DOC2,12.84,12.16
SRR14138506,DOC3,20.27,17.46
SRR14138506,DOC4,2.25,1.63
SRR14138506,DOC5,6.03,4.77
SRR14138506,DPSEMINIME,0.04,0.00
SRR14138506,dsec_Antennapedia,0.95,0.95
SRR14138506,dsec_Osi6,1.09,1.08
SRR14138506,dsec_wingless,1.05,1.04
SRR14138506,DSRN,10.59,6.36
SRR14138506,DSV28T24,0.00,0.00
SRR14138506,DTEII,1.07,0.19
