Sample,TE,All_reads,HQ_reads
SRR5860571,dtei_Antennapedia,1.07,0.87
SRR5860571,dtei_wingless,0.95,0.93
SRR5860571,gypsy-29-dsim,0.19,0.02
SRR5860571,gypsy-7-sim1,0.46,0.08
Sample,TE,All_reads,HQ_reads
SRR5860572,dtei_Antennapedia,1.07,0.87
SRR5860572,dtei_wingless,0.97,0.94
SRR5860572,gypsy-29-dsim,19.49,16.94
SRR5860572,gypsy-7-sim1,0.50,0.07
Sample,TE,All_reads,HQ_reads
SRR5860576,dtei_Antennapedia,1.10,0.90
SRR5860576,dtei_wingless,0.93,0.89
SRR5860576,gypsy-29-dsim,0.15,0.00
SRR5860576,gypsy-7-sim1,0.79,0.08
Sample,TE,All_reads,HQ_reads
SRR5860577,dtei_Antennapedia,1.09,0.88
SRR5860577,dtei_wingless,0.92,0.88
SRR5860577,gypsy-29-dsim,0.15,0.00
SRR5860577,gypsy-7-sim1,0.85,0.11
Sample,TE,All_reads,HQ_reads
SRR5860615,dtei_Antennapedia,1.05,0.85
SRR5860615,dtei_wingless,0.96,0.93
SRR5860615,gypsy-29-dsim,12.02,10.37
SRR5860615,gypsy-7-sim1,0.52,0.08
Sample,TE,All_reads,HQ_reads
SRR5860616,dtei_Antennapedia,1.06,0.86
SRR5860616,dtei_wingless,0.96,0.94
SRR5860616,gypsy-29-dsim,11.05,9.56
SRR5860616,gypsy-7-sim1,0.49,0.09
Sample,TE,All_reads,HQ_reads
SRR5860617,dtei_Antennapedia,1.03,0.82
SRR5860617,dtei_wingless,0.97,0.95
SRR5860617,gypsy-29-dsim,14.98,12.95
SRR5860617,gypsy-7-sim1,0.53,0.10
Sample,TE,All_reads,HQ_reads
SRR5860618,dtei_Antennapedia,1.06,0.86
SRR5860618,dtei_wingless,0.94,0.92
SRR5860618,gypsy-29-dsim,15.43,13.37
SRR5860618,gypsy-7-sim1,0.46,0.06
Sample,TE,All_reads,HQ_reads
SRR5860619,dtei_Antennapedia,1.08,0.88
SRR5860619,dtei_wingless,0.92,0.89
SRR5860619,gypsy-29-dsim,0.19,0.03
SRR5860619,gypsy-7-sim1,0.53,0.11
Sample,TE,All_reads,HQ_reads
SRR5860620,dtei_Antennapedia,1.03,0.84
SRR5860620,dtei_wingless,0.96,0.93
SRR5860620,gypsy-29-dsim,0.20,0.02
SRR5860620,gypsy-7-sim1,0.52,0.08
Sample,TE,All_reads,HQ_reads
SRR5860621,dtei_Antennapedia,1.07,0.86
SRR5860621,dtei_wingless,0.96,0.93
SRR5860621,gypsy-29-dsim,19.57,16.99
SRR5860621,gypsy-7-sim1,0.54,0.07
Sample,TE,All_reads,HQ_reads
SRR5860622,dtei_Antennapedia,1.06,0.84
SRR5860622,dtei_wingless,0.94,0.90
SRR5860622,gypsy-29-dsim,10.46,9.04
SRR5860622,gypsy-7-sim1,0.57,0.08
Sample,TE,All_reads,HQ_reads
SRR5860623,dtei_Antennapedia,1.08,0.87
SRR5860623,dtei_wingless,0.92,0.89
SRR5860623,gypsy-29-dsim,12.12,10.55
SRR5860623,gypsy-7-sim1,0.49,0.06
