Species,Population,Line,Pair type,Read length,Average coverage,yak-into-san markers,san-into-yak markers,yak-into-tei markers,tei-into-yak markers
D. santomea,São Tomé,BS14,pe,125,98.98,"923,227",NA,NA,NA
D. santomea,São Tomé,C550_39,pe,125,65.57,"922,010",NA,NA,NA
D. santomea,São Tomé,C650_14,pe,125,65.58,"920,827",NA,NA,NA
D. santomea,São Tomé,CAR1600,pe,125,62.54,"922,131",NA,NA,NA
D. santomea,São Tomé,Qiuja630.39,se,100,24.16,"913,747",NA,NA,NA
D. santomea,São Tomé,Quija37,se,100,11.74,"908,062",NA,NA,NA
D. santomea,São Tomé,Rain42,pe,125,69.67,"919,231",NA,NA,NA
D. santomea,São Tomé,sanC1350.14,se,100,18.62,"911,619",NA,NA,NA
D. santomea,São Tomé,sanCAR1490.5,se,100,15.77,"909,499",NA,NA,NA
D. santomea,São Tomé,sanCOST1250.5,se,100,13.27,"910,422",NA,NA,NA
D. santomea,São Tomé,sanCOST1270.6,se,100,14.76,"908,533",NA,NA,NA
D. santomea,São Tomé,sanOBAT1200.13,se,100,14.47,"909,674",NA,NA,NA
D. santomea,São Tomé,sanOBAT1200.5,se,100,16.82,"908,547",NA,NA,NA
D. santomea,São Tomé,sanRain39,se,100,15.81,"910,035",NA,NA,NA
D. santomea,São Tomé,sanSTO7,se,100,15.29,"907,959",NA,NA,NA
D. santomea,São Tomé,sanThena5,se,100,12.98,"909,543",NA,NA,NA
D. santomea,São Tomé,san_Field3,pe,125,60.78,"918,936",NA,NA,NA
D. teissieri,Bioko,Balancha_1,pe,150,30.37,NA,NA,"2,440,335",NA
D. teissieri,Bioko,cascade_2_1,pe,150,29.2,NA,NA,"2,435,953",NA
D. teissieri,Bioko,cascade_2_2,pe,150,33.88,NA,NA,"2,439,716",NA
D. teissieri,Bioko,cascade_2_4,pe,150,26.91,NA,NA,"2,438,424",NA
D. teissieri,Bioko,cascade_4_1,pe,150,27.07,NA,NA,"2,435,999",NA
D. teissieri,Bioko,cascade_4_2,pe,150,39.54,NA,NA,"2,468,955",NA
