experiment_accession	run_accession	instrument_platform	library_source	study_alias	fastq_md5	fastq_ftp	sra_md5	sample_alias	sample_title
SRX3029376	SRR5860570	ILLUMINA	GENOMIC	PRJNA395473	7b817254ad85aeb5ad4b6b20044fdac2;4ce783d9ea47053804134a26b6c94f70	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860570/SRR5860570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860570/SRR5860570_2.fastq.gz	1dd0e5b1892e3b894aa0f9c42239cf8b	maria_3	Invertebrate sample from Drosophila sechellia
SRX3029374	SRR5860572	ILLUMINA	GENOMIC	PRJNA395473	81c891e02a851c9729f36c0b2dabc79b;f70b9e6e1a68d339af7397254e420494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860572/SRR5860572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860572/SRR5860572_2.fastq.gz	c16011f306238c6dd6c397354e8540e4	cascade_4_2	Invertebrate sample from Drosophila teissieri
SRX3029373	SRR5860573	ILLUMINA	GENOMIC	PRJNA395473	89a6363b2534c3c06e648680b1c6977d;8de0711541501e0c77230afcbd952fe5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860573/SRR5860573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/003/SRR5860573/SRR5860573_2.fastq.gz	3bfd2eebe82f3fad1b9004cfc785365a	Anro_B8	Invertebrate sample from Drosophila sechellia
SRX3029370	SRR5860576	ILLUMINA	GENOMIC	PRJNA395473	67a88c58f69de100259d649cecf9ec44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860576/SRR5860576.fastq.gz	69a3c1a0d542effabf998a88c0f02b52	Bata2	Invertebrate sample from Drosophila teissieri
SRX3029362	SRR5860584	ILLUMINA	GENOMIC	PRJNA395473	2ce12f22e95e924d1863ad6a64450dbc;e7c874207be569e72fc8687be5a827d3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/004/SRR5860584/SRR5860584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/004/SRR5860584/SRR5860584_2.fastq.gz	9260020293379f3470384b0d5450c51e	LD15	Invertebrate sample from Drosophila sechellia
SRX3029361	SRR5860585	ILLUMINA	GENOMIC	PRJNA395473	e929ab5dc8b4326dbccd1a20d30c1183	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/005/SRR5860585/SRR5860585.fastq.gz	203bfc4025202282c08f3f97a9e319fb	Anton_2_Principe	Invertebrate sample from Drosophila yakuba
SRX3029360	SRR5860586	ILLUMINA	GENOMIC	PRJNA395473	bfdfc330c6ff4edf5f0ea6320baf7431	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/006/SRR5860586/SRR5860586.fastq.gz	5b9836dc17126399de9a16abbede7872	Abidjan_12	Invertebrate sample from Drosophila yakuba
SRX3029359	SRR5860587	ILLUMINA	GENOMIC	PRJNA395473	add9b73632d9971b23b8b4dd2e87a92f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/007/SRR5860587/SRR5860587.fastq.gz	8d5e1233c15fbc44480373f73ed0d64f	Montecafe_17_17	Invertebrate sample from Drosophila yakuba
SRX3029356	SRR5860590	ILLUMINA	GENOMIC	PRJNA395473	f76f69ca797cbe8514bb64d4c8b3e14e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/000/SRR5860590/SRR5860590.fastq.gz	a548a784dad79c1c4fdd0cb645142919	3_2	Invertebrate sample from Drosophila yakuba
SRX3029354	SRR5860592	ILLUMINA	GENOMIC	PRJNA395473	0a63fd2b9bc4cfcbde37feff6a502652	ftp.sra.ebi.ac.uk/vol1/fastq/SRR586/002/SRR5860592/SRR5860592.fastq.gz	1d06e08ee263f5eb55b10b11f9b5914d	Cascade_18	Invertebrate sample from Drosophila yakuba
