Sample,TE,All_reads,HQ_reads
SRR19973828,1360,46.21,30.37
SRR19973828,6,0.28,0.05
SRR19973828,1731,11.76,10.82
SRR19973828,297,11.78,7.93
SRR19973828,412,6.16,2.69
SRR19973828,accord,7.21,6.02
SRR19973828,accord2,2.95,2.11
SRR19973828,Baggins1,52.14,46.02
SRR19973828,Bari1,5.99,5.92
SRR19973828,Bari2,0.58,0.26
SRR19973828,BEL,17.48,15.07
SRR19973828,Bica,4.25,3.90
SRR19973828,blood,3.61,3.21
SRR19973828,BS,4.04,1.89
SRR19973828,BS2,18.11,0.57
SRR19973828,BS3,4.51,3.63
SRR19973828,BS4,2.52,1.91
SRR19973828,Burdock,9.80,8.78
SRR19973828,Chimpo,5.12,4.68
SRR19973828,Chouto,4.06,2.76
SRR19973828,Circe,6.29,5.34
SRR19973828,copia,12.95,11.84
SRR19973828,copia2,3.00,0.04
SRR19973828,diver,4.98,4.08
SRR19973828,diver2,28.31,22.25
SRR19973828,Dm88,3.41,0.05
SRR19973828,dmau_Antennapedia,0.97,0.97
SRR19973828,dmau_Osi6,0.89,0.88
SRR19973828,dmau_wingless,1.03,1.02
SRR19973828,DMRT1A,107.70,96.24
SRR19973828,DMRT1C,26.00,19.56
SRR19973828,DNAREP1,236.07,57.73
SRR19973828,DNAREP1-like,5.87,0.01
SRR19973828,Doc,20.06,19.12
SRR19973828,Doc2,19.10,18.56
SRR19973828,Doc3,16.68,14.37
SRR19973828,Doc4,2.18,1.58
SRR19973828,Doc5,6.81,5.59
SRR19973828,F-element,19.29,6.14
SRR19973828,family-0_Copia-like,3.75,0.38
SRR19973828,family-0_MULE-NOF,12.22,1.23
SRR19973828,family-100_HMS-beagle,0.00,0.00
SRR19973828,family-105_gypsy,0.72,0.06
SRR19973828,family-110_gypsy_SAP,8.32,7.35
SRR19973828,family-1124_gypsy-frag,2.21,1.85
SRR19973828,family-113_micropia-like,0.91,0.41
SRR19973828,family-117_gypsy,14.95,5.47
SRR19973828,family-1205_Tc3,0.01,0.00
SRR19973828,family-134_gypsy,8.58,3.05
SRR19973828,family-139_FW2-like,15.77,3.27
SRR19973828,family-1439_Tc3,0.51,0.00
SRR19973828,family-149_HMS-beagle,0.16,0.01
SRR19973828,family-15_G-like,3.79,0.23
SRR19973828,family-2202_Pao,4.12,2.04
SRR19973828,family-2226_Tc1-like,1.45,0.28
SRR19973828,family-2266_Blastopia-like,0.03,0.00
SRR19973828,family-252_hAT_BEDzf,0.33,0.26
SRR19973828,family-325_gypsy,5.09,3.94
SRR19973828,family-358_hAT,3.86,3.05
SRR19973828,family-3655_gypsy,0.76,0.32
SRR19973828,family-3830_accord-like,0.35,0.25
SRR19973828,family-4408_gypsy,2.48,0.03
SRR19973828,family-447_HETA-like,0.27,0.04
SRR19973828,family-4955_hAT,0.89,0.48
SRR19973828,family-49_Tc3,0.06,0.01
SRR19973828,family-5171_Pao,0.01,0.00
SRR19973828,family-53_gypsy_truncated,16.91,4.17
SRR19973828,family-58_micropia-like,4.52,4.29
SRR19973828,family-6086_diver,4.94,2.45
SRR19973828,family-63_micropia-like,7.98,6.40
SRR19973828,family-70_diver-like,4.67,0.64
SRR19973828,family-70_Diver2-like,4.06,2.00
SRR19973828,family-7121_ninja-like,6.78,4.00
SRR19973828,family-732_gypsy,5.33,4.18
SRR19973828,family-92_copia-like,0.00,0.00
SRR19973828,family-966_Pao,3.28,1.04
SRR19973828,family-999_gypsy,0.66,0.11
SRR19973828,FB,30.97,9.09
SRR19973828,flea,14.38,13.49
SRR19973828,frogger,1.18,0.99
SRR19973828,Fw2,3.85,3.03
SRR19973828,Fw3,1.50,1.06
SRR19973828,G-element,1.49,0.00
SRR19973828,G2,13.15,5.21
SRR19973828,G3,0.22,0.09
SRR19973828,G4,3.91,3.40
SRR19973828,G5,14.38,11.06
SRR19973828,G5A,4.29,2.91
SRR19973828,G6,41.20,39.65
SRR19973828,GATE,20.75,18.10
SRR19973828,Gedeo_Dmel,3.04,1.88
SRR19973828,gtwin,0.93,0.24
SRR19973828,gypsy,6.31,3.89
SRR19973828,gypsy10,0.34,0.04
SRR19973828,gypsy11,2.24,0.81
SRR19973828,gypsy12,12.29,6.73
SRR19973828,gypsy12A,3.67,1.39
SRR19973828,gypsy2,0.44,0.18
SRR19973828,gypsy2S,0.80,0.35
SRR19973828,gypsy3,2.40,1.24
SRR19973828,gypsy4,3.87,3.42
SRR19973828,gypsy5,1.37,0.72
SRR19973828,gypsy6,5.28,1.48
SRR19973828,gypsy7,1.49,1.08
SRR19973828,gypsy8,14.78,7.62
SRR19973828,gypsy9,0.70,0.37
SRR19973828,HB,30.11,16.18
SRR19973828,Helena,11.67,10.86
SRR19973828,HeT-A,0.19,0.01
SRR19973828,HMS-Beagle,18.47,15.01
SRR19973828,hobo,8.78,7.62
SRR19973828,hopper,5.14,0.03
SRR19973828,hopper2,0.49,0.11
SRR19973828,I-element,31.46,27.30
SRR19973828,Idefix,5.15,2.22
SRR19973828,invader1,4.81,2.64
SRR19973828,invader2,15.14,13.70
SRR19973828,invader3,7.89,6.87
SRR19973828,invader4,2.59,1.08
SRR19973828,invader5,0.95,0.36
SRR19973828,Ivk,9.81,8.70
SRR19973828,jockey,7.90,7.73
SRR19973828,jockey2,2.57,1.75
SRR19973828,Juan,12.97,12.86
SRR19973828,looper1,1.12,0.78
SRR19973828,M4DM,13.87,3.78
SRR19973828,mariner2,4.83,3.29
SRR19973828,Max-element,17.00,14.72
SRR19973828,McClintock,4.91,0.16
SRR19973828,mdg1,7.55,6.33
SRR19973828,mdg3,6.06,5.11
SRR19973828,micropia,14.22,12.23
SRR19973828,Minos_DM,0.18,0.04
SRR19973828,ninja-aurora,5.03,4.19
SRR19973828,NOF,0.85,0.71
SRR19973828,Nomad,4.29,3.55
SRR19973828,P-element,0.00,0.00
SRR19973828,Phanio_Dmel,10.84,7.91
SRR19973828,Phidippo_Dmel,7.92,6.40
SRR19973828,Pifo_A,0.06,0.04
SRR19973828,pogo,0.00,0.00
SRR19973828,Quasimodo,0.16,0.00
SRR19973828,Quasimodo2,4.30,0.00
SRR19973828,R1,52.09,9.25
SRR19973828,R1-2,1.00,0.52
SRR19973828,R1A1-element,22.32,2.51
SRR19973828,R2-element,16.25,15.23
SRR19973828,rnd-1_family-13_jockey,3.43,0.29
SRR19973828,rnd-1_family-1_copia,8.97,2.82
SRR19973828,rnd-1_family-85_gypsy,11.63,3.73
SRR19973828,rnd-5_family-560_Pao,12.16,6.70
SRR19973828,roo,34.96,29.06
SRR19973828,rooA,15.53,10.94
SRR19973828,rover,0.69,0.13
SRR19973828,Rt1a,2.32,1.21
SRR19973828,Rt1b,21.93,18.63
SRR19973828,S-element,1.10,0.21
SRR19973828,S2,0.49,0.26
SRR19973828,springer,1.03,0.25
SRR19973828,Stalker,5.66,0.28
SRR19973828,Stalker2,6.55,4.88
SRR19973828,Stalker4,7.61,0.12
SRR19973828,Tabor,6.67,5.32
SRR19973828,TAHRE,0.09,0.02
SRR19973828,TART-A,0.36,0.09
SRR19973828,TART-B,0.58,0.10
SRR19973828,TART-C,0.16,0.03
SRR19973828,Tc1-2,10.60,9.23
SRR19973828,Tc1_DM,26.71,20.96
SRR19973828,Tc3,0.01,0.00
SRR19973828,Tirant,2.45,1.74
SRR19973828,Tom,3.43,1.43
SRR19973828,transib1,10.12,8.90
SRR19973828,Transib2,13.00,10.08
SRR19973828,transib3,2.04,1.65
SRR19973828,transib4,1.72,1.20
SRR19973828,Transib5,2.99,2.28
