Sample,TE,All_reads,HQ_reads
SRR1560268,1360,45.96,28.69
SRR1560268,412,14.51,10.99
SRR1560268,ACCORD,2.46,1.96
SRR1560268,AF009439,0.00,0.00
SRR1560268,AF056940,0.02,0.00
SRR1560268,AF222049,9.94,8.82
SRR1560268,AF418572,0.00,0.00
SRR1560268,AF541951,0.21,0.04
SRR1560268,AY561850,0.52,0.17
SRR1560268,BAGGINS,53.69,47.51
SRR1560268,Beagle,17.00,13.37
SRR1560268,Beagle2,0.90,0.37
SRR1560268,BLOOD,4.98,4.47
SRR1560268,BS,2.99,2.30
SRR1560268,BS3,3.89,2.94
SRR1560268,BS4,3.05,2.25
SRR1560268,BUT1,0.00,0.00
SRR1560268,BUT2,0.00,0.00
SRR1560268,BUT3,0.00,0.00
SRR1560268,BUT4,0.00,0.00
SRR1560268,BUT5,0.00,0.00
SRR1560268,BUT6,0.02,0.00
SRR1560268,CIRC,11.15,9.63
SRR1560268,DBU133521,0.00,0.00
SRR1560268,DDBARI1,2.64,0.34
SRR1560268,DFU309320,0.43,0.00
SRR1560268,DH14600,0.00,0.00
SRR1560268,DHMINOS,0.15,0.03
SRR1560268,DHUHUH3,0.00,0.00
SRR1560268,DIVER2,26.79,20.09
SRR1560268,DK29466,0.00,0.00
SRR1560268,DM06920,0.59,0.11
SRR1560268,DM14101,0.76,0.20
SRR1560268,DM23420,10.38,8.38
SRR1560268,DM33463,1.51,0.22
SRR1560268,DM88,9.35,7.84
SRR1560268,DM_ROO,32.01,28.88
SRR1560268,dmau_Antennapedia,1.04,1.02
SRR1560268,dmau_Osi6,0.78,0.77
SRR1560268,dmau_wingless,0.96,0.95
SRR1560268,DMAURA,1.72,0.52
SRR1560268,DMBARI1,11.64,11.46
SRR1560268,DMBLPP,14.75,13.88
SRR1560268,DMCOPIA,7.76,7.03
SRR1560268,DMCR1A,117.07,93.46
SRR1560268,DMDM11,10.12,8.24
SRR1560268,DME010298,19.16,16.52
SRR1560268,DME278684,2.16,1.10
SRR1560268,DME487856,14.24,12.54
SRR1560268,DME9736,4.45,1.70
SRR1560268,DMGYPF1A,6.24,3.83
SRR1560268,DMHFL1,10.84,9.46
SRR1560268,DMIFACA,30.99,25.49
SRR1560268,DMIS176,0.36,0.05
SRR1560268,DMIS297,13.94,9.40
SRR1560268,DMLINEJA,7.69,7.53
SRR1560268,DMMAR,13.76,0.00
