Sample,TE,All_reads,HQ_reads
SRR11846555,ACCORD2_I_LTR_Gypsy,8.04,5.91
SRR11846555,ACCORD_I_LTR_Gypsy,9.23,9.00
SRR11846555,Baggins1_Non_LTR_retrotransposon_LOA,29.80,24.66
SRR11846555,BARI1_DNA_TcMar_Tc1,2.13,1.07
SRR11846555,BARI_DM_DNA_TcMar_Tc1,59.33,57.84
SRR11846555,BATUMI_I_LTR_Pao,25.71,21.61
SRR11846555,BEL1_I_Dmoj_LTR_Pao,0.00,0.00
SRR11846555,BEL1_I_Dpse_LTR_Pao,0.00,0.00
SRR11846555,BEL1_I_DV_LTR_Pao,0.00,0.00
SRR11846555,BEL1_I_Dya_LTR_Pao,0.00,0.00
SRR11846555,BEL2_I_Dmoj_LTR_Pao,0.00,0.00
SRR11846555,BEL2_I_Dpse_LTR_Pao,0.00,0.00
SRR11846555,BEL2_I_Dya_LTR_Pao,0.04,0.00
SRR11846555,BEL3_DM_I_LTR_Pao,0.00,0.00
SRR11846555,BEL3_I_Dpse_LTR_Pao,0.00,0.00
SRR11846555,BEL_10_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_10_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_10_DEl_I_LTR_Pao,0.01,0.00
SRR11846555,BEL_10_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_10_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_11_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_11_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_11_DEl_I_LTR_Pao,0.15,0.03
SRR11846555,BEL_11_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_11_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_12_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_12_DBp_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_12_DEl_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_12_DTa_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_12_DWil_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_13_DAn_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_13_DEl_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_13_DP_I_LTR_Pao,0.00,0.00
SRR11846555,BEL_13_DTa_I_LTR_Pao,0.06,0.00
