Sample,TE,All_reads,HQ_reads
SRR5860574,1360,12.09,5.37
SRR5860574,6,0.64,0.13
SRR5860574,1731,0.00,0.00
SRR5860574,297,4.48,1.70
SRR5860574,412,4.13,0.78
SRR5860574,accord,0.00,0.00
SRR5860574,accord2,3.08,1.90
SRR5860574,Baggins1,0.22,0.00
SRR5860574,Bari1,0.00,0.00
SRR5860574,Bari2,0.30,0.20
SRR5860574,BEL,48.56,43.60
SRR5860574,Bica,0.59,0.11
SRR5860574,blood,0.21,0.03
SRR5860574,BS,0.82,0.07
SRR5860574,BS2,9.40,1.99
SRR5860574,BS3,0.00,0.00
SRR5860574,BS4,0.01,0.00
SRR5860574,Burdock,10.00,8.45
SRR5860574,Chimpo,10.70,8.78
SRR5860574,Chouto,1.28,0.46
SRR5860574,Circe,14.20,9.99
SRR5860574,copia,0.26,0.06
SRR5860574,copia2,0.03,0.00
SRR5860574,diver,12.06,9.94
SRR5860574,diver2,94.43,64.51
SRR5860574,Dm88,0.02,0.00
SRR5860574,DMRT1A,71.08,23.72
SRR5860574,DMRT1C,0.24,0.02
SRR5860574,DNAREP1,3837.00,1244.55
SRR5860574,DNAREP1-like,61.48,1.29
SRR5860574,Doc,45.68,43.48
SRR5860574,Doc2,43.17,26.37
SRR5860574,Doc3,50.37,28.13
SRR5860574,Doc4,0.01,0.00
SRR5860574,Doc5,0.00,0.00
SRR5860574,dsec_Antennapedia,0.86,0.64
SRR5860574,dsec_Osi6,0.89,0.71
SRR5860574,dsec_wingless,1.14,0.90
SRR5860574,F-element,21.27,4.42
SRR5860574,family-0_Copia-like,3.45,0.02
SRR5860574,family-0_MULE-NOF,2.38,0.03
SRR5860574,family-100_HMS-beagle,0.00,0.00
SRR5860574,family-105_gypsy,1.56,1.11
SRR5860574,family-110_gypsy_SAP,0.00,0.00
SRR5860574,family-1124_gypsy-frag,0.65,0.39
SRR5860574,family-113_micropia-like,0.25,0.20
SRR5860574,family-117_gypsy,10.00,2.56
SRR5860574,family-1205_Tc3,0.02,0.00
SRR5860574,family-134_gypsy,5.29,0.66
SRR5860574,family-139_FW2-like,18.81,2.94
SRR5860574,family-1439_Tc3,0.10,0.02
SRR5860574,family-149_HMS-beagle,0.00,0.00
SRR5860574,family-15_G-like,8.36,1.29
SRR5860574,family-2202_Pao,0.81,0.19
SRR5860574,family-2226_Tc1-like,0.24,0.00
SRR5860574,family-2266_Blastopia-like,0.50,0.12
SRR5860574,family-252_hAT_BEDzf,0.28,0.01
SRR5860574,family-325_gypsy,10.03,8.84
SRR5860574,family-358_hAT,0.00,0.00
SRR5860574,family-3655_gypsy,0.52,0.33
SRR5860574,family-3830_accord-like,14.40,9.74
SRR5860574,family-4408_gypsy,11.21,0.08
SRR5860574,family-447_HETA-like,0.03,0.00
SRR5860574,family-4955_hAT,4.38,1.10
SRR5860574,family-49_Tc3,0.36,0.00
SRR5860574,family-5171_Pao,0.02,0.00
SRR5860574,family-53_gypsy_truncated,9.60,1.83
SRR5860574,family-58_micropia-like,11.55,5.90
SRR5860574,family-6086_diver,0.99,0.31
