Sample,TE,All_reads,HQ_reads
SRR9913024,1360,40.94,25.55
SRR9913024,412,28.04,20.62
SRR9913024,ACCORD,14.34,8.70
SRR9913024,AF009439,0.00,0.00
SRR9913024,AF056940,0.03,0.00
SRR9913024,AF222049,11.74,9.63
SRR9913024,AF418572,0.00,0.00
SRR9913024,AF541951,0.21,0.05
SRR9913024,AY561850,2.00,0.69
SRR9913024,BAGGINS,74.71,65.40
SRR9913024,Beagle,12.46,9.37
SRR9913024,Beagle2,0.91,0.35
SRR9913024,BLOOD,10.01,8.45
SRR9913024,BS,6.92,5.74
SRR9913024,BS3,10.45,8.20
SRR9913024,BS4,3.30,2.12
SRR9913024,BUT1,0.00,0.00
SRR9913024,BUT2,0.00,0.00
SRR9913024,BUT3,0.00,0.00
SRR9913024,BUT4,0.00,0.00
SRR9913024,BUT5,0.00,0.00
SRR9913024,BUT6,0.00,0.00
SRR9913024,CIRC,8.89,7.72
SRR9913024,DBU133521,0.00,0.00
SRR9913024,DDBARI1,0.48,0.13
SRR9913024,DFU309320,0.24,0.00
SRR9913024,DH14600,0.00,0.00
SRR9913024,DHMINOS,0.07,0.01
SRR9913024,DHUHUH3,0.00,0.00
SRR9913024,DIVER2,56.76,42.56
SRR9913024,DK29466,0.00,0.00
SRR9913024,DM06920,6.19,1.51
SRR9913024,DM14101,1.37,0.32
SRR9913024,DM23420,22.97,20.25
SRR9913024,DM33463,0.59,0.12
SRR9913024,DM88,7.22,6.16
SRR9913024,DM_ROO,30.64,26.16
SRR9913024,DMAURA,7.33,2.21
SRR9913024,DMBARI1,2.04,1.64
SRR9913024,DMBLPP,33.98,32.54
SRR9913024,DMCOPIA,9.22,8.61
SRR9913024,DMCR1A,144.15,116.38
SRR9913024,DMDM11,28.05,23.23
SRR9913024,DME010298,33.11,27.71
SRR9913024,DME278684,2.26,1.11
SRR9913024,DME487856,41.79,37.15
SRR9913024,DME9736,6.67,2.79
SRR9913024,DMGYPF1A,6.70,3.85
SRR9913024,DMHFL1,13.72,11.27
SRR9913024,DMIFACA,27.14,20.84
SRR9913024,DMIS176,0.46,0.15
SRR9913024,DMIS297,22.44,16.04
SRR9913024,DMLINEJA,22.50,21.78
SRR9913024,DMMAR,0.66,0.00
SRR9913024,DMMDG3,6.11,4.57
SRR9913024,DMPOGOR11,0.06,0.04
SRR9913024,DMREPG,5.03,2.68
SRR9913024,DMRER1DM,150.65,113.44
SRR9913024,DMRER2DM,45.08,41.43
SRR9913024,DMRTMGD1,6.36,4.57
SRR9913024,DMTHB1,18.96,9.93
SRR9913024,DMTN1731,13.43,11.86
SRR9913024,DMTNFB,24.86,9.12
SRR9913024,DMTOM1_LTR,35.48,27.92
SRR9913024,DMTRAM,0.00,0.00
SRR9913024,DMTRDNA,14.47,6.34
SRR9913024,DMTRIM,0.00,0.00
SRR9913024,DMU89994,11.49,10.15
SRR9913024,DMW1DOC,18.55,17.31
SRR9913024,DMZAM,7.53,5.94
SRR9913024,DNTOMRETA,0.22,0.01
SRR9913024,DOC2,15.69,14.85
SRR9913024,DOC3,25.55,21.77
SRR9913024,DOC4,2.50,1.70
SRR9913024,DOC5,7.33,5.93
SRR9913024,DPSEMINIME,0.04,0.00
SRR9913024,dsec_Antennapedia,0.93,0.92
SRR9913024,dsec_Osi6,0.92,0.91
SRR9913024,dsec_wingless,1.07,1.06
SRR9913024,DSRN,10.65,6.20
SRR9913024,DSV28T24,0.00,0.00
SRR9913024,DTEII,1.11,0.17
SRR9913024,DV26847,0.46,0.00
SRR9913024,DV49102,0.01,0.00
SRR9913024,DVRPPDV,0.00,0.00
SRR9913024,DVULYSS,0.00,0.00
SRR9913024,F,98.77,92.84
SRR9913024,FB,0.88,0.49
SRR9913024,FROGGER,1.00,0.72
SRR9913024,FW2,5.64,4.60
SRR9913024,FW3,1.97,1.31
SRR9913024,G2,8.86,4.67
SRR9913024,G3,0.47,0.18
SRR9913024,G4_DM,4.12,3.55
SRR9913024,G5_DM,66.26,53.76
SRR9913024,G5A,17.91,12.06
SRR9913024,G6_DM,99.35,95.11
SRR9913024,G7,0.25,0.17
SRR9913024,GALILEO,0.00,0.00
SRR9913024,GEM,0.15,0.00
SRR9913024,GTWIN,17.94,9.77
SRR9913024,gypsy-29-dsim,6.02,5.28
SRR9913024,gypsy-7-dsim,15.95,13.32
SRR9913024,GYPSY10,5.76,3.82
SRR9913024,GYPSY11,2.06,0.71
SRR9913024,GYPSY12,14.44,7.65
SRR9913024,GYPSY2,0.68,0.18
SRR9913024,GYPSY3,3.45,1.54
SRR9913024,GYPSY4,7.01,6.18
SRR9913024,GYPSY5,1.02,0.16
SRR9913024,GYPSY6,0.13,0.01
SRR9913024,GYPSY7,1.49,1.04
SRR9913024,GYPSY8,11.21,4.92
SRR9913024,GYPSY9,1.82,1.10
SRR9913024,HEL,27.21,24.95
SRR9913024,HELITRON1_DM,0.00,0.00
SRR9913024,HETAVIR,0.00,0.00
SRR9913024,HOPPER2,0.86,0.26
SRR9913024,INE1,66.62,12.28
SRR9913024,INVADER,9.35,6.61
SRR9913024,INVADER2,22.89,20.33
SRR9913024,INVADER3,20.20,18.08
