#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RT_protein" id="treeLikelihood.D_mel_TE_RT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-9053.858027755268	-9049.773080805837	-4.08494694943086	-9049.773080805837	0.9811309591156336	4.08494694943086	-4.08494694943086	1.0
1000	-5934.78978966053	-5924.197587316114	-10.592202344415924	-5924.197587316114	2.0245164233127477	11.143628334147957	-10.592202344415924	1.2391914000300994
2000	-5803.895931770925	-5794.048482828091	-9.847448942833811	-5794.048482828091	1.6534994208945732	10.277874271187223	-9.847448942833811	1.8774373221931666
3000	-5795.60041512644	-5784.687153868568	-10.913261257871296	-5784.687153868568	1.778832507748835	11.241030232401581	-10.913261257871296	1.1095087048255974
4000	-5786.303833827117	-5776.114816514038	-10.189017313079802	-5776.114816514038	1.729414837830032	10.656312048879183	-10.189017313079802	1.137517611797504
5000	-5790.273181892103	-5779.918057319986	-10.355124572117791	-5779.918057319986	1.7947561745266576	10.989939898963767	-10.355124572117791	1.4386946091057673
6000	-5781.949989020274	-5771.957661397162	-9.992327623112459	-5771.957661397162	1.853543243072782	10.647219171419199	-9.992327623112459	1.6053049972009543
7000	-5787.78113800721	-5777.497955757713	-10.283182249497226	-5777.497955757713	1.653047586398785	10.851469502205937	-10.283182249497226	1.2022961209971392
8000	-5788.464689801228	-5777.913470634575	-10.551219166653212	-5777.913470634575	1.5582801616305018	10.07752154198549	-10.551219166653212	2.2618856965445446
9000	-5782.337887090041	-5771.918853969233	-10.419033120807772	-5771.918853969233	1.6033210191757006	10.288631972903456	-10.419033120807772	0.9734632649608423
10000	-5789.799713148335	-5779.458697875634	-10.341015272700918	-5779.458697875634	1.7313953547199574	10.391226543238114	-10.341015272700918	1.0110935147174898
11000	-5788.841464698442	-5777.913553446059	-10.927911252382815	-5777.913553446059	1.7682287914502062	11.216264858659729	-10.927911252382815	1.0920344527527803
12000	-5784.4439284581285	-5774.374089789611	-10.069838668517551	-5774.374089789611	1.69138688720327	10.678097411023034	-10.069838668517551	1.2050424946045133
13000	-5782.404439329128	-5772.684908589529	-9.719530739598442	-5772.684908589529	1.687770808792987	10.313766534425104	-9.719530739598442	1.1670352455852386
14000	-5788.154977720907	-5778.9331701154815	-9.221807605425319	-5778.9331701154815	1.5868904237783503	10.204551103906587	-9.221807605425319	1.466009544351434
15000	-5782.090587205111	-5773.181481758826	-8.909105446285562	-5773.181481758826	1.5055857728742872	9.975291546534354	-8.909105446285562	1.5977997603265865
16000	-5790.171492357611	-5780.685889525021	-9.485602832590303	-5780.685889525021	1.6514532566145368	9.952069013146263	-9.485602832590303	1.1088212664050114
17000	-5794.267539271962	-5782.463132280481	-11.804406991481258	-5782.463132280481	1.8722664575013899	11.494085412062919	-11.804406991481258	1.7780850878572845
18000	-5786.97563338627	-5776.922167786446	-10.05346559982316	-5776.922167786446	1.5904391514126244	10.371242832336433	-10.05346559982316	1.8901926307777563
19000	-5787.1424586937055	-5777.2948859374565	-9.847572756249429	-5777.2948859374565	1.7561355296588144	10.591470334327848	-9.847572756249429	1.5549678021523012
20000	-5787.748084859996	-5776.938825366954	-10.809259493042333	-5776.938825366954	1.6183602218981363	10.212534562336755	-10.809259493042333	0.8942268425406125
21000	-5789.973770667879	-5777.876950225441	-12.096820442437682	-5777.876950225441	1.8591155966194233	10.960724564761344	-12.096820442437682	2.1533289066858594
22000	-5786.083100598311	-5774.838549946123	-11.24455065218844	-5774.838549946123	1.9043988536880645	11.004106844285648	-11.24455065218844	0.9455932628127846
23000	-5783.338643936406	-5773.925793225912	-9.412850710494379	-5773.925793225912	1.6370148578421588	10.331521329869629	-9.412850710494379	1.49194027043265
