#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RVT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RVT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RVT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RVT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RVT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RVT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RVT_protein" id="treeLikelihood.D_mel_TE_RVT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RVT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RVT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RVT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RVT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RVT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RVT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RVT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RVT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-7348.535287282508	-7343.655741021998	-4.879546260509798	-7343.655741021998	1.1468643411068067	4.8795462605098	-4.879546260509798	1.0
1000	-4806.043796604272	-4798.027856070284	-8.015940533988209	-4798.027856070284	1.5121213897599808	8.695363630446	-8.015940533988209	1.157873123933443
2000	-4787.1699798857335	-4778.656915381784	-8.51306450395022	-4778.656915381784	1.43895528861802	8.437605395297817	-8.51306450395022	2.5843418420411832
3000	-4776.369104003837	-4767.676534109706	-8.692569894130205	-4767.676534109706	1.807122823591477	9.436740319018705	-8.692569894130205	1.238617538625107
4000	-4775.0601356436055	-4767.533688325694	-7.526447317910975	-4767.533688325694	1.5261788020207065	8.795330545064003	-7.526447317910975	1.7055470312486483
5000	-4762.859061965302	-4754.249025341093	-8.610036624208785	-4754.249025341093	1.8207994216360808	9.388239396318584	-8.610036624208785	1.760786232571379
6000	-4762.469975524708	-4754.727164577102	-7.742810947606812	-4754.727164577102	1.6234747315864488	8.703508071903974	-7.742810947606812	2.022863103420021
7000	-4766.040910142793	-4757.904927225316	-8.135982917476822	-4757.904927225316	1.5708119516423946	9.044567679378925	-8.135982917476822	1.8607621385842015
8000	-4761.004466698438	-4754.009321668929	-6.995145029508339	-4754.009321668929	1.530487516497995	8.486319458536837	-6.995145029508339	1.6127270116515056
9000	-4762.336104823828	-4754.812503102976	-7.523601720851315	-4754.812503102976	1.6933260560405037	8.808847192936891	-7.523601720851315	1.6495598285718518
10000	-4762.53512000549	-4754.779819604174	-7.75530040131607	-4754.779819604174	1.5627106541770546	8.962023495742764	-7.75530040131607	1.5695920058901982
11000	-4762.648273973887	-4754.183509137557	-8.464764836329506	-4754.183509137557	1.7004612280349227	9.427771776243155	-8.464764836329506	1.474793175574589
12000	-4769.9398781085	-4760.92661176334	-9.013266345160897	-4760.92661176334	1.5731077391919703	9.259372816523708	-9.013266345160897	2.0827324682196093
13000	-4764.971400333075	-4757.444947751927	-7.526452581146792	-4757.444947751927	1.4459374083705234	8.330359316150671	-7.526452581146792	2.3121068742940643
14000	-4761.586084068376	-4753.668662408881	-7.917421659495813	-4753.668662408881	1.6841804079014726	9.051015073407909	-7.917421659495813	1.6390317116028579
15000	-4762.353594675924	-4754.813602890432	-7.539991785492229	-4754.813602890432	1.4105081974199887	8.774870247653867	-7.539991785492229	1.772509108946826
