genus	species	tree_code	RBG	group
Drosophila	melanogaster	Dmel	CC0033	melanogaster
Drosophila	simulans	Dsim	009900	melanogaster
Drosophila	sechellia	D.sec	FF9900	melanogaster
Drosophila	teissieri	Dtei	ff6666	melanogaster
Drosophila	mauritiana	Dmau	0033cc	melanogaster
Drosophila	cardini	D.car	990099	cardini
Drosophila	sturtevanti	D.stu	999900	saltans
Drosophila	neotropicalis	D.neo	666600	saltans
Drosophila	insularis	D.ins	66ccff	willistoni
Drosophila	willistoni	Dwil	00cccc	willistoni
Drosophila	tropicalis	D.tro	006666	willistoni
Drosophila	paulistorum	Dpau	009999	willistoni
Drosophila	equinoxialis	D.equ	00ccff	willistoni
Drosophila	pegasa	D.PEG	666666	repleta
Drosophila	eohydei	D.EOH	525454	repleta
Drosophila	fulvimacula	D.FUL	000000	repleta
Drosophila	leonis	D.LEO	CCCCCC	repleta
Drosophila	anceps	D.ANC	999999	repleta
Drosophila	paranaensis	D.PAR	333333	repleta
Drosophila	parthenogenetica	D.PRT	FF00FF	cardini
Drosophila	gaucha		D.GAU	99534C	mesophragmatica
Drosophila	meridiana	D.MER	66669D	repleta
Drosophila	emarginata	D.EMA	B2C200	saltans
Drosophila	repleta	D.rep	4C3A68	repleta
