TE	base	cov
spoink	297	0.519
spoink	298	0.519
spoink	299	0.519
spoink	300	0.519
spoink	301	0.519
spoink	302	0.519
spoink	303	0.519
spoink	304	0.519
spoink	305	0.564
spoink	306	0.541
spoink	307	0.541
spoink	308	0.541
spoink	309	0.519
spoink	310	0.519
spoink	319	0.519
spoink	320	0.519
spoink	321	0.519
spoink	322	0.541
spoink	323	0.564
spoink	324	0.564
spoink	325	0.564
spoink	326	0.519
spoink	451	0.519
spoink	452	0.519
spoink	459	0.519
spoink	460	0.519
spoink	461	0.519
spoink	462	0.519
spoink	463	0.519
spoink	464	0.564
spoink	465	0.564
spoink	466	0.564
spoink	467	0.586
spoink	468	0.586
spoink	469	0.586
spoink	470	0.586
spoink	471	0.586
spoink	472	0.586
spoink	473	0.586
spoink	474	0.609
spoink	475	0.586
spoink	476	0.609
spoink	477	0.632
spoink	478	0.632
spoink	479	0.609
spoink	480	0.609
spoink	481	0.654
spoink	482	0.699
spoink	483	0.699
spoink	484	0.654
spoink	485	0.677
spoink	486	0.677
spoink	487	0.677
spoink	488	0.677
spoink	489	0.677
spoink	490	0.677
spoink	491	0.677
spoink	492	0.677
spoink	493	0.654
spoink	494	0.609
spoink	495	0.609
spoink	496	0.564
spoink	497	0.564
spoink	498	0.564
spoink	499	0.564
spoink	500	0.564
spoink	501	0.564
spoink	502	0.586
spoink	503	0.586
spoink	504	0.564
spoink	505	0.586
spoink	506	0.564
spoink	507	0.564
spoink	508	0.541
spoink	509	0.541
spoink	510	0.519
spoink	511	0.519
spoink	512	0.519
spoink	513	0.519
spoink	514	0.519
spoink	515	0.519
spoink	516	0.519
spoink	517	0.564
spoink	518	0.564
spoink	519	0.519
spoink	520	0.519
spoink	531	0.519
spoink	532	0.519
spoink	533	0.519
spoink	730	0.519
spoink	731	0.519
spoink	732	0.519
spoink	733	0.541
spoink	734	0.541
spoink	735	0.541
spoink	736	0.519
spoink	737	0.519
spoink	738	0.519
spoink	781	0.586
spoink	782	0.564
spoink	783	0.541
spoink	784	0.564
spoink	785	0.586
spoink	786	0.632
spoink	787	0.632
spoink	788	0.632
spoink	789	0.586
spoink	790	0.564
spoink	791	0.564
spoink	792	0.564
spoink	793	0.564
spoink	794	0.541
spoink	815	0.564
spoink	816	0.564
spoink	817	0.564
spoink	818	0.564
spoink	819	0.564
spoink	820	0.564
spoink	821	0.564
spoink	822	0.541
spoink	823	0.541
spoink	824	0.541
spoink	825	0.564
spoink	826	0.564
spoink	827	0.564
spoink	828	0.564
spoink	829	0.564
spoink	830	0.564
spoink	831	0.564
spoink	832	0.564
spoink	833	0.564
spoink	834	0.541
spoink	835	0.541
spoink	836	0.541
spoink	837	0.541
spoink	838	0.564
spoink	839	0.564
spoink	840	0.564
spoink	841	0.564
spoink	842	0.564
spoink	1282	0.519
spoink	1283	0.586
spoink	1284	0.586
spoink	1285	0.541
spoink	1286	0.541
spoink	1287	0.586
spoink	1288	0.609
spoink	1289	0.609
spoink	1290	0.586
spoink	1291	0.586
spoink	1292	0.586
spoink	1293	0.586
spoink	1294	1.399
spoink	1295	1.421
spoink	1296	1.489
spoink	1297	1.489
spoink	1298	1.511
spoink	1299	1.534
spoink	1300	1.534
spoink	1301	1.511
spoink	1302	1.511
spoink	1303	1.511
spoink	1304	1.511
spoink	1305	1.511
spoink	1306	1.511
spoink	1307	1.534
spoink	1308	1.534
spoink	1309	1.534
spoink	1310	1.534
spoink	1311	1.534
spoink	1312	1.534
spoink	1313	1.534
spoink	1314	1.534
spoink	1315	1.534
spoink	1316	1.534
spoink	1317	1.534
spoink	1318	1.534
spoink	1319	1.534
spoink	1320	1.534
spoink	1321	1.534
spoink	1322	1.534
spoink	1323	1.534
spoink	1324	1.534
spoink	1325	1.489
spoink	1326	1.489
spoink	1327	1.489
spoink	1328	1.489
spoink	1329	1.489
spoink	1330	1.511
spoink	1331	1.511
spoink	1332	1.511
spoink	1333	1.511
spoink	1334	1.511
spoink	1335	1.511
spoink	1336	1.511
spoink	1337	1.511
spoink	1338	1.511
spoink	1339	1.534
spoink	1340	1.556
spoink	1341	1.534
spoink	1342	1.444
spoink	1343	1.444
spoink	1344	1.331
spoink	1345	1.376
spoink	1346	1.376
spoink	1347	1.376
spoink	1348	1.353
spoink	1349	1.353
spoink	1350	1.196
spoink	1351	1.196
spoink	1352	1.196
spoink	1353	1.196
spoink	1354	1.196
spoink	1355	1.173
spoink	1356	0.902
spoink	1357	0.88
spoink	1358	0.812
spoink	1359	0.812
spoink	1360	0.812
spoink	1361	0.677
spoink	1537	0.744
spoink	1538	0.902
spoink	1539	0.925
spoink	1540	0.947
spoink	1541	0.947
spoink	1542	0.947
spoink	1543	0.947
spoink	1544	0.925
spoink	1545	0.925
spoink	1546	0.925
spoink	1547	0.925
spoink	1548	0.925
spoink	1549	0.835
spoink	1550	0.835
spoink	1551	0.835
spoink	1552	0.835
spoink	1553	0.835
spoink	1554	0.835
spoink	1555	0.835
spoink	1556	0.857
spoink	1557	0.857
spoink	1558	0.857
spoink	1559	0.88
spoink	1560	0.857
spoink	1561	0.857
spoink	1562	0.857
spoink	1563	0.88
spoink	1564	0.88
spoink	1565	0.88
spoink	1566	0.88
spoink	1567	0.88
spoink	1568	0.88
spoink	1569	0.88
spoink	1570	0.88
spoink	1571	0.88
spoink	1572	0.88
spoink	1573	0.88
spoink	1574	0.88
spoink	1575	0.88
spoink	1576	0.902
spoink	1577	0.902
spoink	1578	0.902
spoink	1579	0.902
spoink	1580	0.902
spoink	1581	0.902
spoink	1582	0.902
spoink	1583	0.902
spoink	1584	0.902
spoink	1585	0.902
spoink	1586	0.925
spoink	1587	0.902
spoink	1588	0.947
spoink	1589	0.97
spoink	1590	0.97
spoink	1591	0.97
spoink	1592	0.947
spoink	1593	0.925
spoink	1594	0.902
spoink	1595	0.902
spoink	1596	0.88
spoink	1597	0.88
spoink	1598	0.88
spoink	1599	0.88
spoink	1600	0.88
spoink	1601	0.88
spoink	1602	0.88
spoink	1603	0.902
spoink	1604	0.925
spoink	1605	0.925
spoink	1606	0.97
spoink	1607	0.902
spoink	1608	0.857
spoink	1609	0.767
spoink	1610	0.744
spoink	1647	0.519
spoink	1648	0.519
spoink	1649	0.519
spoink	1650	0.541
spoink	1651	0.519
spoink	1652	0.541
spoink	1653	0.541
spoink	1654	0.564
spoink	1655	0.564
spoink	1656	0.586
spoink	1657	0.586
spoink	1658	0.586
spoink	1659	0.564
spoink	1660	0.564
spoink	1661	0.564
spoink	1662	0.564
spoink	1663	0.541
spoink	1664	0.519
spoink	1665	0.519
spoink	1666	0.519
spoink	1667	0.519
spoink	1668	0.519
spoink	1669	0.541
spoink	1670	0.541
spoink	1671	0.541
spoink	1672	0.541
spoink	1673	0.541
spoink	1674	0.541
spoink	1675	0.541
spoink	1676	0.541
spoink	1677	0.541
spoink	1678	0.519
spoink	1910	0.519
spoink	1912	0.744
spoink	1913	0.857
spoink	1914	0.947
spoink	1915	0.947
spoink	1916	0.993
spoink	1917	0.993
spoink	1918	0.993
spoink	1919	0.993
spoink	1920	0.993
spoink	1921	1.015
spoink	1922	1.015
spoink	1923	0.993
spoink	1924	1.015
spoink	1925	1.015
spoink	1926	1.015
spoink	1927	1.015
spoink	1928	1.015
spoink	1929	1.015
spoink	1930	1.015
spoink	1931	1.06
spoink	1932	1.06
spoink	1933	1.06
spoink	1934	1.06
spoink	1935	1.038
spoink	1936	1.038
spoink	1937	1.015
spoink	1938	1.015
spoink	1939	1.015
spoink	1940	0.993
spoink	1941	0.993
spoink	1942	0.993
spoink	1943	0.97
spoink	1944	0.97
spoink	1945	0.97
spoink	1946	0.97
spoink	1947	0.97
spoink	1948	0.97
spoink	1949	0.947
spoink	1950	0.947
spoink	1951	0.993
spoink	1952	0.993
