Sample,TE,All_reads,HQ_reads
SRR1662283,dmel_Antennapedia,1.00,0.96
SRR1662283,dmel_wingless,1.00,0.97
SRR1662283,gypsy-29-dsim,0.10,0.00
SRR1662283,gypsy-7-sim1,39.52,29.01
SRR1662283,PPI251,19.27,18.52
Sample,TE,All_reads,HQ_reads
SRR1663528,dmel_Antennapedia,0.99,0.96
SRR1663528,dmel_wingless,1.01,0.98
SRR1663528,gypsy-29-dsim,0.14,0.00
SRR1663528,gypsy-7-sim1,59.33,46.86
SRR1663528,PPI251,18.27,17.50
Sample,TE,All_reads,HQ_reads
SRR1663529,dmel_Antennapedia,1.01,0.97
SRR1663529,dmel_wingless,0.99,0.96
SRR1663529,gypsy-29-dsim,0.11,0.00
SRR1663529,gypsy-7-sim1,36.05,22.72
SRR1663529,PPI251,16.94,16.31
Sample,TE,All_reads,HQ_reads
SRR1663530,dmel_Antennapedia,0.99,0.95
SRR1663530,dmel_wingless,1.01,0.98
SRR1663530,gypsy-29-dsim,0.15,0.00
SRR1663530,gypsy-7-sim1,22.00,14.57
SRR1663530,PPI251,21.75,20.86
Sample,TE,All_reads,HQ_reads
SRR1663531,dmel_Antennapedia,1.01,0.97
SRR1663531,dmel_wingless,0.99,0.97
SRR1663531,gypsy-29-dsim,0.12,0.01
SRR1663531,gypsy-7-sim1,23.82,15.60
SRR1663531,PPI251,14.76,14.04
Sample,TE,All_reads,HQ_reads
SRR1663532,dmel_Antennapedia,1.00,0.96
SRR1663532,dmel_wingless,1.00,0.99
SRR1663532,gypsy-29-dsim,0.09,0.00
SRR1663532,gypsy-7-sim1,44.34,32.19
SRR1663532,PPI251,11.87,11.37
Sample,TE,All_reads,HQ_reads
SRR1663533,dmel_Antennapedia,0.99,0.95
SRR1663533,dmel_wingless,1.01,0.98
SRR1663533,gypsy-29-dsim,0.12,0.00
SRR1663533,gypsy-7-sim1,29.03,19.96
SRR1663533,PPI251,20.62,19.79
Sample,TE,All_reads,HQ_reads
SRR1663534,dmel_Antennapedia,0.98,0.94
SRR1663534,dmel_wingless,1.02,1.01
SRR1663534,gypsy-29-dsim,0.14,0.00
SRR1663534,gypsy-7-sim1,20.30,14.53
SRR1663534,PPI251,19.45,18.61
Sample,TE,All_reads,HQ_reads
SRR1663535,dmel_Antennapedia,0.98,0.95
SRR1663535,dmel_wingless,1.02,0.98
SRR1663535,gypsy-29-dsim,0.08,0.00
SRR1663535,gypsy-7-sim1,16.42,10.36
SRR1663535,PPI251,15.33,14.68
Sample,TE,All_reads,HQ_reads
SRR1663536,dmel_Antennapedia,1.00,0.96
SRR1663536,dmel_wingless,1.00,0.98
SRR1663536,gypsy-29-dsim,0.12,0.00
SRR1663536,gypsy-7-sim1,22.97,16.23
SRR1663536,PPI251,17.92,17.11
Sample,TE,All_reads,HQ_reads
SRR1663537,dmel_Antennapedia,0.96,0.92
SRR1663537,dmel_wingless,1.04,1.01
SRR1663537,gypsy-29-dsim,0.12,0.01
SRR1663537,gypsy-7-sim1,34.79,25.31
SRR1663537,PPI251,18.46,17.66
Sample,TE,All_reads,HQ_reads
SRR1663538,dmel_Antennapedia,0.98,0.94
