Sample,TE,All_reads,HQ_reads
SRR14138506,dsec_Antennapedia,0.95,0.95
SRR14138506,dsec_wingless,1.05,1.04
SRR14138506,gypsy-29-dsim,0.05,0.00
SRR14138506,gypsy-7-sim1,5.85,0.17
Sample,TE,All_reads,HQ_reads
SRR14138507,dsec_Antennapedia,0.94,0.94
SRR14138507,dsec_wingless,1.06,1.05
SRR14138507,gypsy-29-dsim,0.05,0.00
SRR14138507,gypsy-7-sim1,9.74,0.22
Sample,TE,All_reads,HQ_reads
SRR5514394,dsec_Antennapedia,1.00,0.18
SRR5514394,dsec_wingless,0.99,0.18
SRR5514394,gypsy-29-dsim,0.01,0.00
SRR5514394,gypsy-7-sim1,21.93,1.80
Sample,TE,All_reads,HQ_reads
SRR5860570,dsec_Antennapedia,0.98,0.96
SRR5860570,dsec_wingless,1.02,1.01
SRR5860570,gypsy-29-dsim,0.07,0.00
SRR5860570,gypsy-7-sim1,1.91,0.10
Sample,TE,All_reads,HQ_reads
SRR5860573,dsec_Antennapedia,0.94,0.94
SRR5860573,dsec_wingless,1.06,1.06
SRR5860573,gypsy-29-dsim,0.07,0.00
SRR5860573,gypsy-7-sim1,1.55,0.10
Sample,TE,All_reads,HQ_reads
SRR5860582,dsec_Antennapedia,0.95,0.94
SRR5860582,dsec_wingless,1.05,1.05
SRR5860582,gypsy-29-dsim,0.08,0.01
SRR5860582,gypsy-7-sim1,1.67,0.15
Sample,TE,All_reads,HQ_reads
SRR5860583,dsec_Antennapedia,0.91,0.90
SRR5860583,dsec_wingless,1.09,1.07
SRR5860583,gypsy-29-dsim,7.72,6.44
SRR5860583,gypsy-7-sim1,22.19,17.62
Sample,TE,All_reads,HQ_reads
SRR5860584,dsec_Antennapedia,0.94,0.93
SRR5860584,dsec_wingless,1.06,1.06
SRR5860584,gypsy-29-dsim,0.07,0.01
SRR5860584,gypsy-7-sim1,1.77,0.13
Sample,TE,All_reads,HQ_reads
SRR5860625,dsec_Antennapedia,0.97,0.96
SRR5860625,dsec_wingless,1.03,1.02
SRR5860625,gypsy-29-dsim,10.09,8.62
SRR5860625,gypsy-7-sim1,27.36,21.51
Sample,TE,All_reads,HQ_reads
SRR5860626,dsec_Antennapedia,0.93,0.93
SRR5860626,dsec_wingless,1.07,1.06
SRR5860626,gypsy-29-dsim,0.07,0.01
SRR5860626,gypsy-7-sim1,3.40,0.75
Sample,TE,All_reads,HQ_reads
SRR5860627,dsec_Antennapedia,0.94,0.92
SRR5860627,dsec_wingless,1.06,1.04
SRR5860627,gypsy-29-dsim,21.83,18.62
SRR5860627,gypsy-7-sim1,28.76,22.78
Sample,TE,All_reads,HQ_reads
SRR5860628,dsec_Antennapedia,0.93,0.92
SRR5860628,dsec_wingless,1.07,1.06
SRR5860628,gypsy-29-dsim,13.71,11.94
SRR5860628,gypsy-7-sim1,31.25,24.86
Sample,TE,All_reads,HQ_reads
SRR5860629,dsec_Antennapedia,0.93,0.93
SRR5860629,dsec_wingless,1.07,1.06
SRR5860629,gypsy-29-dsim,11.24,9.76
SRR5860629,gypsy-7-sim1,25.53,19.98
Sample,TE,All_reads,HQ_reads
SRR5860630,dsec_Antennapedia,0.97,0.96
SRR5860630,dsec_wingless,1.03,1.01
SRR5860630,gypsy-29-dsim,6.47,5.60
SRR5860630,gypsy-7-sim1,26.40,20.36
Sample,TE,All_reads,HQ_reads
SRR5860631,dsec_Antennapedia,0.98,0.97
SRR5860631,dsec_wingless,1.02,1.01
SRR5860631,gypsy-29-dsim,10.92,9.35
SRR5860631,gypsy-7-sim1,31.65,25.33
Sample,TE,All_reads,HQ_reads
SRR5860632,dsec_Antennapedia,0.96,0.95
SRR5860632,dsec_wingless,1.04,1.03
SRR5860632,gypsy-29-dsim,6.66,5.79
SRR5860632,gypsy-7-sim1,31.36,25.03
Sample,TE,All_reads,HQ_reads
SRR5860633,dsec_Antennapedia,0.98,0.98
SRR5860633,dsec_wingless,1.02,1.01
SRR5860633,gypsy-29-dsim,9.21,8.00
SRR5860633,gypsy-7-sim1,26.35,21.56
Sample,TE,All_reads,HQ_reads
SRR5860634,dsec_Antennapedia,0.94,0.93
SRR5860634,dsec_wingless,1.06,1.04
SRR5860634,gypsy-29-dsim,6.13,5.39
SRR5860634,gypsy-7-sim1,28.51,22.56
Sample,TE,All_reads,HQ_reads
SRR5860639,dsec_Antennapedia,1.00,1.00
SRR5860639,dsec_wingless,1.00,1.00
SRR5860639,gypsy-29-dsim,0.08,0.01
