Species	Assembly Accession	Order	Superfamily	Te	Score
Tetranychus truncatus	GCA_028476895.1	Trombidiformes	Tetranychoidea	Spoink	0.007163736670920993
Tetranychus truncatus	GCA_028476895.1	Trombidiformes	Tetranychoidea	P-element	0
Tetranychus truncatus	GCA_028476895.1	Trombidiformes	Tetranychoidea	Shellder	0.007861213543412671
Pyemotes zhonghuajia	GCA_025170145.1	Trombidiformes	Pyemotoidea	Spoink	0.00732842027255136
Pyemotes zhonghuajia	GCA_025170145.1	Trombidiformes	Pyemotoidea	Shellder	0.007425410660408984
Pyemotes zhonghuajia	GCA_025170145.1	Trombidiformes	Pyemotoidea	P-element	0
Odiellus spinosus	GCA_963920705.1	Opiliones	Phalangioidea	P-element	0.010803211365570314
Odiellus spinosus	GCA_963920705.1	Opiliones	Phalangioidea	Shellder	0.006939322829366409
Odiellus spinosus	GCA_963920705.1	Opiliones	Phalangioidea	Spoink	0.012948248178187656
Dermacentor silvarum	GCF_013339745.2	Ixodida	Ixodoidea	Spoink	0.011033801309234634
Dermacentor silvarum	GCF_013339745.2	Ixodida	Ixodoidea	P-element	0.009656295090458396
Dermacentor silvarum	GCF_013339745.2	Ixodida	Ixodoidea	Shellder	0.009621186724773717
Haemaphysalis longicornis	GCA_013339765.2	Ixodida	Ixodoidea	P-element	0.0101002626808243
Haemaphysalis longicornis	GCA_013339765.2	Ixodida	Ixodoidea	Shellder	0.00942004693261817
Haemaphysalis longicornis	GCA_013339765.2	Ixodida	Ixodoidea	Spoink	0.010148626950471407
Hyalomma asiaticum	GCA_013339685.2	Ixodida	Ixodoidea	Shellder	0.011850486087831043
Hyalomma asiaticum	GCA_013339685.2	Ixodida	Ixodoidea	P-element	0.008879351807318065
Hyalomma asiaticum	GCA_013339685.2	Ixodida	Ixodoidea	Spoink	0.009489892543949937
Rhipicephalus microplus	GCF_013339725.1	Ixodida	Ixodoidea	Spoink	0.009531063444357528
Rhipicephalus microplus	GCF_013339725.1	Ixodida	Ixodoidea	Shellder	0.012001340931947704
Rhipicephalus microplus	GCF_013339725.1	Ixodida	Ixodoidea	P-element	0.010544230271190204
Rhipicephalus sanguineus	GCF_013339695.2	Ixodida	Ixodoidea	Spoink	0.009736917946395487
Rhipicephalus sanguineus	GCF_013339695.2	Ixodida	Ixodoidea	P-element	0.00984128158644419
Rhipicephalus sanguineus	GCF_013339695.2	Ixodida	Ixodoidea	Shellder	0.011833724438484747
Dolomedes plantarius	GCA_907164885.2	Araneae	Lycosoidea	P-element	0.008916349106515224
Dolomedes plantarius	GCA_907164885.2	Araneae	Lycosoidea	Shellder	0.009202145491116327
Dolomedes plantarius	GCA_907164885.2	Araneae	Lycosoidea	Spoink	0.011877804767590268
Pardosa pseudoannulata	GCA_032207245.1	Araneae	Lycosoidea	Spoink	0.009057598089670221
