TE	base	cov
Shellder	608	0.541
Shellder	609	0.722
Shellder	610	0.722
Shellder	611	0.902
Shellder	612	1.083
Shellder	613	1.444
Shellder	614	1.444
Shellder	615	1.534
Shellder	616	1.534
Shellder	617	1.534
Shellder	618	1.556
Shellder	619	1.579
Shellder	620	1.579
Shellder	621	1.579
Shellder	622	1.579
Shellder	623	1.579
Shellder	624	1.579
Shellder	625	1.579
Shellder	626	1.534
Shellder	627	1.85
Shellder	628	1.917
Shellder	629	2.323
Shellder	630	2.707
Shellder	631	3.045
Shellder	632	3.248
Shellder	633	4.173
Shellder	634	4.218
Shellder	635	4.399
Shellder	636	4.647
Shellder	637	4.895
Shellder	638	4.895
Shellder	639	5.323
Shellder	640	5.346
Shellder	641	5.346
Shellder	642	5.594
Shellder	643	5.617
Shellder	644	5.684
Shellder	645	5.91
Shellder	646	5.978
Shellder	647	6
Shellder	648	6
Shellder	649	6
Shellder	650	6
Shellder	651	6.451
Shellder	652	6.903
Shellder	653	6.767
Shellder	654	6.767
Shellder	655	6.767
Shellder	656	6.677
Shellder	657	6.654
Shellder	658	5.91
Shellder	659	5.684
Shellder	660	5.842
Shellder	661	5.842
Shellder	662	5.842
Shellder	663	5.842
Shellder	664	5.842
Shellder	665	5.752
Shellder	666	5.752
Shellder	667	5.278
Shellder	668	5.278
Shellder	669	5.278
Shellder	670	5.256
Shellder	671	5.256
Shellder	672	5.211
Shellder	673	5.143
Shellder	674	4.963
Shellder	675	4.376
Shellder	676	4.354
Shellder	677	4.286
Shellder	678	4.263
Shellder	679	4.263
Shellder	680	3.948
Shellder	681	3.902
Shellder	682	3.496
Shellder	683	3
Shellder	684	2.684
Shellder	685	2.459
Shellder	686	1.962
Shellder	687	1.917
Shellder	688	1.917
Shellder	689	1.353
Shellder	690	0.857
