TE	base	cov
spoink	41	0.316
spoink	42	0.316
spoink	43	0.316
spoink	44	0.316
spoink	45	0.316
spoink	46	0.316
spoink	47	0.316
spoink	48	0.338
spoink	49	0.338
spoink	50	0.338
spoink	51	0.338
spoink	52	0.338
spoink	53	0.338
spoink	54	0.338
spoink	55	0.338
spoink	56	0.338
spoink	57	0.361
spoink	58	0.361
spoink	59	0.383
spoink	60	0.383
spoink	61	0.383
spoink	62	0.383
spoink	63	0.383
spoink	64	0.383
spoink	65	0.383
spoink	66	0.383
spoink	67	0.383
spoink	68	0.406
spoink	69	0.406
spoink	70	0.406
spoink	71	0.406
spoink	72	0.406
spoink	73	0.406
spoink	74	0.451
spoink	75	0.451
spoink	76	0.429
spoink	77	0.429
spoink	78	0.451
spoink	79	0.451
spoink	80	0.451
spoink	81	0.451
spoink	82	0.474
spoink	83	0.474
spoink	84	0.451
spoink	85	0.451
spoink	86	0.429
spoink	87	0.429
spoink	88	0.429
spoink	89	0.406
spoink	90	0.429
spoink	91	0.429
spoink	92	0.406
spoink	93	0.406
spoink	94	0.406
spoink	95	0.406
spoink	96	0.429
spoink	97	0.429
spoink	98	0.429
spoink	99	0.451
spoink	100	0.429
spoink	101	0.406
spoink	102	0.406
spoink	103	0.406
spoink	104	0.406
spoink	105	0.406
spoink	106	0.361
spoink	107	0.361
spoink	108	0.338
spoink	109	0.338
spoink	110	0.316
spoink	111	0.316
spoink	112	0.316
spoink	113	0.316
spoink	114	0.316
spoink	115	0.316
spoink	130	0.316
spoink	131	0.316
spoink	271	0.361
spoink	272	0.361
spoink	273	0.361
spoink	274	0.361
spoink	275	0.361
spoink	276	0.361
spoink	277	0.406
spoink	278	0.429
spoink	279	0.429
spoink	280	0.429
spoink	281	0.429
spoink	282	0.451
spoink	283	0.451
spoink	284	0.451
spoink	285	0.451
spoink	286	0.451
spoink	287	0.451
spoink	288	0.496
spoink	289	0.496
spoink	290	0.496
spoink	291	0.496
spoink	292	0.496
spoink	293	0.496
spoink	294	0.496
spoink	295	0.496
spoink	296	0.496
spoink	297	0.519
spoink	298	0.519
spoink	299	0.519
spoink	300	0.519
spoink	301	0.519
spoink	302	0.519
spoink	303	0.519
spoink	304	0.519
spoink	305	0.564
spoink	306	0.541
spoink	307	0.541
spoink	308	0.541
spoink	309	0.519
spoink	310	0.519
spoink	311	0.474
spoink	312	0.496
spoink	313	0.496
spoink	314	0.496
spoink	315	0.496
spoink	316	0.496
spoink	317	0.496
spoink	318	0.496
spoink	319	0.519
spoink	320	0.519
spoink	321	0.519
spoink	322	0.541
spoink	323	0.564
spoink	324	0.564
spoink	325	0.564
