assembly	accession	source
A.communis.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
A.mariae.fa	GCA_035041805.1	PRJNA1020440
A.minor.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
C.amoena.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
C.caudatula.fa	GCA_035041775.1	PRJNA1020440
C.costata.fa	GCA_018150985.1	PRJNA675888
C.indagator.fa	GCA_035041755.1	PRJNA1020440
C.procnemis.fa	GCA_035046065.1	PRJNA1020440
D.acutilabella.fa	GCA_035046005.1	PRJNA1020440
D.aff.chauv..fa	GCA_018903765.1	PRJNA675888
D.affinis.fa	GCA_035045985.1	PRJNA1020440
D.aldrichi.fa	GCA_035045965.1	PRJNA1020440
D.algonquin.fa	GCA_035041765.1	PRJNA1020440
D.ambigua.fa	GCA_018150905.1	PRJNA675888
D.americana.fa	GCA_018152915.1	PRJNA675888
D.ananassae.fa	GCA_018148915.1	PRJNA675888
D.anceps.fa	GCA_035045945.1	PRJNA1020440
D.anomalata.fa	GCA_035046425.1	PRJNA1020440
D.anomalipes.fa	GCA_035041615.1	PRJNA1020440
D.anomelani.fa	GCA_035045905.1	PRJNA1020440
D.arawakana.fa	GCA_018151165.1	PRJNA675888
D.atripex.fa	GCA_035045925.1	PRJNA1020440
D.atroscutellata.fa	GCA_035041605.1	PRJNA1020440
D.austrosaltans.fa	GCA_035045865.1	PRJNA1020440
D.basisetae.fa	GCA_035041595.1	PRJNA1020440
D.biarmipes.fa	GCA_035046375.1	PRJNA1020440
D.bipectinata.fa	GCA_018153845.1	PRJNA675888
D.birchii.fa	GCA_035046345.1	PRJNA1020440
D.bocqueti.fa	GCA_018151655.1	PRJNA675888
D.borealis.fa	GCA_035045885.1	PRJNA1020440
D.bunnanda.fa	GCA_035046265.1	PRJNA1020440
D.buzzatii.fa	GCA_035045845.1	PRJNA1020440
D.cardini.fa	GCA_018903735.1	PRJNA675888
D.carrolli.fa	GCA_018152295.1	PRJNA675888
D.cognata.fa	GCA_035041535.1	PRJNA1020440
D.colorata.fa	GCA_035041545.1	PRJNA1020440
D.conformis.fa	GCA_035041375.1	PRJNA1020440
D.cracens.fa	GCA_035042505.1	PRJNA1020440
D.crucigera.fa	GCA_035041335.1	PRJNA1020440
D.cyrtoloma.fa	GCA_035042485.1	PRJNA1020440
D.demipolita.fa	GCA_035042405.1	PRJNA1020440
D.differens.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.dives.fa	GCA_035042365.1	PRJNA1020440
D.dunni.fa	GCA_018152125.1	PRJNA675888
D.elegans.fa	GCA_018152505.1	PRJNA675888
D.emarginata.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.engyochracea.fa	GCA_035042385.1	PRJNA1020440
D.eohydei.fa	GCA_035045825.1	PRJNA1020440
D.equinoxialis.fa	GCA_018150345.1	PRJNA675888
D.ercepeae.fa	GCA_018150545.1	PRJNA675888
D.erecta.fa	GCA_018904525.1	PRJNA675888
D.eugracilis.fa	GCA_018153835.1	PRJNA675888
D.ezoana.fa	GCA_035045725.1	PRJNA1020440
D.falleni.fa	GCA_035045575.1	PRJNA1020440
D.ficusphila.fa	GCA_018152265.1	PRJNA675888
D.flavopinicola.fa	GCA_035042425.1	PRJNA1020440
D.formosana.fa	GCA_035045625.1	PRJNA1020440
D.fulvimacula.fa	GCA_035045555.1	PRJNA1020440
D.funebris.fa	GCA_018901825.1	PRJNA675888
D.fungiperda.fa	GCA_035042345.1	PRJNA1020440
D.fuyamai.fa	GCA_018153365.1	PRJNA675888
D.gaucha.fa	GCA_035045545.1	PRJNA1020440
D.glabriapex.fa	GCA_035042305.1	PRJNA1020440
D.grimshawi.fa	GCA_018153295.1	PRJNA675888
D.gunungcola.fa	GCA_035045485.1	PRJNA1020440
D.hamatofila.fa	GCA_035045345.1	PRJNA1020440
D.hawaiiensis.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.helvetica.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.heteroneura.fa	GCA_035042245.1	PRJNA1020440
D.histrio.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.immigrans.12.fa	GCA_018153375.1	PRJNA675888
D.immigrans.k17.fa	GCA_018152165.1	PRJNA675888
D.imparisetae.fa	GCA_035042265.1	PRJNA1020440
D.incognita.fa	GCA_035042225.1	PRJNA1020440
D.infuscata.fa	GCA_035042205.1	PRJNA1020440
D.insularis.fa	GCA_018903935.1	PRJNA675888
D.jambulina.fa	GCA_018152175.1	PRJNA675888
D.kambysellisi.fa	GCA_035042185.1	PRJNA1020440
D.kanekoi.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.kikkawai.fa	GCA_018152535.1	PRJNA675888
D.kokeensis.fa	GCA_035042145.1	PRJNA1020440
D.kuntzei.fa	GCA_035042165.1	PRJNA1020440
D.kurseongensis.fa	GCA_018153305.1	PRJNA675888
D.lacicola.fa	GCA_035045355.1	PRJNA1020440
D.leonis.fa	GCA_035045365.1	PRJNA1020440
D.littoralis.fa	GCA_018903485.1	PRJNA675888
D.longiperda.fa	GCA_035042125.1	PRJNA1020440
D.lutescens.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.macrospina.fa	GCA_035042075.1	PRJNA1020440
D.macrothrix.fa	GCA_035042055.1	PRJNA1020440
D.maculinotata.fa	GCA_035045305.1	PRJNA1020440
D.mal.mal..fa	GCA_018153235.1	PRJNA1020440
D.mal.pallens.fa	GCA_018153275.1	PRJNA1020440
D.mau.01.fa	GCA_018904475.1	PRJNA675888
D.mau.r31.fa	PENDING	Scarpa,Pianezza2024
D.mau.r32.fa	PENDING	Scarpa,Pianezza2024
D.mau.r39.fa	PENDING	Scarpa,Pianezza2024
D.mau.r61.fa	PENDING	Scarpa,Pianezza2024
D.mayaguana.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.mel.es.ten.fa	GCA_020141505.1	Rech2022
D.mel.iso1.fa	GCA_000001215.4	Hoskins2015
D.mel.pi2.fa	GCA_015852585.1	Wierzbicki2020
D.mel.ral176.fa	GCA_020141665.1	Rech2022
D.mel.ral732.fa	GCA_020141575.1	Rech2022
D.mel.ral737.fa	GCA_020141585.1	Rech2022
D.mel.ral91.fa	GCA_020141705.1	Rech2022
D.mel.se.sto.fa	GCA_020141495.1	Rech2022
D.melanocephala.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.melanogaster.fa	GCA_018904365.1	PRJNA675888
D.melanosoma.fa	GCA_035042065.1	PRJNA1020440
D.mercatorum.fa	GCA_035045175.1	PRJNA1020440
D.meridiana.fa	GCA_035045185.1	PRJNA1020440
D.meridionalis.fa	GCA_035045145.1	PRJNA1020440
D.merina.fa	GCA_035047645.1	PRJNA1020440
D.mettleri.fa	GCA_035047625.1	PRJNA1020440
D.mimetica.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.mimica.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.miranda.fa	GCA_035044445.1	PRJNA1020440
D.mojavensis.fa	GCA_018153725.1	PRJNA675888
D.monieri.fa	GCA_035047585.1	PRJNA1020440
D.montana.fa	GCA_035044425.1	PRJNA1020440
D.mulleri.fa	GCA_035047565.1	PRJNA1020440
D.multiciliata.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.murphyi.fa	GCA_018904325.1	PRJNA675888
D.neocordata.fa	GCA_018903615.1	PRJNA675888
D.neotestacea.fa	GCA_035044365.1	PRJNA1020440
D.neutralis.fa	GCA_035044385.1	PRJNA1020440
D.nigricruria.fa	PENDING	https://doi.org/10.5061/dryad.x0k6djhrd
D.nigritarsus.fa	GCA_035044305.1	PRJNA1020440
D.niveifrons.fa	GCA_035046325.1	PRJNA1020440
D.nrfundita.fa	GCA_035044245.1	PRJNA1020440
D.nrmedialis2.fa	GCA_035044325.1	PRJNA1020440
D.nrmedialis3.fa	GCA_035044225.1	PRJNA1020440
D.nrperissopoda1.fa	GCA_035044165.1	PRJNA1020440
D.nrperissopoda5.fa	GCA_035044105.1	PRJNA1020440
