Sample,TE,All_reads,HQ_reads
SRR11460801,dmel_Antennapedia,0.95,0.90
SRR11460801,dmel_wingless,1.05,1.03
SRR11460801,gypsy-29-dsim,0.13,0.00
SRR11460801,gypsy-7-sim1,2.50,0.12
SRR11460801,PPI251,32.41,31.46
Sample,TE,All_reads,HQ_reads
SRR11846555,dmel_Antennapedia,0.99,0.96
SRR11846555,dmel_wingless,1.01,0.99
SRR11846555,gypsy-29-dsim,0.11,0.00
SRR11846555,gypsy-7-sim1,6.81,0.16
SRR11846555,PPI251,0.00,0.00
Sample,TE,All_reads,HQ_reads
SRR11846559,dmel_Antennapedia,1.00,0.98
SRR11846559,dmel_wingless,1.00,0.99
SRR11846559,gypsy-29-dsim,0.11,0.00
SRR11846559,gypsy-7-sim1,6.19,0.16
SRR11846559,PPI251,0.00,0.00
Sample,TE,All_reads,HQ_reads
SRR11846560,dmel_Antennapedia,1.01,0.98
SRR11846560,dmel_wingless,0.99,0.98
SRR11846560,gypsy-29-dsim,0.11,0.00
SRR11846560,gypsy-7-sim1,3.51,0.15
SRR11846560,PPI251,49.48,48.63
Sample,TE,All_reads,HQ_reads
SRR11846565,dmel_Antennapedia,0.97,0.95
SRR11846565,dmel_wingless,1.03,1.02
SRR11846565,gypsy-29-dsim,0.11,0.00
SRR11846565,gypsy-7-sim1,3.70,0.17
SRR11846565,PPI251,0.00,0.00
Sample,TE,All_reads,HQ_reads
SRR13257684,dmel_Antennapedia,0.98,0.95
SRR13257684,dmel_wingless,1.02,1.00
SRR13257684,gypsy-29-dsim,0.14,0.00
SRR13257684,gypsy-7-sim1,1.71,0.12
SRR13257684,PPI251,14.99,14.43
Sample,TE,All_reads,HQ_reads
SRR14293140,dmel_Antennapedia,0.91,0.88
SRR14293140,dmel_wingless,1.09,1.08
SRR14293140,gypsy-29-dsim,0.16,0.00
SRR14293140,gypsy-7-sim1,2.64,0.08
SRR14293140,PPI251,12.76,12.41
Sample,TE,All_reads,HQ_reads
SRR14293191,dmel_Antennapedia,0.93,0.91
SRR14293191,dmel_wingless,1.07,1.06
SRR14293191,gypsy-29-dsim,0.15,0.00
SRR14293191,gypsy-7-sim1,1.50,0.10
SRR14293191,PPI251,13.80,13.20
Sample,TE,All_reads,HQ_reads
SRR14293233,dmel_Antennapedia,0.91,0.89
SRR14293233,dmel_wingless,1.09,1.08
SRR14293233,gypsy-29-dsim,0.19,0.00
SRR14293233,gypsy-7-sim1,0.96,0.08
SRR14293233,PPI251,12.75,12.30
Sample,TE,All_reads,HQ_reads
SRR14293574,dmel_Antennapedia,0.90,0.87
SRR14293574,dmel_wingless,1.10,1.09
SRR14293574,gypsy-29-dsim,0.18,0.00
SRR14293574,gypsy-7-sim1,2.53,0.06
SRR14293574,PPI251,7.92,7.69
Sample,TE,All_reads,HQ_reads
SRR14293576,dmel_Antennapedia,0.91,0.88
SRR14293576,dmel_wingless,1.09,1.08
SRR14293576,gypsy-29-dsim,0.16,0.01
SRR14293576,gypsy-7-sim1,1.33,0.10
SRR14293576,PPI251,21.22,20.58
Sample,TE,All_reads,HQ_reads
SRR14294393,dmel_Antennapedia,0.91,0.88
SRR14294393,dmel_wingless,1.09,1.08
SRR14294393,gypsy-29-dsim,0.13,0.00
SRR14294393,gypsy-7-sim1,2.72,0.07
SRR14294393,PPI251,19.51,18.77
Sample,TE,All_reads,HQ_reads
SRR14294796,dmel_Antennapedia,0.90,0.88
SRR14294796,dmel_wingless,1.09,1.09
SRR14294796,gypsy-29-dsim,0.14,0.00
SRR14294796,gypsy-7-sim1,2.54,0.08
SRR14294796,PPI251,17.03,16.41
Sample,TE,All_reads,HQ_reads
SRR14294899,dmel_Antennapedia,0.92,0.88
SRR14294899,dmel_wingless,1.08,1.07
SRR14294899,gypsy-29-dsim,0.19,0.01
SRR14294899,gypsy-7-sim1,2.40,0.05
SRR14294899,PPI251,15.41,14.94
Sample,TE,All_reads,HQ_reads
SRR14294940,dmel_Antennapedia,0.91,0.88
SRR14294940,dmel_wingless,1.09,1.08
SRR14294940,gypsy-29-dsim,0.23,0.01
SRR14294940,gypsy-7-sim1,2.30,0.04
SRR14294940,PPI251,41.15,39.37
Sample,TE,All_reads,HQ_reads
SRR14294944,dmel_Antennapedia,0.92,0.89
SRR14294944,dmel_wingless,1.07,1.06
SRR14294944,gypsy-29-dsim,0.22,0.00
SRR14294944,gypsy-7-sim1,0.85,0.04
SRR14294944,PPI251,10.51,10.23
Sample,TE,All_reads,HQ_reads
SRR14296430,dmel_Antennapedia,0.89,0.87
SRR14296430,dmel_wingless,1.11,1.10
SRR14296430,gypsy-29-dsim,0.14,0.00
SRR14296430,gypsy-7-sim1,1.34,0.09
SRR14296430,PPI251,16.04,15.45
Sample,TE,All_reads,HQ_reads
SRR14296646,dmel_Antennapedia,0.89,0.87
SRR14296646,dmel_wingless,1.10,1.09
SRR14296646,gypsy-29-dsim,0.15,0.00
SRR14296646,gypsy-7-sim1,1.38,0.08
SRR14296646,PPI251,10.80,10.51
Sample,TE,All_reads,HQ_reads
SRR14296993,dmel_Antennapedia,0.90,0.87
SRR14296993,dmel_wingless,1.10,1.09
SRR14296993,gypsy-29-dsim,0.14,0.00
SRR14296993,gypsy-7-sim1,0.98,0.08
SRR14296993,PPI251,13.22,12.73
Sample,TE,All_reads,HQ_reads
SRR14297433,dmel_Antennapedia,0.90,0.88
SRR14297433,dmel_wingless,1.10,1.09
SRR14297433,gypsy-29-dsim,0.14,0.00
SRR14297433,gypsy-7-sim1,2.54,0.07
SRR14297433,PPI251,25.38,24.55
Sample,TE,All_reads,HQ_reads
SRR14297434,dmel_Antennapedia,0.94,0.91
SRR14297434,dmel_wingless,1.06,1.05
SRR14297434,gypsy-29-dsim,0.15,0.00
SRR14297434,gypsy-7-sim1,1.26,0.07
SRR14297434,PPI251,6.75,6.53
Sample,TE,All_reads,HQ_reads
