Sample,TE,All_reads,HQ_reads
SRR5860574,Dyak_achaete_scute_complex_protein_T3,0.89,0.87
SRR5860574,Dyak_alcohol_dehydrogenase,1.17,0.97
SRR5860574,Dyakprotein_yellow,0.83,0.82
SRR5860574,PPI251,0.00,0.00
SRR5860574,Shellder,0.16,0.00
SRR5860574,Spoink,0.80,0.03
Sample,TE,All_reads,HQ_reads
SRR5860575,Dyak_achaete_scute_complex_protein_T3,0.81,0.80
SRR5860575,Dyak_alcohol_dehydrogenase,1.20,0.97
SRR5860575,Dyakprotein_yellow,0.80,0.79
SRR5860575,PPI251,0.00,0.00
SRR5860575,Shellder,0.13,0.00
SRR5860575,Spoink,0.98,0.04
Sample,TE,All_reads,HQ_reads
SRR5860578,Dyak_achaete_scute_complex_protein_T3,0.84,0.83
SRR5860578,Dyak_alcohol_dehydrogenase,1.28,1.06
SRR5860578,Dyakprotein_yellow,0.72,0.71
SRR5860578,PPI251,0.00,0.00
SRR5860578,Shellder,0.16,0.00
SRR5860578,Spoink,0.56,0.02
Sample,TE,All_reads,HQ_reads
SRR5860579,Dyak_achaete_scute_complex_protein_T3,0.93,0.90
SRR5860579,Dyak_alcohol_dehydrogenase,1.23,1.01
SRR5860579,Dyakprotein_yellow,0.76,0.76
SRR5860579,PPI251,0.00,0.00
SRR5860579,Shellder,0.18,0.00
SRR5860579,Spoink,0.94,0.03
Sample,TE,All_reads,HQ_reads
SRR5860580,Dyak_achaete_scute_complex_protein_T3,0.91,0.90
SRR5860580,Dyak_alcohol_dehydrogenase,1.31,1.11
SRR5860580,Dyakprotein_yellow,0.69,0.68
SRR5860580,PPI251,0.00,0.00
SRR5860580,Shellder,0.23,0.01
SRR5860580,Spoink,0.51,0.04
Sample,TE,All_reads,HQ_reads
SRR5860581,Dyak_achaete_scute_complex_protein_T3,0.86,0.86
SRR5860581,Dyak_alcohol_dehydrogenase,1.29,1.07
SRR5860581,Dyakprotein_yellow,0.71,0.70
SRR5860581,PPI251,0.00,0.00
SRR5860581,Shellder,0.21,0.00
SRR5860581,Spoink,0.66,0.02
Sample,TE,All_reads,HQ_reads
SRR5860585,Dyak_achaete_scute_complex_protein_T3,0.98,0.97
SRR5860585,Dyak_alcohol_dehydrogenase,1.38,1.19
SRR5860585,Dyakprotein_yellow,0.62,0.61
SRR5860585,PPI251,0.00,0.00
SRR5860585,Shellder,0.22,0.01
SRR5860585,Spoink,0.45,0.02
Sample,TE,All_reads,HQ_reads
SRR5860586,Dyak_achaete_scute_complex_protein_T3,0.87,0.86
SRR5860586,Dyak_alcohol_dehydrogenase,1.27,1.06
SRR5860586,Dyakprotein_yellow,0.72,0.72
SRR5860586,PPI251,0.00,0.00
SRR5860586,Shellder,0.25,0.01
SRR5860586,Spoink,0.52,0.04
Sample,TE,All_reads,HQ_reads
SRR5860587,Dyak_achaete_scute_complex_protein_T3,0.79,0.77
SRR5860587,Dyak_alcohol_dehydrogenase,1.21,0.98
SRR5860587,Dyakprotein_yellow,0.79,0.78
SRR5860587,PPI251,0.00,0.00
SRR5860587,Shellder,0.14,0.00
SRR5860587,Spoink,0.93,0.04
Sample,TE,All_reads,HQ_reads
SRR5860588,Dyak_achaete_scute_complex_protein_T3,1.02,1.01
SRR5860588,Dyak_alcohol_dehydrogenase,1.22,1.02
SRR5860588,Dyakprotein_yellow,0.78,0.78
SRR5860588,PPI251,0.00,0.00
SRR5860588,Shellder,0.17,0.00
SRR5860588,Spoink,0.72,0.03
Sample,TE,All_reads,HQ_reads
SRR5860589,Dyak_achaete_scute_complex_protein_T3,0.98,0.96
SRR5860589,Dyak_alcohol_dehydrogenase,1.15,0.93
SRR5860589,Dyakprotein_yellow,0.85,0.84
SRR5860589,PPI251,0.00,0.00
SRR5860589,Shellder,0.19,0.00
SRR5860589,Spoink,0.94,0.03
Sample,TE,All_reads,HQ_reads
SRR5860590,Dyak_achaete_scute_complex_protein_T3,0.91,0.89
SRR5860590,Dyak_alcohol_dehydrogenase,1.21,1.03
SRR5860590,Dyakprotein_yellow,0.79,0.78
SRR5860590,PPI251,0.00,0.00
SRR5860590,Shellder,0.18,0.00
SRR5860590,Spoink,0.61,0.03
Sample,TE,All_reads,HQ_reads
SRR5860591,Dyak_achaete_scute_complex_protein_T3,0.84,0.82
SRR5860591,Dyak_alcohol_dehydrogenase,1.25,1.05
SRR5860591,Dyakprotein_yellow,0.75,0.74
SRR5860591,PPI251,0.00,0.00
SRR5860591,Shellder,0.17,0.00
SRR5860591,Spoink,0.80,0.03
Sample,TE,All_reads,HQ_reads
SRR5860592,Dyak_achaete_scute_complex_protein_T3,1.12,1.11
SRR5860592,Dyak_alcohol_dehydrogenase,1.33,1.09
SRR5860592,Dyakprotein_yellow,0.67,0.66
SRR5860592,PPI251,0.00,0.00
SRR5860592,Shellder,0.20,0.01
SRR5860592,Spoink,0.47,0.06
Sample,TE,All_reads,HQ_reads
SRR5860593,Dyak_achaete_scute_complex_protein_T3,1.06,1.04
SRR5860593,Dyak_alcohol_dehydrogenase,1.24,1.07
SRR5860593,Dyakprotein_yellow,0.76,0.75
SRR5860593,PPI251,0.00,0.00
SRR5860593,Shellder,0.21,0.00
SRR5860593,Spoink,0.52,0.02
Sample,TE,All_reads,HQ_reads
SRR5860594,Dyak_achaete_scute_complex_protein_T3,0.81,0.80
SRR5860594,Dyak_alcohol_dehydrogenase,1.27,1.10
SRR5860594,Dyakprotein_yellow,0.73,0.72
SRR5860594,PPI251,0.00,0.00
SRR5860594,Shellder,0.17,0.00
