Sample,TE,All_reads,HQ_reads
SRR1662283,dmel_Antennapedia,1.00,0.97
SRR1662283,dmel_wingless,0.99,0.97
SRR1662283,gypsy-29-dsim,0.10,0.00
SRR1662283,gypsy-7-sim1,39.54,29.03
Sample,TE,All_reads,HQ_reads
SRR1663528,dmel_Antennapedia,0.99,0.96
SRR1663528,dmel_wingless,1.01,0.98
SRR1663528,gypsy-29-dsim,0.14,0.00
SRR1663528,gypsy-7-sim1,59.33,46.87
Sample,TE,All_reads,HQ_reads
SRR1663529,dmel_Antennapedia,1.01,0.97
SRR1663529,dmel_wingless,0.99,0.96
SRR1663529,gypsy-29-dsim,0.11,0.00
SRR1663529,gypsy-7-sim1,36.08,22.75
Sample,TE,All_reads,HQ_reads
SRR1663530,dmel_Antennapedia,0.99,0.95
SRR1663530,dmel_wingless,1.01,0.99
SRR1663530,gypsy-29-dsim,0.15,0.00
SRR1663530,gypsy-7-sim1,22.01,14.58
Sample,TE,All_reads,HQ_reads
SRR1663531,dmel_Antennapedia,1.01,0.97
SRR1663531,dmel_wingless,0.99,0.96
SRR1663531,gypsy-29-dsim,0.12,0.01
SRR1663531,gypsy-7-sim1,23.84,15.60
Sample,TE,All_reads,HQ_reads
SRR1663532,dmel_Antennapedia,1.00,0.96
SRR1663532,dmel_wingless,1.00,0.99
SRR1663532,gypsy-29-dsim,0.09,0.00
SRR1663532,gypsy-7-sim1,44.37,32.21
Sample,TE,All_reads,HQ_reads
SRR1663533,dmel_Antennapedia,0.99,0.95
SRR1663533,dmel_wingless,1.01,0.98
SRR1663533,gypsy-29-dsim,0.12,0.00
SRR1663533,gypsy-7-sim1,29.04,19.97
Sample,TE,All_reads,HQ_reads
SRR1663534,dmel_Antennapedia,0.98,0.94
SRR1663534,dmel_wingless,1.02,1.01
SRR1663534,gypsy-29-dsim,0.14,0.00
SRR1663534,gypsy-7-sim1,20.31,14.54
Sample,TE,All_reads,HQ_reads
SRR1663535,dmel_Antennapedia,0.98,0.95
SRR1663535,dmel_wingless,1.01,0.98
SRR1663535,gypsy-29-dsim,0.08,0.00
SRR1663535,gypsy-7-sim1,16.43,10.36
Sample,TE,All_reads,HQ_reads
SRR1663536,dmel_Antennapedia,1.00,0.96
SRR1663536,dmel_wingless,1.00,0.98
SRR1663536,gypsy-29-dsim,0.12,0.00
SRR1663536,gypsy-7-sim1,22.97,16.23
Sample,TE,All_reads,HQ_reads
SRR1663537,dmel_Antennapedia,0.96,0.92
SRR1663537,dmel_wingless,1.04,1.01
SRR1663537,gypsy-29-dsim,0.12,0.01
SRR1663537,gypsy-7-sim1,34.81,25.33
Sample,TE,All_reads,HQ_reads
SRR1663538,dmel_Antennapedia,0.98,0.94
